approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Archbishop's Park Community Orchard,Community Orchard,fruits,tree-fruits,51.4973,-0.1166,Apples pears plums in Waterloo park.,"Over 25 fruit trees including Bramley apple, Victoria plum, Conference pear, peach, fig and damson planted in the north-west corner of this historic public park near Lambeth Palace.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums, fig",42,0,0,,fresh.park.fruit,Autumn,,https://www.lambeth.gov.uk/parks,Carlisle Lane,Waterloo,Lambeth,Greater London,SE1 7LE
True,,11,Streatham Common Wild Garlic,Wild Foraging,vegetables,wild-greens,51.4254,-0.1283,Spring wild garlic in Streatham woodland.,"Wild garlic carpets the shaded woodland fringes of Streatham Common each spring. Leaves can be used in pesto, salads and butter.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,44,0,0,,streatham.garlic.spring,Spring,,https://www.lambeth.gov.uk/parks,Streatham Common North,Streatham,Lambeth,Greater London,SW16 3BX
True,,18,Brockwell Park Orchard,Community Orchard,fruits,tree-fruits,51.4517,-0.1073,Heritage apples near the lido.,"A small community orchard with heritage apple and pear varieties in this beloved south London park, near the famous lido.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",33,0,0,,brockwell.apple.lido,Autumn,,https://www.lambeth.gov.uk/parks,Norwood Road,Herne Hill,Lambeth,Greater London,SE24 9BJ
True,,19,Ruskin Park Orchard,Community Orchard,fruits,tree-fruits,51.4562,-0.0979,Community orchard in Denmark Hill park.,"An established orchard area in Ruskin Park with a mix of apple, plum and pear trees maintained by local volunteers.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums, pears",24,0,0,,ruskin.hill.fruit,Autumn,,https://www.lambeth.gov.uk/parks,Denmark Hill,Herne Hill,Lambeth,Greater London,SE5 8EQ
True,,47,Clapham Common Elderberries,Wild Foraging,fruits,berries,51.4612,-0.1419,Elder in the common's wilder borders.,The untended boundary areas and wooded sections of Clapham Common hold elder bushes for flowers in June and berries in September.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,34,0,0,,clapham.elder.common,Summer/Autumn,,https://www.lambeth.gov.uk/parks,Long Road,Clapham,Lambeth,Greater London,SW4 9DE
True,,6,Archbishop's Park Community Orchard,Community Orchard,fruits,tree-fruits,51.4973,-0.1166,Apples pears plums in Waterloo park.,"Over 25 fruit trees including Bramley apple, Victoria plum, Conference pear, peach, fig and damson planted in north-west corner near Lambeth Palace.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums, fig",42,0,0,,fresh.park.fruit,Autumn,,https://www.lambeth.gov.uk/parks,"Carlisle Lane, Waterloo",London,Lambeth,Greater London,SE1 7LE
True,,7,Streatham Common Wild Garlic,Wild Foraging,vegetables,wild-greens,51.4254,-0.1283,Spring wild garlic in Streatham woodland.,"Wild garlic carpets the shaded woodland fringes of Streatham Common each spring. Leaves can be used in pesto, salads and butter.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,44,0,0,,streatham.garlic.spring,Spring,,https://www.lambeth.gov.uk/parks,Streatham Common North,London,Lambeth,Greater London,SW16 3BX
True,,8,Lambeth Community Garden 1,Community Garden,vegetables,community-garden,51.5073,-0.1183,Local food growing project in Lambeth.,A community project in Lambeth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,blackberries,20,0,0,,lambeth.garden.32,Spring/Summer,,https://www.lambeth.gov.uk/parks,"Local Park, Lambeth, Greater London",London,Lambeth,Greater London,SW1A 1AA
True,,9,Lambeth Community Garden 2,Community Orchard,nuts,hedgerow-fruit,51.4883,-0.1242,Local food growing project in Lambeth.,A community project in Lambeth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,9,0,0,,lambeth.garden.9,Spring/Summer,,https://www.lambeth.gov.uk/parks,"Local Park, Lambeth, Greater London",London,Lambeth,Greater London,SW1A 1AA
True,,10,Lambeth Community Garden 3,Wild Foraging,vegetables,hedgerow-fruit,51.481,-0.0984,Local food growing project in Lambeth.,A community project in Lambeth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,5,0,0,,lambeth.garden.37,Spring/Summer,,https://www.lambeth.gov.uk/parks,"Local Park, Lambeth, Greater London",London,Lambeth,Greater London,SW1A 1AA
