approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,4,Nursery Row Park Orchard,Community Orchard,fruits,tree-fruits,51.4939,-0.0836,Community fruit trees in Southwark park.,"Fruit trees planted by the London Orchard Project in a well-used community park in Bermondsey, open for public picking in season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",22,0,0,,row.park.fruit,Autumn,,https://www.southwark.gov.uk/parks,Townsend Street,Bermondsey,Southwark,Greater London,SE17 1HB
True,,12,Dulwich Park Wild Garlic & Sorrel,Wild Foraging,vegetables,wild-greens,51.4484,-0.0831,Spring foraging in south London park.,Dulwich Park is a noted foraging spot in spring for wild garlic and wood sorrel in the quieter wooded sections.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, sorrel",38,0,0,,dulwich.garlic.green,Spring,,https://www.southwark.gov.uk/parks,Gallery Road,Dulwich,Southwark,Greater London,SE21 7BQ
True,,40,Nunhead Cemetery Wild Fruits,Wild Foraging,fruits,hedgerow-fruit,51.4639,-0.0574,Hedgerow fruits in Victorian cemetery woodland.,"Nunhead Cemetery's wild woodland sections offer blackberries, elder, rosehips and hawthorn berries among its Victorian overgrowth.",8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"blackberries, rosehips, hawthorn",33,0,0,,nunhead.hedge.wild,Summer/Autumn,,https://www.southwark.gov.uk/parks,Linden Grove,Nunhead,Southwark,Greater London,SE15 3LP
True,,41,Peckham Rye Park Wild Garlic,Wild Foraging,vegetables,wild-greens,51.4641,-0.0673,Spring garlic in south London park woodland.,"Wild garlic grows in the damp shaded corners of Peckham Rye Park in spring, alongside wood sorrel and hawthorn flowers.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,29,0,0,,peckham.garlic.shade,Spring,,https://www.southwark.gov.uk/parks,Strakers Road,Peckham,Southwark,Greater London,SE15 3UA
True,,5,Dulwich Park Wild Garlic & Sorrel,Wild Foraging,vegetables,wild-greens,51.4484,-0.0831,Spring foraging in south London park.,Dulwich Park is a noted foraging spot in spring for wild garlic and wood sorrel in the quieter wooded sections.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, sorrel",38,0,0,,dulwich.garlic.green,Spring,,https://www.southwark.gov.uk/parks,"Gallery Road, Dulwich",London,Southwark,Greater London,SE21 7BQ
True,,6,Denmark Hill Community Garden,Community Garden,vegetables,community-garden,51.4560,-0.0950,Open allotment growing food sovereignty.,"A small open allotment on Denmark Hill Estate, serving a diverse residential community. Produce diverted to local food bank.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, fruit",35,0,0,,denmark.hill.community,Spring/Summer,,https://nationalparkcity.london,Denmark Hill Estate,London,Southwark,Greater London,SE5 8JY
True,,7,Southwark Community Garden 1,Community Garden,vegetables,tree-fruits,51.5069,-0.0766,Local food growing project in Southwark.,A community project in Southwark growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,12,0,0,,southwark.garden.61,Spring/Summer,,https://www.southwark.gov.uk/parks,"Local Park, Southwark, Greater London",London,Southwark,Greater London,SW1A 1AA
True,,8,Southwark Community Garden 2,Community Garden,vegetables,hedgerow-fruit,51.481,-0.0646,Local food growing project in Southwark.,A community project in Southwark growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,25,0,0,,southwark.garden.9,Spring/Summer,,https://www.southwark.gov.uk/parks,"Local Park, Southwark, Greater London",London,Southwark,Greater London,SW1A 1AA
True,,9,Southwark Community Garden 3,Community Garden,vegetables,community-garden,51.5054,-0.0814,Local food growing project in Southwark.,A community project in Southwark growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, pears",9,0,0,,southwark.garden.6,Spring/Summer,,https://www.southwark.gov.uk/parks,"Local Park, Southwark, Greater London",London,Southwark,Greater London,SW1A 1AA
True,,10,Southwark Community Garden 4,Wild Foraging,fruits,tree-fruits,51.5179,-0.0878,Local food growing project in Southwark.,A community project in Southwark growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,22,0,0,,southwark.garden.18,Spring/Summer,,https://www.southwark.gov.uk/parks,"Local Park, Southwark, Greater London",London,Southwark,Greater London,SW1A 1AA
