approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,13,Putney Heath Gorse Flowers,Wild Foraging,fruits,hedgerow-fruit,51.4487,-0.2201,Year-round gorse on Putney Heath.,"Gorse flowers are abundant on Putney Heath and flower almost year-round. The coconut-scented blooms can be used in salads, teas and syrups.",1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,gorse,21,0,0,,heath.gorse.yellow,Year-round,,https://www.wandsworth.gov.uk/parks,Putney Heath,Putney,Wandsworth,Greater London,SW15 3JH
True,,14,Battersea Park Elderflower & Berries,Wild Foraging,fruits,berries,51.4796,-0.1567,Elderflower and berries in riverside park.,Elder bushes grow along the wilder fringes of Battersea Park. Harvest flowers for cordial in early summer and berries in early autumn.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,29,0,0,,battersea.elder.river,Summer/Autumn,,https://www.wandsworth.gov.uk/parks,Albert Bridge Road,Battersea,Wandsworth,Greater London,SW11 4NJ
True,,48,Tooting Commons Wild Garlic,Wild Foraging,vegetables,wild-greens,51.4342,-0.1530,Spring garlic in damp common woodland.,The wooded sections of Tooting Bec and Tooting Graveney Commons are good spots for wild garlic in spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,26,0,0,,tooting.garlic.common,Spring,,https://www.wandsworth.gov.uk/parks,Tooting Bec Road,Tooting,Wandsworth,Greater London,SW17 8BS
True,,50,BPCG Forest Garden (Balham & Clapham),Community Orchard,fruits,tree-fruits,51.4408,-0.1503,30-tree forest garden in south London.,"Around 30 trees planted in 2000 as a forest gardening project: apples, pears, walnut, quinces, apricots, mulberries, plums, medlars and greengages.",7;8;9;10,https://images.unsplash.com/photo-1560493676-04újc5f467b?w=512&q=80,"apples, quinces, mulberries, medlars",31,0,0,,balham.forest.garden,Summer/Autumn,,https://www.lambeth.gov.uk,Balham High Road,Balham,Wandsworth,Greater London,SW12 9BW
True,,51,Froebel's Orchard Roehampton,Community Orchard,fruits,tree-fruits,51.4591,-0.2341,1920s orchard at Roehampton University.,"Remnants of an orchard planted in the 1920s in the grounds of Froebel's College, now Roehampton University. Heritage apple and pear trees.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",13,0,0,,froebel.campus.orchard,Autumn,,https://www.roehampton.ac.uk,Froebel College,Roehampton,Wandsworth,Greater London,SW15 5PH
True,,6,Tooting Commons Wild Garlic,Wild Foraging,vegetables,wild-greens,51.4342,-0.1530,Spring garlic in damp common woodland.,The wooded sections of Tooting Bec and Tooting Graveney Commons are good spots for wild garlic in spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,26,0,0,,tooting.garlic.common,Spring,,https://www.wandsworth.gov.uk/parks,"Tooting Bec Road, Tooting",London,Wandsworth,Greater London,SW17 8BS
True,,7,Wandsworth Community Garden 1,Community Orchard,fruits,street-planters,51.4685,-0.1821,Local food growing project in Wandsworth.,A community project in Wandsworth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,17,0,0,,wandsworth.garden.89,Spring/Summer,,https://www.wandsworth.gov.uk/parks,"Local Park, Wandsworth, Greater London",London,Wandsworth,Greater London,SW1A 1AA
True,,8,Wandsworth Community Garden 2,Wild Foraging,vegetables,hedgerow-fruit,51.4497,-0.1734,Local food growing project in Wandsworth.,A community project in Wandsworth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,elderberries,16,0,0,,wandsworth.garden.55,Spring/Summer,,https://www.wandsworth.gov.uk/parks,"Local Park, Wandsworth, Greater London",London,Wandsworth,Greater London,SW1A 1AA
True,,9,Wandsworth Community Garden 3,Wild Foraging,nuts,community-garden,51.4799,-0.178,Local food growing project in Wandsworth.,A community project in Wandsworth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,14,0,0,,wandsworth.garden.33,Spring/Summer,,https://www.wandsworth.gov.uk/parks,"Local Park, Wandsworth, Greater London",London,Wandsworth,Greater London,SW1A 1AA
True,,10,Wandsworth Community Garden 4,Wild Foraging,fruits,hedgerow-fruit,51.4492,-0.1711,Local food growing project in Wandsworth.,A community project in Wandsworth growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,10,0,0,,wandsworth.garden.25,Spring/Summer,,https://www.wandsworth.gov.uk/parks,"Local Park, Wandsworth, Greater London",London,Wandsworth,Greater London,SW1A 1AA
