approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Wardown Park Orchard,Community Orchard,fruits,tree-fruits,51.892,-0.422,Heritage fruit trees by the lake.,Publicly accessible apple and pear trees located near the museum and lakeside path.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",21,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton1,Old Bedford Road,Luton,Wardown,Bedfordshire,LU2
True,,4,Bury Park Incredible Edible,Incredible Edible,vegetables,street-planters,51.886,-0.428,Urban herb planters in the town center.,Street-side planters with hardy herbs like rosemary and thyme for public use.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,14,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/luton4,Dunstable Road,Luton,Bury Park,Bedfordshire,LU1
True,,5,Bramingham Wood Wild Garlic,Wild Foraging,vegetables,wild-greens,51.921,-0.455,Ancient woodland garlic carpets.,A prime spot for wild garlic (ramsons) throughout the woodland floor in spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,39,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/luton5,Bramingham Road,Luton,Bramingham,Bedfordshire,LU3
True,,7,Stockwood Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.865,-0.425,Hazel trees in parkland and woods.,Mature hazel trees can be found along the wooded perimeter of the golf course and park.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,18,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton7,London Road,Luton,South Luton,Bedfordshire,LU1
True,,2,River Lea Path Berries,Wild Foraging,fruits,berries,51.875,-0.412,Blackberries along the riverside path.,"Inland riparian foraging along the Upper Lea path, offering abundant blackberries.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/luton2,Luton Hoo Access,Luton,Park Town,Bedfordshire,LU1
True,,8,Bradgers Hill Sloes,Wild Foraging,fruits,hedgerow-fruit,51.905,-0.405,Blackthorn bushes on the chalk downland.,A chalk grassland site perfect for finding sloes in the autumn.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,9,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton8,Bradgers Hill Road,Luton,Stopsley,Bedfordshire,LU2
True,,10,Wigmore Park Fruit Trees,Community Orchard,fruits,tree-fruits,51.888,-0.375,Scattered fruit trees in open parkland.,Urban park area with several public-access apple and damson trees.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, damsons",11,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton10,Eaton Green Road,Luton,Wigmore,Bedfordshire,LU2
True,,11,Galley Hill Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.925,-0.428,Wild roses on the Chiltern edge.,Great rural foraging for rosehips and hawthorn berries along the hill crest.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,7,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton11,Galley & Warden Hills,Luton,North Luton,Bedfordshire,LU3
True,,12,Luton Town Centre Herbs,Incredible Edible,vegetables,street-planters,51.88,-0.415,Central herb planters near St Mary's.,"Small community planters with chives, parsley, and edible flowers.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/luton12,St Mary's Road,Luton,Central,Bedfordshire,LU1
True,,13,Putteridge Walnuts,Wild Foraging,nuts,woodland-nuts,51.902,-0.378,Public walnut trees in rural fringe.,Scattered walnut trees found along the boundary of the Putteridge Bury estate.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,10,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/luton13,Putteridge Road,Luton,Stopsley Fringe,Bedfordshire,LU2
