approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Mote Park Community Orchard,Community Orchard,fruits,tree-fruits,51.265,0.542,Heritage fruit in the heart of the park.,"A community-managed orchard area near the main lake featuring Kentish Cobnuts, apples, and pears.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"cobnuts, apples, pears",58,0,0,,park.fruit.shared,Autumn,,http://googleusercontent.com/maps.google.com/md1,Mote Avenue,Maidstone,Town Centre,Kent,ME15
True,,2,River Medway Wild Garlic,Wild Foraging,vegetables,wild-greens,51.282,0.505,Riverside spring greens.,"The wooded, damp banks along the Medway Towpath (heading toward Allington) are prolific for wild garlic.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,44,0,0,,river.garlic.shade,Spring,,http://googleusercontent.com/maps.google.com/md2,Castle Road,Allington,Maidstone,Kent,ME16
True,,3,Incredible Edible Maidstone - Town Centre,Incredible Edible,vegetables,street-planters,51.272,0.522,High street herb planters.,"Street-side planters managed by community groups featuring rosemary, thyme, and seasonal greens.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",26,0,0,,town.herb.grow,Summer,,http://googleusercontent.com/maps.google.com/md3,Week Street,Maidstone,Town Centre,Kent,ME14
True,,4,Vinters Valley Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.278,0.548,Ancient woodland nut gathering.,The nature reserve is home to several mature sweet chestnut trees and hazel thickets.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,"chestnuts, hazelnuts",39,0,0,,valley.nut.find,Autumn,,http://googleusercontent.com/maps.google.com/md4,Grange Lane,Maidstone,Vinters Park,Kent,ME14
True,,5,Barming Wild Plums,Wild Foraging,fruits,tree-fruits,51.268,0.475,Feral plum trees in the lanes.,The quiet lanes and public footpaths in the Barming area often feature wild bullace and plum trees.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,plums,18,0,0,,lane.plum.sweet,Autumn,,http://googleusercontent.com/maps.google.com/md5,North Street,Barming,Maidstone,Kent,ME16
True,,6,Medway Valley Blackberries,Wild Foraging,fruits,berries,51.285,0.485,River-walk bramble bounty.,Miles of blackberry bushes line the river path heading north toward Aylesford.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,32,0,0,,river.berry.walk,Summer,,http://googleusercontent.com/maps.google.com/md6,Aylesford Path,Aylesford,Maidstone Fringe,Kent,ME20
True,,7,Whatman Park Elder,Wild Foraging,fruits,berries,51.282,0.518,Riverside elderflower.,Abundant elder bushes for flowers and berries grow along the wilder edges of the park.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,21,0,0,,park.elder.bloom,Summer/Autumn,,http://googleusercontent.com/maps.google.com/md7,St Peters St,Maidstone,Town Centre,Kent,ME16
True,,8,Otham Walnuts,Wild Foraging,nuts,woodland-nuts,51.252,0.575,Village lane nut trees.,Public footpaths bordering old farm estates in Otham feature several mature walnut trees.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,12,0,0,,village.nut.path,Autumn,,http://googleusercontent.com/maps.google.com/md8,White Horse Lane,Otham,Maidstone Fringe,Kent,ME15
True,,9,Bearsted Green Sloes,Wild Foraging,fruits,hedgerow-fruit,51.268,0.578,Blackthorn on the Green.,The hedgerows bordering the green and the railway line are reliable for sloe picking.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,15,0,0,,green.sloe.gin,Autumn,,http://googleusercontent.com/maps.google.com/md9,The Green,Bearsted,Maidstone,Kent,ME14
True,,10,Len Valley Nature Reserve Wild Mint,Wild Foraging,vegetables,wild-greens,51.272,0.545,Watermint in the valley.,The damp areas along the River Len are excellent for gathering wild watermint and sorrel.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"mint, sorrel",11,0,0,,valley.green.mint,Summer,,http://googleusercontent.com/maps.google.com/md10,Vinters Park,Maidstone,Vinters,Kent,ME14
True,,11,Medway Estuary Samphire (Lower Medway),Coastal Foraging,vegetables,coastal-greens,51.385,0.705,Coastal greens near Upchurch.,"Though a drive from Maidstone, the salt marshes here offer marsh samphire (check tide times).",6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,samphire,19,0,0,,salt.marsh.greens,Summer,,http://googleusercontent.com/maps.google.com/md11,Shoreline,Upchurch,Medway Fringe,Kent,ME8
True,,12,Coxheath Community Orchard,Community Orchard,fruits,tree-fruits,51.235,0.485,Modern village orchard.,"A mix of fruit trees planted for the community, including apples and cherries.",7;8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, cherries",14,0,0,,village.fruit.ripe,Summer/Autumn,,http://googleusercontent.com/maps.google.com/md12,Heath Road,Coxheath,Maidstone Fringe,Kent,ME17
True,,13,White Horse Wood Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.295,0.585,North Downs rosehips.,Wild rose bushes are common along the edge of the plateau and nature trails.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,8,0,0,,rose.wood.view,Autumn,,http://googleusercontent.com/maps.google.com/md13,Detling Hill,Detling,Maidstone Fringe,Kent,ME14
True,,14,Park Wood Incredible Edible,Incredible Edible,vegetables,street-planters,51.248,0.545,Estate herb project.,"Planters near the community hub and shopping parade featuring chives, mint, and chard.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, chard",11,0,0,,estate.herb.grow,Summer,,http://googleusercontent.com/maps.google.com/md14,Park Wood Parade,Maidstone,Park Wood,Kent,ME15
True,,15,Boxley Road Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.292,0.532,Lower slope hazelnuts.,Hazel trees line the historic paths leading up toward the North Downs Way.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,13,0,0,,hazel.slope.find,Autumn,,http://googleusercontent.com/maps.google.com/md15,Boxley Road,Maidstone,North Maidstone,Kent,ME14
