approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Platt Fields Community Orchard,Community Orchard,fruits,tree-fruits,53.45,-2.219,Public orchard with apples and pears.,Community-maintained orchard with seasonal fruit available for local picking.,9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples,pears,community",0,0,0,,orchard.fruit.share,Autumn,,https://www.manchester.gov.uk/,Platt Fields Park,Manchester,Fallowfield,Greater Manchester,M14
True,,2,Hulme Community Garden,Community Garden,vegetables,raised-beds,53.465,-2.251,Volunteer-run vegetable growing site.,Residents can help grow and occasionally collect surplus vegetables.,5;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"veg,garden,community",0,0,0,,garden.share.grow,Summer,,https://www.incredibleedible.org.uk/,Old Birley Street,Manchester,Hulme,Greater Manchester,M15
True,,3,Alexandra Park Fruit Trees,Public Fruit Trees,fruits,tree-fruits,53.444,-2.23,Free public fruit trees in parkland.,Seasonal apples and plums available around the park pathways.,8;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"fruit,park,trees",0,0,0,,apple.tree.park,Autumn,,https://www.manchester.gov.uk/,Alexandra Road South,Manchester,Moss Side,Greater Manchester,M16
True,,4,Incredible Edible Prestwich,Incredible Edible,vegetables,street-planters,53.524,-2.287,Open-access herb and vegetable planters.,Community food-growing beds with herbs and vegetables for public use.,6;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs,veg,urban",0,0,0,,share.herbs.urban,Summer,,https://www.incredibleedible.org.uk/,Longfield Centre,Prestwich,Prestwich,Greater Manchester,M25
True,,5,Chorlton Water Park Blackberries,Wild Foraging,fruits,berries,53.429,-2.277,Wild blackberry bushes around pathways.,Seasonal blackberry picking along public walking trails.,7;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5543?w=512&q=80,"berries,foraging,nature",0,0,0,,berries.water.trails,Summer,,https://www.manchester.gov.uk/,Chorlton Water Park,Manchester,Chorlton,Greater Manchester,M21
True,,6,Platt Fields Market Garden,Community Garden,vegetables,community-garden,53.450,-2.225,Former bowling green turned market garden.,PFMG produces over 1 tonne of food on just ½ an acre. Member of CSA network with volunteer days.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables,CSA",28,0,0,,plattfields.mud.garden,Summer,,https://www.wearemud.org,"Platt Fields Park, Fallowfield",Manchester,Fallowfield,Greater Manchester,M14 6LA
True,,7,Hulme Community Garden Centre,Community Garden,vegetables,community-garden,53.465,-2.251,2-acre community garden with café.,Not-for-profit garden centre with 10+ community groups. Open 7 days with café serving home-cooked food.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables,cafe,community",35,0,0,,hulme.garden.centre,Summer,,https://hulmegardencentre.org.uk,28 Old Birley Street,Manchester,Hulme,Greater Manchester,M15 5RG
True,,8,Acorn Close Allotments,Community Garden,vegetables,allotment,53.450,-2.220,Organic allotments with wildlife focus.,"15 plots with community orchard along Cringle Brook. Home to foxes, hedgehogs and bats.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"organic,wildlife",22,0,0,,acorn.close.allotments,Summer,,https://acorncloseallotments.co.uk,"Highfield Road, Levenshulme",Manchester,Levenshulme,Greater Manchester,M19 3JX
True,,9,Eden Gardens Allotments,Community Garden,vegetables,allotment,53.480,-2.230,Award-winning allotments from former playground.,Deer and foxes visit this 15-plot site. Winner of Green Flag and Britain in Bloom awards.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"allotment,award-winning",26,0,0,,eden.gardens.award,Summer,,https://edengardensallotments.com,Whitefield,Manchester,Whitefield,Greater Manchester,M45 8HL
True,,10,Chorlton Community Garden,Community Garden,vegetables,community-garden,53.450,-2.250,Green oasis next to Chorlton Library.,"Restored community garden with apple trees, native hedges and edible planting. Volunteer sessions welcome.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"community,library",19,0,0,,chorlton.community.green,Summer,,https://chorltoncivicsociety.org,Manchester Road,Manchester,Chorlton,Greater Manchester,M21
True,,11,Growing Together Levenshulme,Community Garden,vegetables,community-garden,53.450,-2.200,Therapeutic gardening for asylum seekers.,"Large community of asylum seekers and volunteers growing vegetables, fruit and herbs together.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"therapeutic,refugee",24,0,0,,levenshulme.growing.together,Summer,,https://growingtogetherlevenshulme.org.uk,Highfield Road Allotments,Manchester,Levenshulme,Greater Manchester,M19 3JX
True,,12,Sow the City Beswick Garden,Community Garden,vegetables,raised-beds,53.480,-2.220,Wellbeing garden with wheelchair access.,Nature-based intervention project with raised beds and hard-surfaced paths. Partnering with health services.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"wellbeing,healthcare",17,0,0,,beswick.sow.the.city,Summer,,https://wearemud.org,Beswick,Manchester,Beswick,Greater Manchester,M11
True,,13,Didsbury Park Orchard,Community Orchard,fruits,tree-fruits,53.455,-2.220,Victorian park fruit trees.,Apple and pear trees in Didsbury Park open for public picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples,pears,park",22,0,0,,didsbury.park.fruit,Autumn,,https://www.manchester.gov.uk/,Didsbury Park,Manchester,Didsbury,Greater Manchester,M20
True,,14,Northern Quarter Planters,Incredible Edible,vegetables,street-planters,53.483,-2.237,Urban herb planters in trendy district.,"Street planters growing rosemary, thyme and other herbs in Manchester's Northern Quarter.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs,urban,nq",25,0,0,,nq.planters.herbs,Summer,,https://www.incredibleedible.org.uk/,Oldham Street,Manchester,Northern Quarter,Greater Manchester,M1
