approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Albert Park Community Orchard,Community Orchard,fruits,tree-fruits,54.562,-1.232,Heritage fruit trees in the heart of town.,Public access apple and pear trees located near the roller rink and lake area of this historic park.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",29,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.562&mlon=-1.232#map=17/54.562/-1.232,Linthorpe Road,Middlesbrough,Central,North Yorkshire,TS1
True,,2,Stewart Park Deer Park Walnuts,Wild Foraging,nuts,woodland-nuts,54.545,-1.198,Mature nut trees in Captain Cook's birthplace.,Scattered walnut and sweet chestnut trees can be found along the wooded paths near the animal enclosures.,9;10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,"walnuts, chestnuts",35,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.545&mlon=-1.198#map=17/54.545/-1.198,The Ladle,Middlesbrough,Marton,North Yorkshire,TS7
True,,3,Tees Estuary Sea Samphire,Coastal Foraging,vegetables,coastal-greens,54.615,-1.165,Salt-marsh succulents.,Marsh samphire and sea aster thrive on the muddy tidal banks near Saltholme and North Gare.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"samphire, sea aster",22,0,0,,,Summer,,https://www.openstreetmap.org/?mlat=54.615&mlon=-1.165#map=17/54.615/-1.165,Port Clarence Road,Middlesbrough Fringe,Teesmouth,County Durham,TS2
True,,4,Incredible Edible Middlesbrough - Town Hall,Incredible Edible,vegetables,street-planters,54.575,-1.234,Urban planters in the Civic Square.,"Community planters featuring hardy herbs, kale, and pollinator-friendly edible flowers.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",15,0,0,,,Summer,,https://www.openstreetmap.org/?mlat=54.575&mlon=-1.234#map=17/54.575/-1.234,Albert Road,Middlesbrough,City Centre,North Yorkshire,TS1
True,,5,Fairy Dell Wild Garlic,Wild Foraging,vegetables,wild-greens,54.528,-1.215,Ancient woodland garlic carpets.,This hidden beck-side woodland is famous for its spring covering of ramsons (wild garlic).,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,48,0,0,,,Spring,,https://www.openstreetmap.org/?mlat=54.528&mlon=-1.215#map=17/54.528/-1.215,Gunnergate Lane,Middlesbrough,Coulby Newham,North Yorkshire,TS8
True,,6,Maze Park Blackberries,Wild Foraging,fruits,berries,54.571,-1.285,Riparian berry picking.,Massive bramble thickets line the riverside paths of this nature reserve near the Tees Barrage.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,12,0,0,,,Summer,,https://www.openstreetmap.org/?mlat=54.571&mlon=-1.285#map=17/54.571/-1.285,Tees Barrage Way,Middlesbrough,Thornaby Fringe,North Yorkshire,TS17
True,,7,Thorntree Hub Orchard,Community Orchard,fruits,tree-fruits,54.568,-1.185,Community estate fruit.,A local project providing community access to apples and plums on public green space.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums",21,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.568&mlon=-1.185#map=17/54.568/-1.185,Birkhall Road,Middlesbrough,Thorntree,North Yorkshire,TS3
True,,8,Newham Grange Hazelnuts,Wild Foraging,nuts,woodland-nuts,54.535,-1.228,Hazel groves near the farm.,Wild hazel trees line the public bridalways and paths surrounding the Newham Grange Farm area.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,14,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.535&mlon=-1.228#map=17/54.535/-1.228,Wykeham Way,Middlesbrough,Coulby Newham,North Yorkshire,TS8
True,,9,Ormesby Hall Sloes,Wild Foraging,fruits,hedgerow-fruit,54.542,-1.178,Blackthorn on the estate boundary.,Public footpaths bordering the National Trust estate are rich in blackthorn bushes for sloe picking.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,17,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.542&mlon=-1.178#map=17/54.542/-1.178,Ladgate Lane,Middlesbrough,Ormesby,North Yorkshire,TS3
True,,10,Linthorpe Cemetery Elder,Wild Foraging,fruits,berries,54.565,-1.252,Elderflower in a nature reserve.,This green lung of the city acts as a nature reserve with abundant elder bushes for flowers and berries.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,11,0,0,,,Summer/Autumn,,https://www.openstreetmap.org/?mlat=54.565&mlon=-1.252#map=17/54.565/-1.252,Ayresome Green Lane,Middlesbrough,Linthorpe,North Yorkshire,TS5
True,,11,Middlehaven Edible Planters,Incredible Edible,vegetables,street-planters,54.582,-1.225,Modern urban edibles.,"Regeneration area featuring street planters with rosemary, chives, and occasional strawberry plants.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, strawberries",9,0,0,,,Summer,,https://www.openstreetmap.org/?mlat=54.582&mlon=-1.225#map=17/54.582/-1.225,Hudson Quay,Middlesbrough,Middlehaven,North Yorkshire,TS2
True,,12,Redcar Coast Sea Kale,Coastal Foraging,vegetables,coastal-greens,54.618,-1.065,Coastal greens on the shingle.,Wild Sea Kale and Sea Beet can be found on the shingle beaches just south of South Gare.,4;5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sea kale, sea beet",19,0,0,,,Spring/Summer,,https://www.openstreetmap.org/?mlat=54.618&mlon=-1.065#map=17/54.618/-1.065,South Gare,Redcar,Coastal Fringe,North Yorkshire,TS10
True,,13,Stainsby Wood Rosehips,Wild Foraging,fruits,hedgerow-fruit,54.542,-1.295,Hedge fruit near the beck.,Wild rosehips and haws are plentiful along the wooded fringes of the Stainsby Beck area.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",6,0,0,,,Autumn,,https://www.openstreetmap.org/?mlat=54.542&mlon=-1.295#map=17/54.542/-1.295,Jack Simon Way,Middlesbrough,Acklam,North Yorkshire,TS5
True,,14,Flatts Lane Rosehips & Haws,Wild Foraging,fruits,hedgerow-fruit,54.541,-1.145,Upland foraging on the hills.,The country park offers excellent hedgerow foraging for berries as you climb toward Eston Nab.,9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",13,0,0,,gather.hill.view,Autumn,,https://www.openstreetmap.org/?mlat=54.541&mlon=-1.145#map=17/54.541/-1.145,Flatts Lane,Normanby,Middlesbrough Fringe,North Yorkshire,TS6
True,,15,Bluebell Beck Wild Greens,Wild Foraging,vegetables,wild-greens,54.538,-1.242,Riverside meadow plants.,Find wild sorrel and meadowsweet in the damp meadows surrounding the beck.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, meadowsweet",8,0,0,,,Summer,,https://www.openstreetmap.org/?mlat=54.538&mlon=-1.242#map=17/54.538/-1.242,Bluebell Lane,Middlesbrough,Acklam,North Yorkshire,TS5
