approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Leazes Park Community Orchard,Community Orchard,fruits,tree-fruits,54.978,-1.625,Located within the historic park. Features apple and pear trees available f...,Located within the historic park. Features apple and pear trees available for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.978,-1.625",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE2 4BJ
True,,2,Incredible Edible Newcastle (Heaton),Urban Foraging,vegetables,street-planters,54.985,-1.585,Active community planters along Heaton Road and surrounding streets with fr...,Active community planters along Heaton Road and surrounding streets with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.985,-1.585",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE6 5HP
True,,3,Jesmond Dene Foraging,Public Park,wild,mixed-forage,54.992,-1.595,"Wooded valley offering wild garlic (spring), elderberries, and blackberries...","Wooded valley offering wild garlic (spring), elderberries, and blackberries along the Ouseburn riverbanks.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.992,-1.595",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE7 7DA
True,,4,Coastal Foraging (Tynemouth Longsands),Coastal Foraging,wild,coastal,55.022,-1.425,"Rocky shoreline and dunes offering sea beet, sea kale, and carrageen seawee...","Rocky shoreline and dunes offering sea beet, sea kale, and carrageen seaweed.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.022,-1.425",Tynemouth,Tynemouth,Tynemouth,Tyne and Wear,NE30 4HH
True,,5,Ouseburn Farm Edible Hedges,Urban Foraging,wild,mixed-forage,54.975,-1.592,Publicly accessible hedges around the farm featuring fruit bushes and elder...,Publicly accessible hedges around the farm featuring fruit bushes and elder trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.975,-1.592",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE1 2PA
True,,6,Exhibition Park Orchard,Community Orchard,fruits,tree-fruits,54.985,-1.618,Traditional fruit trees integrated into the park landscape near the lake.,Traditional fruit trees integrated into the park landscape near the lake.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.985,-1.618",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE2 4PZ
True,,7,Incredible Edible Newcastle (Benwell),Urban Foraging,vegetables,street-planters,54.972,-1.658,Community growing spots in the West End providing free herbs and greens.,Community growing spots in the West End providing free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.972,-1.658",Benwell,Benwell,Benwell,Tyne and Wear,NE4 8XF
True,,8,Hadrian's Way Foraging Path,Public Path,wild,hedgerow,54.975,-1.725,"Linear trail with abundant elderberries, blackberries, and rosehips.","Linear trail with abundant elderberries, blackberries, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.975,-1.725",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE15 8LN
True,,9,Big Waters Nature Reserve,Nature Reserve,wild,mixed-forage,55.052,-1.635,"Wetland and woodland offering sloes, elderberries, and blackberries.","Wetland and woodland offering sloes, elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.052,-1.635",Brunswick,Brunswick,Brunswick,Tyne and Wear,NE13 7BD
True,,10,Incredible Edible Newcastle (Fenham),Urban Foraging,vegetables,street-planters,54.982,-1.652,Raised beds and planters near local shops featuring culinary herbs.,Raised beds and planters near local shops featuring culinary herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.982,-1.652",Fenham,Fenham,Fenham,Tyne and Wear,NE4 9UX
True,,11,Gosforth Central Park Edible Edge,Public Park,wild,mixed-forage,55.002,-1.618,Boundary paths with fruit bushes and wild garlic patches.,Boundary paths with fruit bushes and wild garlic patches.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=55.002,-1.618",Gosforth,Gosforth,Gosforth,Tyne and Wear,NE3 1AB
True,,12,Tyne Riverside Country Park,Nature Reserve,wild,river-forage,54.985,-1.745,"Riverside trails offering blackberries, elderberries, and wild cherries.","Riverside trails offering blackberries, elderberries, and wild cherries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.985,-1.745",Newburn,Newburn,Newburn,Tyne and Wear,NE15 8ND
True,,13,Incredible Edible Newcastle (Byker),Urban Foraging,vegetables,street-planters,54.975,-1.582,Planters near the Byker Wall and community hub with free seasonal veg.,Planters near the Byker Wall and community hub with free seasonal veg.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=54.975,-1.582",Byker,Byker,Byker,Tyne and Wear,NE6 2AL
