approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Grapes Hill Community Garden,Community Garden,fruits,urban-growing,52.631,1.285,Grapes Hill Community Garden in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Norwich,Norwich,Norwich,Norfolk,NR2 4HH
TRUE,,2,Incredible Edible North Walsham,Incredible Edible,vegetables,urban-growing,52.822,1.385,Incredible Edible North Walsham in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,North Walsham,North Walsham,North Walsham,Norfolk,NR28 9BT
TRUE,,3,Sheringham Community Orchard,Community Orchard,fruits,tree-fruits,52.942,1.205,Sheringham Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Sheringham,Sheringham,Sheringham,Norfolk,NR26 8SR
TRUE,,4,Incredible Edible Diss,Incredible Edible,herbs,urban-growing,52.378,1.108,Incredible Edible Diss in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Diss,Diss,Diss,Norfolk,IP22 4LB
TRUE,,5,King's Lynn Community Orchard,Community Orchard,fruits,tree-fruits,52.752,0.395,King's Lynn Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,King's Lynn,King's Lynn,King's Lynn,Norfolk,PE30 1QQ
TRUE,,6,Incredible Edible Cromer,Incredible Edible,vegetables,urban-growing,52.932,1.302,Incredible Edible Cromer in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Cromer,Cromer,Cromer,Norfolk,NR27 9EF
TRUE,,7,Wymondham Community Orchard,Community Orchard,fruits,tree-fruits,52.571,1.115,Wymondham Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Wymondham,Wymondham,Wymondham,Norfolk,NR18 0AL
TRUE,,8,Incredible Edible Swaffham,Incredible Edible,herbs,urban-growing,52.648,0.685,Incredible Edible Swaffham in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Swaffham,Swaffham,Swaffham,Norfolk,PE37 7AB
TRUE,,9,Heacham Community Orchard,Community Orchard,fruits,tree-fruits,52.908,0.492,Heacham Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Heacham,Heacham,Heacham,Norfolk,PE31 7EF
TRUE,,10,The Hamlet Charity Orchard (Norwich),Community Orchard,fruits,tree-fruits,52.615,1.295,The Hamlet Charity Orchard (Norwich) in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Norwich,Norwich,Norwich,Norfolk,NR1 2EE
TRUE,,11,Holt Community Orchard,Community Orchard,fruits,tree-fruits,52.905,1.085,Holt Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Holt,Holt,Holt,Norfolk,NR25 6DN
TRUE,,12,Acle Edible Trail,Incredible Edible,vegetables,urban-growing,52.632,1.552,Acle Edible Trail in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Acle,Acle,Acle,Norfolk,NR13 3QT
TRUE,,13,Dereham Community Trees,Community Orchard,fruits,tree-fruits,52.682,0.942,Dereham Community Trees in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Dereham,Dereham,Dereham,Norfolk,NR19 1AD
TRUE,,14,Incredible Edible Fakenham,Incredible Edible,herbs,urban-growing,52.831,0.848,Incredible Edible Fakenham in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Fakenham,Fakenham,Fakenham,Norfolk,NR21 9BE
TRUE,,15,Downham Market Orchard,Community Orchard,fruits,tree-fruits,52.605,0.385,Downham Market Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Downham Market,Downham Market,Downham Market,Norfolk,PE38 9EH
TRUE,,16,Incredible Edible Harleston,Incredible Edible,vegetables,urban-growing,52.402,1.298,Incredible Edible Harleston in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Harleston,Harleston,Harleston,Norfolk,IP20 9AD
TRUE,,17,Poringland Community Orchard,Community Orchard,fruits,tree-fruits,52.575,1.325,Poringland Community Orchard in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Poringland,Poringland,Poringland,Norfolk,NR14 7ST
TRUE,,18,Incredible Edible Watton,Incredible Edible,herbs,urban-growing,52.572,0.828,Incredible Edible Watton in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, norfolk, foraging, community",0,0,0,,,Summer,,,Watton,Watton,Watton,Norfolk,IP25 6AB
TRUE,,19,Stiffkey Saltmarsh (Samphire),Foraging,vegetables,coastal,52.955,0.935,Stiffkey Saltmarsh (Samphire) in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer,,,Stiffkey,Stiffkey,Stiffkey,Norfolk,NR23 1QD
TRUE,,20,Blakeney Point Sea Lavender,Foraging,herbs,coastal,52.975,1.015,Blakeney Point Sea Lavender in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Blakeney,Blakeney,Blakeney,Norfolk,NR25 7NW
TRUE,,21,Titchwell Marsh Sea Beet,Foraging,vegetables,coastal,52.962,0.605,Titchwell Marsh Sea Beet in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Titchwell,Titchwell,Titchwell,Norfolk,PE31 8BB
TRUE,,22,Hunstanton Cliffs (Sea Kale),Foraging,vegetables,coastal,52.945,0.495,Hunstanton Cliffs (Sea Kale) in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Hunstanton,Hunstanton,Hunstanton,Norfolk,PE36 6EL
TRUE,,23,Snettisham Coastal Greens,Foraging,vegetables,coastal,52.885,0.445,Snettisham Coastal Greens in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Snettisham,Snettisham,Snettisham,Norfolk,PE31 7RA
TRUE,,24,Morston Quay Samphire,Foraging,vegetables,coastal,52.955,0.985,Morston Quay Samphire in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",6;7;8,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer,,,Morston,Morston,Morston,Norfolk,NR25 7BH
TRUE,,25,Brancaster Staithe Marsh Herbs,Foraging,herbs,coastal,52.965,0.665,Brancaster Staithe Marsh Herbs in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Brancaster Staithe,Brancaster Staithe,Brancaster Staithe,Norfolk,PE31 8BW
TRUE,,26,Cley-next-the-Sea Foraging,Foraging,fruits,hedgerow,52.952,1.045,Cley-next-the-Sea Foraging in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Cley,Cley,Cley,Norfolk,NR25 7SA
TRUE,,27,Thornham Creek Sea Beet,Foraging,vegetables,coastal,52.968,0.575,Thornham Creek Sea Beet in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Thornham,Thornham,Thornham,Norfolk,PE36 6NZ
TRUE,,28,Wells-next-the-Sea Berries,Foraging,fruits,coastal,52.958,0.845,Wells-next-the-Sea Berries in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Wells,Wells,Wells,Norfolk,NR23 1DR
TRUE,,29,Sea Palling Dunes Buckthorn,Foraging,fruits,coastal,52.795,1.605,Sea Palling Dunes Buckthorn in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Sea Palling,Sea Palling,Sea Palling,Norfolk,NR12 0AL
TRUE,,30,Weybourne Cliffs Sloes,Foraging,fruits,coastal,52.945,1.145,Weybourne Cliffs Sloes in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Weybourne,Weybourne,Weybourne,Norfolk,NR25 7SZ
TRUE,,31,Burnham Deepdale Foraging,Foraging,herbs,coastal,52.965,0.675,Burnham Deepdale Foraging in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Burnham Deepdale,Burnham Deepdale,Burnham Deepdale,Norfolk,PE31 8DD
TRUE,,32,Caister-on-Sea Greens,Foraging,vegetables,coastal,52.645,1.725,Caister-on-Sea Greens in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Caister,Caister,Caister,Norfolk,NR30 5EL
TRUE,,33,Terrington St Clement Marsh,Foraging,vegetables,coastal,52.765,0.285,Terrington St Clement Marsh in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Terrington,Terrington,Terrington,Norfolk,PE34 4JL
TRUE,,34,Thetford Forest (Sweet Chestnuts),Foraging,nuts,woodland,52.455,0.725,Thetford Forest (Sweet Chestnuts) in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Thetford,Thetford,Thetford,Norfolk,IP27 0AF
TRUE,,35,Blickling Estate Hazelnuts,Foraging,nuts,parkland,52.812,1.232,Blickling Estate Hazelnuts in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Aylsham,Aylsham,Aylsham,Norfolk,NR11 6NF
TRUE,,36,Sandringham Woods Foraging,Foraging,fruits,woodland,52.825,0.515,Sandringham Woods Foraging in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Sandringham,Sandringham,Sandringham,Norfolk,PE35 6EN
TRUE,,37,Mousehold Heath Blackberries,Foraging,fruits,heathland,52.642,1.315,Mousehold Heath Blackberries in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Norwich,Norwich,Norwich,Norfolk,NR1 4HW
TRUE,,38,Sheringham Park (Nuts),Foraging,nuts,parkland,52.932,1.182,Sheringham Park (Nuts) in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Sheringham,Sheringham,Sheringham,Norfolk,NR26 8TL
TRUE,,39,Bacton Wood Hazelnuts,Foraging,nuts,woodland,52.825,1.455,Bacton Wood Hazelnuts in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,North Walsham,North Walsham,North Walsham,Norfolk,NR28 9UE
TRUE,,40,Burlingham Woods Wild Garlic,Foraging,herbs,woodland,52.625,1.515,Burlingham Woods Wild Garlic in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Spring,,,North Burlingham,North Burlingham,North Burlingham,Norfolk,NR13 4TA
TRUE,,41,Foxley Wood Foraging,Foraging,fruits,woodland,52.755,1.035,Foxley Wood Foraging in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Foxley,Foxley,Foxley,Norfolk,NR20 4QR
TRUE,,42,Whitlingham Country Park Fruits,Foraging,fruits,parkland,52.622,1.335,Whitlingham Country Park Fruits in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Trowse,Trowse,Trowse,Norfolk,NR14 8TR
TRUE,,43,Holt Country Park Nuts,Foraging,nuts,parkland,52.895,1.085,Holt Country Park Nuts in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Holt,Holt,Holt,Norfolk,NR25 6SP
TRUE,,44,Wayland Wood Sloes,Foraging,fruits,woodland,52.555,0.835,Wayland Wood Sloes in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Watton,Watton,Watton,Norfolk,IP25 6LW
TRUE,,45,Bawdeswell Heath Berries,Foraging,fruits,heathland,52.735,1.025,Bawdeswell Heath Berries in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Bawdeswell,Bawdeswell,Bawdeswell,Norfolk,NR20 4RZ
TRUE,,46,Lower Tas Valley Foraging,Foraging,fruits,riverbank,52.535,1.245,Lower Tas Valley Foraging in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Tasburgh,Tasburgh,Tasburgh,Norfolk,NR15 1AR
TRUE,,47,Wensum Valley Wild Garlic,Foraging,herbs,riverbank,52.655,1.185,Wensum Valley Wild Garlic in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Spring,,,Ringland,Ringland,Ringland,Norfolk,NR8 6AB
TRUE,,48,Broadland Path Blackberries,Foraging,fruits,riverbank,52.715,1.455,Broadland Path Blackberries in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Hoveton,Hoveton,Hoveton,Norfolk,NR12 8UR
TRUE,,49,Brandon Country Park Chestnuts,Foraging,nuts,parkland,52.435,0.625,Brandon Country Park Chestnuts in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Brandon (Border),Brandon (Border),Brandon (Border),Norfolk,IP27 0JW
TRUE,,50,Earlham Park Edible Trees,Foraging,fruits,parkland,52.625,1.235,Earlham Park Edible Trees in Norfolk.,"A location in Norfolk for community growing or wild foraging, from the salt marshes of North Norfolk to Thetford Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, norfolk, foraging, community",0,0,0,,,Summer/Autumn,,,Norwich,Norwich,Norwich,Norfolk,NR4 7TJ
