approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,York Community Orchard,Community Orchard,fruits,tree-fruits,53.945,-1.102,Located at West Bank Park. Features heritage Yorkshire apple varieties like...,Located at West Bank Park. Features heritage Yorkshire apple varieties like 'Ribston Pippin' and 'Yorkshire Greening'.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.945,-1.102",York,York,York,North Yorkshire,YO24 4NW
True,,2,Incredible Edible Northallerton,Urban Foraging,vegetables,street-planters,54.338,-1.432,Community planters at the library and high street with free-to-pick herbs a...,Community planters at the library and high street with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.338,-1.432",Northallerton,Northallerton,Northallerton,North Yorkshire,DL7 8LW
True,,3,Scarborough Coastal Path,Coastal Foraging,wild,coastal,54.275,-0.395,"Clifftop trails offering sea beet, rock samphire, and wild mustard along th...","Clifftop trails offering sea beet, rock samphire, and wild mustard along the South Bay.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.275,-0.395",Scarborough,Scarborough,Scarborough,North Yorkshire,YO11 1PB
True,,4,Harrogate Community Orchard,Community Orchard,fruits,tree-fruits,53.995,-1.542,Located at the Pinewoods. Managed for the community with various fruit tree...,Located at the Pinewoods. Managed for the community with various fruit trees and edible berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.995,-1.542",Harrogate,Harrogate,Harrogate,North Yorkshire,HG1 2PW
True,,5,Incredible Edible Skipton,Urban Foraging,vegetables,street-planters,53.962,-2.015,Community planters near the canal and town center featuring herbs and seaso...,Community planters near the canal and town center featuring herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.962,-2.015",Skipton,Skipton,Skipton,North Yorkshire,BD23 1JX
True,,6,Whitby West Cliff Foraging,Coastal Foraging,wild,coastal,54.488,-0.622,"Coastal slopes offering sea kale, sea beet, and rock samphire in summer.","Coastal slopes offering sea kale, sea beet, and rock samphire in summer.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.488,-0.622",Whitby,Whitby,Whitby,North Yorkshire,YO21 3HT
True,,7,Dalby Forest Foraging,Woodland,wild,woodland,54.275,-0.675,"Extensive forest trails offering wild raspberries, bilberries, and seasonal...","Extensive forest trails offering wild raspberries, bilberries, and seasonal mushrooms.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.275,-0.675",Pickering,Pickering,Pickering,North Yorkshire,YO18 7LT
True,,8,Ripon Community Orchard,Community Orchard,fruits,tree-fruits,54.135,-1.522,Located at Spa Park. Features traditional fruit trees open for public harve...,Located at Spa Park. Features traditional fruit trees open for public harvesting in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.135,-1.522",Ripon,Ripon,Ripon,North Yorkshire,HG4 2AF
True,,9,Incredible Edible Selby,Urban Foraging,vegetables,street-planters,53.782,-1.068,Public planters near the Abbey and town center with free herbs and salads.,Public planters near the Abbey and town center with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.782,-1.068",Selby,Selby,Selby,North Yorkshire,YO8 4PU
True,,10,River Ouse Riverside Path,Public Footpath,wild,river-forage,53.955,-1.085,Riverside paths offering wild garlic in spring and blackberries in autumn.,Riverside paths offering wild garlic in spring and blackberries in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.955,-1.085",York,York,York,North Yorkshire,YO1 7DZ
True,,11,Richmond Community Orchard,Community Orchard,fruits,tree-fruits,54.402,-1.735,Located at the Batts. Features local fruit varieties for public use near th...,Located at the Batts. Features local fruit varieties for public use near the river.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.402,-1.735",Richmond,Richmond,Richmond,North Yorkshire,DL10 4RG
True,,12,Incredible Edible Knaresborough,Urban Foraging,vegetables,street-planters,54.008,-1.468,Community planters near the castle and marketplace with herbs and veg.,Community planters near the castle and marketplace with herbs and veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.008,-1.468",Knaresborough,Knaresborough,Knaresborough,North Yorkshire,HG5 8AG
True,,13,Robin Hood's Bay Coastal Path,Coastal Foraging,wild,coastal,54.435,-0.535,"Coastal trails with sea beet, wild cabbage, and coastal berries.","Coastal trails with sea beet, wild cabbage, and coastal berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.435,-0.535",Robin Hood's Bay,Robin Hood's Bay,Robin Hood's Bay,North Yorkshire,YO22 4RL
True,,14,Malton Incredible Edible,Urban Foraging,vegetables,street-planters,54.135,-0.795,Public planters in the town center of 'Yorkshire's Food Capital' with free ...,Public planters in the town center of 'Yorkshire's Food Capital' with free herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.135,-0.795",Malton,Malton,Malton,North Yorkshire,YO17 7LX
True,,15,Thirsk Community Orchard,Community Orchard,fruits,tree-fruits,54.232,-1.342,Small orchard space near the park for community fruit picking.,Small orchard space near the park for community fruit picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.232,-1.342",Thirsk,Thirsk,Thirsk,North Yorkshire,YO7 1LX
True,,16,Nidd Gorge Foraging,Woodland,wild,woodland,54.015,-1.485,"Deep wooded valley offering wild garlic, hazelnuts, and blackberries.","Deep wooded valley offering wild garlic, hazelnuts, and blackberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.015,-1.485",Knaresborough,Knaresborough,Knaresborough,North Yorkshire,HG5 8AF
True,,17,Pickering Community Orchard,Community Orchard,fruits,tree-fruits,54.245,-0.775,Located at the recreation ground. Managed for community access to fruit.,Located at the recreation ground. Managed for community access to fruit.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.245,-0.775",Pickering,Pickering,Pickering,North Yorkshire,YO18 7AJ
True,,18,Filey Brigg Coastal Edges,Coastal Foraging,wild,coastal,54.215,-0.275,Coastal paths offering rock samphire and sea beet.,Coastal paths offering rock samphire and sea beet.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.215,-0.275",Filey,Filey,Filey,North Yorkshire,YO14 9ET
True,,19,Incredible Edible Stokesley,Urban Foraging,vegetables,street-planters,54.471,-1.185,Planters at the marketplace with free herbs and seasonal vegetables.,Planters at the marketplace with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.471,-1.185",Stokesley,Stokesley,Stokesley,North Yorkshire,TS9 5AD
