approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Bradlaugh Fields Nature Reserve,Nature Reserve,wild,mixed-forage,52.261,-0.875,"Extensive grassland and scrub. Abundant blackberries, elderberries, and haw...","Extensive grassland and scrub. Abundant blackberries, elderberries, and hawthorn berries in autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.261,-0.875",Northampton,Northampton,Northampton,Northamptonshire,NN3 2AL
True,,2,Abington Park Orchard,Public Park,fruits,tree-fruits,52.247,-0.865,"Historic park featuring various fruit trees, including apples and pears, sc...","Historic park featuring various fruit trees, including apples and pears, scattered near the museum and lake.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.247,-0.865",Northampton,Northampton,Northampton,Northamptonshire,NN1 5LW
True,,3,Hunsbury Hill Park Woodland,Public Park,wild,woodland,52.215,-0.915,Iron Age hill fort surrounded by woodland. Good for hazelnut gathering and ...,Iron Age hill fort surrounded by woodland. Good for hazelnut gathering and blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.215,-0.915",Northampton,Northampton,Northampton,Northamptonshire,NN4 9UW
True,,4,University of Northampton Waterside Campus,Urban Foraging,vegetables,street-planters,52.232,-0.888,"Edible landscaping across the campus including herbs, chard, and seasonal f...","Edible landscaping across the campus including herbs, chard, and seasonal fruit bushes for student and public use.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.232,-0.888",Northampton,Northampton,Northampton,Northamptonshire,NN1 5PH
True,,5,Midsummer Meadow Riverside,Public Path,wild,river-forage,52.234,-0.882,River Nene banks with wild garlic in spring and abundant elderflowers/berri...,River Nene banks with wild garlic in spring and abundant elderflowers/berries in summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.234,-0.882",Northampton,Northampton,Northampton,Northamptonshire,NN1 5NX
True,,6,Becket's Park Fruit Edges,Public Park,fruits,tree-fruits,52.233,-0.892,Riverside park with several mature fruit trees and brambles along the perip...,Riverside park with several mature fruit trees and brambles along the peripheral paths.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.233,-0.892",Northampton,Northampton,Northampton,Northamptonshire,NN1 5NG
True,,7,Lings Wood Nature Reserve,Nature Reserve,wild,woodland,52.258,-0.825,"Ancient woodland and scrub. Offers hazelnuts, sweet chestnuts (limited), an...","Ancient woodland and scrub. Offers hazelnuts, sweet chestnuts (limited), and late summer berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.258,-0.825",Northampton,Northampton,Northampton,Northamptonshire,NN3 8BE
True,,8,Delapré Abbey Orchard,Community Orchard,fruits,tree-fruits,52.225,-0.885,Historic estate featuring an orchard area and walled garden fringes with ap...,Historic estate featuring an orchard area and walled garden fringes with apples and pears.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.225,-0.885",Northampton,Northampton,Northampton,Northamptonshire,NN4 8AW
True,,9,Incredible Edible Northampton (Town Centre),Urban Foraging,vegetables,street-planters,52.238,-0.895,"Community planters located in central squares featuring free-to-pick herbs,...","Community planters located in central squares featuring free-to-pick herbs, salads, and chard.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.238,-0.895",Northampton,Northampton,Northampton,Northamptonshire,NN1 2DL
True,,10,Grand Union Canal (Northampton Arm),Public Path,wild,hedgerow,52.228,-0.905,"Canal towpath with rich hedgerows offering sloes, blackberries, and rosehip...","Canal towpath with rich hedgerows offering sloes, blackberries, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.228,-0.905",Northampton,Northampton,Northampton,Northamptonshire,NN4 8ES
True,,11,Kingsthorpe Meadows,Nature Reserve,wild,mixed-forage,52.265,-0.898,Wetland meadows with wild garlic in shaded sections and abundant blackberri...,Wetland meadows with wild garlic in shaded sections and abundant blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.265,-0.898",Northampton,Northampton,Northampton,Northamptonshire,NN2 6RD
