approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Bradlaugh Fields,Foraging,fruits,scrubland,52.261,-0.875,Bradlaugh Fields in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Northampton,Northampton,Northampton,Northamptonshire,NN3 2AL
TRUE,,2,Abington Park Orchard,Community Orchard,fruits,tree-fruits,52.244,-0.865,Abington Park Orchard in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Northampton,Northampton,Northampton,Northamptonshire,NN3 3AD
TRUE,,3,St. Katherine’s Garden,Incredible Edible,herbs,urban-growing,52.238,-0.898,St. Katherine’s Garden in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, northamptonshire, foraging, community food",0,0,0,,,Summer,,,Northampton,Northampton,Northampton,Northamptonshire,NN1 2QZ
TRUE,,4,Salcey Forest (Elephant Path),Foraging,nuts,woodland,52.142,-0.825,Salcey Forest (Elephant Path) in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",9;10;11,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Autumn,,,Hartwell,Hartwell,Hartwell,Northamptonshire,NN7 2HX
TRUE,,5,Rockingham Forest,Foraging,nuts,woodland,52.485,-0.662,Rockingham Forest in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",9;10;11,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Autumn,,,Corby,Corby,Corby,Northamptonshire,NN17 3BT
TRUE,,6,Brixworth Country Park,Foraging,fruits,scrubland,52.332,-0.892,Brixworth Country Park in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Brixworth,Brixworth,Brixworth,Northamptonshire,NN6 9DG
TRUE,,7,Hunsbury Hill Fort,Foraging,fruits,tree-fruits,52.215,-0.915,Hunsbury Hill Fort in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Northampton,Northampton,Northampton,Northamptonshire,NN4 9UW
TRUE,,8,Daventry Country Park,Foraging,fruits,scrubland,52.275,-1.135,Daventry Country Park in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Daventry,Daventry,Daventry,Northamptonshire,NN11 0SG
TRUE,,9,Nene Valley Way,Foraging,herbs,riverbank,52.235,-0.825,Nene Valley Way in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Billing,Billing,Billing,Northamptonshire,NN3 9ED
TRUE,,10,Stanwick Lakes Boundary,Foraging,fruits,tree-fruits,52.325,-0.605,Stanwick Lakes Boundary in Northamptonshire.,"A location in Northamptonshire for community food growing and wild foraging, covering urban and rural spots.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, northamptonshire, foraging, community food",0,0,0,,,Summer/Autumn,,,Stanwick,Stanwick,Stanwick,Northamptonshire,NN9 6GY
