approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Anderson's Meadow Orchard,Community Orchard,fruits,tree-fruits,52.641,1.282,Community fruit trees by the Wensum.,A riverside meadow featuring community-planted apple and pear trees open for public picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",25,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nor1,Marriott's Way,Norwich,Mile Cross,Norfolk,NR3
True,,2,Mousehold Heath Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.645,1.312,Extensive woodland for nut gathering.,Hazel and sweet chestnut trees are scattered throughout this historic 184-acre woodland.,9;10;11,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, chestnuts",38,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nor2,Gurney Road,Norwich,Mousehold,Norfolk,NR1
True,,3,River Wensum Wild Garlic,Wild Foraging,vegetables,wild-greens,52.632,1.305,Damp banks of wild ramsons.,"Find wild garlic in the shaded, damp areas along the Wensum riverside path near Pull's Ferry.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,42,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/nor3,Riverside Walk,Norwich,City Centre,Norfolk,NR1
True,,4,Grapes Hill Community Garden,Community Orchard,fruits,mixed-edibles,52.631,1.285,Award-winning edible urban garden.,"A former piece of wasteland now overflowing with fruit trees, herbs, and soft fruit for the public.",6;7;8;9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"fruit, herbs, berries",56,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/nor4,Grapes Hill,Norwich,City Centre,Norfolk,NR2
True,,5,Marriott's Way Blackberries,Wild Foraging,fruits,berries,52.648,1.265,Railway path bramble tunnel.,The old railway line is a corridor of blackberries and elderberries stretching for miles.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, elder",31,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nor5,Hellesdon Road Access,Norwich,Hellesdon,Norfolk,NR6
True,,6,Incredible Edible NR3,Incredible Edible,vegetables,street-planters,52.642,1.298,Street-side community planters.,"Raised beds on Silver Road and nearby streets featuring kale, chard, and kitchen herbs.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, herbs",22,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nor6,Silver Road,Norwich,NR3,Norfolk,NR3
True,,7,Earlham Park Walnuts,Wild Foraging,nuts,woodland-nuts,52.625,1.238,Public park walnut trees.,Mature walnut trees can be found near the edges of the parkland close to the UEA campus.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,17,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nor7,Earlham Road,Norwich,Earlham,Norfolk,NR4
True,,8,Whitlingham Broad Sea Buckthorn,Riparian Foraging,fruits,berries,52.621,1.345,Vitamin C rich berries.,"While usually coastal, Sea Buckthorn can be found in the scrubby areas of this country park.",9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sea buckthorn,14,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nor8,Whitlingham Lane,Trowse,South Norwich,Norfolk,NR14
True,,9,The Great Hospital Plums,Urban Foraging,fruits,tree-fruits,52.634,1.308,Historic fruit trees.,Plum and greengage trees overhang public paths in the historic cathedral quarter.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,plums,9,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/nor9,Bishopgate,Norwich,City Centre,Norfolk,NR1
True,,10,Eaton Park Sloes,Wild Foraging,fruits,hedgerow-fruit,52.618,1.258,Hedgerow blackthorn.,Large crops of sloes can be gathered from the park's perimeter hedgerows.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,12,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nor10,South Park Avenue,Norwich,Eaton,Norfolk,NR4
