approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,St Ann's Allotments Orchard,Community Orchard,fruits,tree-fruits,52.961,-1.132,Heritage fruit trees in a historic site.,Located within the oldest and largest Victorian detached allotments in the UK. Public edges feature apples and pears.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",45,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott1,Ransom Road,Nottingham,St Ann's,Nottinghamshire,NG3
True,,2,Sherwood Forest Acorns & Hazels,Wild Foraging,nuts,woodland-nuts,53.204,-1.072,Traditional woodland nut gathering.,Ancient woodland offering hazelnuts and sweet chestnuts. Focus on the paths near Edwinstowe.,9;10;11,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, chestnuts",62,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott2,Sherwood Forest,Edwinstowe,North Notts,Nottinghamshire,NG21
True,,3,River Trent Wild Garlic,Riparian Foraging,vegetables,wild-greens,52.938,-1.125,Riverside Ramsons.,"The damp, shaded banks of the Trent near Victoria Embankment are a carpet of wild garlic in spring.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,38,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/nott3,Victoria Embankment,Nottingham,Meadows,Nottinghamshire,NG2
True,,4,Incredible Edible Beeston,Incredible Edible,vegetables,street-planters,52.926,-1.215,Community planters at the station.,Volunteer-maintained planters offering free herbs and seasonal vegetables for commuters.,5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",29,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nott4,Beeston Station,Beeston,Greater Nottingham,Nottinghamshire,NG9
True,,5,Colwick Country Park Berries,Wild Foraging,fruits,berries,52.948,-1.092,Lakeside blackberry picking.,Massive yields of blackberries can be found around the perimeter of the main lake.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,41,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nott5,Racecourse Road,Nottingham,Colwick,Nottinghamshire,NG2
True,,6,Arkwright Meadows Orchard,Community Orchard,fruits,tree-fruits,52.942,-1.144,Urban community green space.,"A community garden with public fruit trees, including plums and local apple varieties.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, apples",22,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott6,Kirkby Gardens,Nottingham,The Meadows,Nottinghamshire,NG2
True,,7,Wollaton Park Chestnuts,Wild Foraging,nuts,woodland-nuts,52.948,-1.209,Sweet chestnuts near the hall.,"Large, mature sweet chestnut trees are found in the parkland area away from the main deer herds.",10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,53,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott7,Wollaton Road,Nottingham,Wollaton,Nottinghamshire,NG8
True,,8,Beeston Canal Path Elder,Wild Foraging,fruits,berries,52.932,-1.192,Elderflowers along the water.,Heavy growth of elder bushes along the canal towpath between Beeston and Lenton.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nott8,Canal Side,Nottingham,Lenton,Nottinghamshire,NG7
True,,9,Forest Recreation Ground Sloes,Wild Foraging,fruits,hedgerow-fruit,52.968,-1.161,Central urban sloe picking.,Blackthorn bushes can be found in the scrubby edges near the tram line.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,12,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott9,Gregory Boulevard,Nottingham,Forest Fields,Nottinghamshire,NG7
True,,10,Bestwood Country Park Walnuts,Wild Foraging,nuts,woodland-nuts,53.008,-1.155,Former coal mine turned walnut spot.,Occasional walnut trees found in the mixed woodland of this large country park.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,18,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott10,Bestwood Lodge Drive,Nottingham,Bestwood,Nottinghamshire,NG5
True,,11,Incredible Edible Nottingham City Centre,Incredible Edible,vegetables,street-planters,52.955,-1.148,Urban herb planters near Broadmarsh.,"Public planters integrated into the new green spaces, featuring edible herbs and flowers.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, flowers",25,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nott11,Collin Street,Nottingham,City Centre,Nottinghamshire,NG1
True,,12,Highfields Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,52.936,-1.196,Wild roses near the university.,Abundant wild rosehips found in the lakeside shrubbery and woodland edges.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,14,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott12,University Boulevard,Nottingham,University Park,Nottinghamshire,NG7
True,,13,Gedling Country Park Fruit Trail,Community Orchard,fruits,tree-fruits,52.985,-1.078,Newly established community orchard.,"Part of the restoration of the former colliery, featuring various young fruit trees.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,31,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott113,Spring Lane,Gedling,North East Nottingham,Nottinghamshire,NG4
True,,14,Nottingham Canal Samphire (Inland),Riparian Foraging,vegetables,wild-greens,52.945,-1.178,Canal-side wild celery.,Inland 'coastal' alternative: Wild celery and fennel found along the industrial canal banks.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild celery, fennel",9,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/nott14,Castle Wharf,Nottingham,City Centre,Nottinghamshire,NG1
True,,15,Broxtowe Country Park Hazels,Wild Foraging,nuts,woodland-nuts,52.978,-1.221,Hazel groves in urban woodland.,Dense areas of hazel can be found in the wooded sections of the park near the M1.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,17,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/nott15,Broxtowe Lane,Nottingham,Broxtowe,Nottinghamshire,NG8
