approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Barracks Lane Community Garden Orchard,Community Orchard,fruits,tree-fruits,51.745,-1.218,"Community garden and orchard featuring local apple varieties, pears, and pl...","Community garden and orchard featuring local apple varieties, pears, and plums. Managed for community harvest.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.745,-1.218",Oxford,Oxford,Oxford,Oxfordshire,OX4 2AP
True,,2,Incredible Edible Oxford (Cowley Road),Urban Foraging,vegetables,street-planters,51.742,-1.232,"Raised beds and planters along Cowley Road featuring free-to-pick herbs, ch...","Raised beds and planters along Cowley Road featuring free-to-pick herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.742,-1.232",Oxford,Oxford,Oxford,Oxfordshire,OX4 1HU
True,,3,University Parks Foraging Edges,Public Park,wild,mixed-forage,51.762,-1.252,"Large parkland with boundary paths offering elderberries, blackberries, and...","Large parkland with boundary paths offering elderberries, blackberries, and wild cherries (seasonal).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.762,-1.252",Oxford,Oxford,Oxford,Oxfordshire,OX1 3RF
True,,4,Christ Church Meadow Riverside,Public Path,wild,river-forage,51.748,-1.255,Riverside paths along the Thames and Cherwell offering wild garlic in sprin...,Riverside paths along the Thames and Cherwell offering wild garlic in spring and blackberries in autumn.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.748,-1.255",Oxford,Oxford,Oxford,Oxfordshire,OX1 1DP
True,,5,Shotover Country Park Foraging,Nature Reserve,wild,woodland,51.752,-1.185,"Ancient woodland and heathland. Offers hazelnuts, sweet chestnuts, and abun...","Ancient woodland and heathland. Offers hazelnuts, sweet chestnuts, and abundant autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.752,-1.185",Oxford,Oxford,Oxford,Oxfordshire,OX3 8NW
True,,6,South Park Edible Edge,Public Park,wild,mixed-forage,51.752,-1.235,Boundary paths with fruit bushes and wild herbs integrated into the landsca...,Boundary paths with fruit bushes and wild herbs integrated into the landscaping.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.752,-1.235",Oxford,Oxford,Oxford,Oxfordshire,OX4 1NT
True,,7,Incredible Edible Oxford (Headington),Urban Foraging,vegetables,street-planters,51.758,-1.212,Community growing spots in Headington providing free vegetables and herbs f...,Community growing spots in Headington providing free vegetables and herbs for local residents.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.758,-1.212",Headington,Headington,Headington,Oxfordshire,OX3 9BP
True,,8,Thames Path (Oxford Section),Public Path,wild,river-forage,51.738,-1.248,"River path offering wild mint, wild garlic in spring, and plenty of bramble...","River path offering wild mint, wild garlic in spring, and plenty of brambles for blackberry picking.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.738,-1.248",Oxford,Oxford,Oxford,Oxfordshire,OX1 4LF
True,,9,Hinksey Park Fruit Edges,Public Park,wild,mixed-forage,51.735,-1.255,Parkland with peripheral fruit trees and berry bushes available for public ...,Parkland with peripheral fruit trees and berry bushes available for public picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.735,-1.255",Oxford,Oxford,Oxford,Oxfordshire,OX1 4RP
True,,10,Incredible Edible Oxford (Jericho),Urban Foraging,vegetables,street-planters,51.758,-1.265,Raised beds and planters in the Jericho area featuring culinary herbs and s...,Raised beds and planters in the Jericho area featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.758,-1.265",Oxford,Oxford,Oxford,Oxfordshire,OX2 6AE
