approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Barracks Lane Community Garden,Community Garden,fruits,mixed-produce,51.745,-1.218,Barracks Lane Community Garden in East Oxford.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,East Oxford,East Oxford,East Oxford,Oxfordshire,OX4 2AP
TRUE,,2,South Oxford Community Orchard,Community Orchard,fruits,tree-fruits,51.741,-1.252,South Oxford Community Orchard in South Oxford.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,South Oxford,South Oxford,South Oxford,Oxfordshire,OX1 4RP
TRUE,,3,Rose Hill Community Orchard,Community Orchard,fruits,tree-fruits,51.725,-1.228,Rose Hill Community Orchard in Rose Hill.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Rose Hill,Rose Hill,Rose Hill,Oxfordshire,OX4 4HF
TRUE,,4,Oxford City Farm Edible Beds,Community Garden,vegetables,urban-growing,51.738,-1.215,Oxford City Farm Edible Beds in Florence Park.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Florence Park,Florence Park,Florence Park,Oxfordshire,OX4 3JZ
TRUE,,5,Incredible Edible Oxford (Clinkard),Incredible Edible,herbs,urban-growing,51.758,-1.235,Incredible Edible Oxford (Clinkard) in Oxford Central.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, oxford, oxfordshire, sustainable",0,0,0,,,Summer,,,Oxford Central,Oxford Central,Oxford Central,Oxfordshire,OX3 9DW
TRUE,,6,Headington Shark Community Garden,Community Garden,fruits,mixed-produce,51.759,-1.212,Headington Shark Community Garden in Headington.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Headington,Headington,Headington,Oxfordshire,OX3 7HL
TRUE,,7,Marston Community Orchard,Community Orchard,fruits,tree-fruits,51.775,-1.232,Marston Community Orchard in Marston.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Marston,Marston,Marston,Oxfordshire,OX3 0PL
TRUE,,8,Kidlington Community Orchard,Community Orchard,fruits,tree-fruits,51.825,-1.285,Kidlington Community Orchard in Kidlington.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Kidlington,Kidlington,Kidlington,Oxfordshire,OX5 1AP
TRUE,,9,Abingdon Community Orchard,Community Orchard,fruits,tree-fruits,51.671,-1.282,Abingdon Community Orchard in Abingdon.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Abingdon,Abingdon,Abingdon,Oxfordshire,OX14 1DY
TRUE,,10,Hogacre Common Eco-park Orchard,Community Orchard,fruits,tree-fruits,51.742,-1.265,Hogacre Common Eco-park Orchard in Grandpont.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Grandpont,Grandpont,Grandpont,Oxfordshire,OX1 4WT
TRUE,,11,Long Mead Wildlife Site (Wild Food),Foraging,herbs,meadow,51.778,-1.332,Long Mead Wildlife Site (Wild Food) in Eynsham.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Eynsham,Eynsham,Eynsham,Oxfordshire,OX29 4DB
TRUE,,12,Wolvercote Community Orchard,Community Orchard,fruits,tree-fruits,51.788,-1.288,Wolvercote Community Orchard in Wolvercote.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Wolvercote,Wolvercote,Wolvercote,Oxfordshire,OX2 8PJ
TRUE,,13,Botley Community Fridge & Garden,Community Garden,vegetables,urban-growing,51.751,-1.295,Botley Community Fridge & Garden in Botley.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Botley,Botley,Botley,Oxfordshire,OX2 9LP
TRUE,,14,Cutteslowe Park Fruit Trees,Community Orchard,fruits,tree-fruits,51.795,-1.261,Cutteslowe Park Fruit Trees in North Oxford.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,North Oxford,North Oxford,North Oxford,Oxfordshire,OX2 8ES
TRUE,,15,Cowley Road Edible Planters,Incredible Edible,herbs,urban-growing,51.747,-1.238,Cowley Road Edible Planters in East Oxford.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, oxford, oxfordshire, sustainable",0,0,0,,,Summer,,,East Oxford,East Oxford,East Oxford,Oxfordshire,OX4 1HU
TRUE,,16,Littlemore Community Garden,Community Garden,fruits,mixed-produce,51.718,-1.221,Littlemore Community Garden in Littlemore.,A location in Oxford or the surrounding Oxfordshire countryside for community-grown food or wild foraging.,7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, oxford, oxfordshire, sustainable",0,0,0,,,Summer/Autumn,,,Littlemore,Littlemore,Littlemore,Oxfordshire,OX4 4PB
