approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Ferry Meadows Community Orchard,Community Orchard,fruits,tree-fruits,52.562,-0.295,"Located within Nene Park. Features a variety of traditional apple, pear, an...","Located within Nene Park. Features a variety of traditional apple, pear, and plum trees open for public harvesting in late summer.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.562,-0.295",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE2 5UU
True,,2,Incredible Edible Peterborough (West Town),Urban Foraging,vegetables,street-planters,52.582,-0.258,Community planters near local shops and schools featuring free-to-pick culi...,"Community planters near local shops and schools featuring free-to-pick culinary herbs, seasonal salads, and vegetables.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.582,-0.258",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE3 6AL
True,,3,Nene Valley Foraging Trail,Public Path,wild,river-forage,52.565,-0.272,"Linear paths along the River Nene offering abundant wild garlic (spring), e...","Linear paths along the River Nene offering abundant wild garlic (spring), elderberries, and blackberries (autumn).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.565,-0.272",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE2 5RL
True,,4,Southey Wood Nut Gathering,Woodland,wild,woodland,52.635,-0.365,Popular woodland area for gathering hazelnuts and sweet chestnuts during th...,Popular woodland area for gathering hazelnuts and sweet chestnuts during the autumn months.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.635,-0.365",Ufford,Ufford,Ufford,Cambridgeshire,PE6 7ED
True,,5,Green Backyard Community Garden,Urban Foraging,vegetables,mixed-edibles,52.568,-0.238,"An urban community space with raised beds, fruit bushes, and perennial vege...","An urban community space with raised beds, fruit bushes, and perennial vegetables managed for the community benefit.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.568,-0.238",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE2 8AT
True,,6,Orton Longueville Wood Foraging,Woodland,wild,woodland,52.552,-0.282,"Ancient woodland trails offering hazelnuts, elderberries, and seasonal wild...","Ancient woodland trails offering hazelnuts, elderberries, and seasonal wild fruit bushes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.552,-0.282",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE2 7BE
True,,7,Incredible Edible Peterborough (City Centre),Urban Foraging,vegetables,street-planters,52.575,-0.242,Public planters in central pedestrian zones featuring herbs and edible flow...,Public planters in central pedestrian zones featuring herbs and edible flowers for passers-by.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.575,-0.242",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE1 1AY
True,,8,Crown Lakes Foraging Edges,Public Park,wild,mixed-forage,52.525,-0.222,"Country park paths with heavy crops of elderberries, blackberries, and hawt...","Country park paths with heavy crops of elderberries, blackberries, and hawthorn berries in the autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.525,-0.222",Farcet,Farcet,Farcet,Cambridgeshire,PE7 3DL
True,,9,Woodston Reach Wild Garlic,Public Path,wild,river-forage,52.565,-0.255,"Damp, shaded woodland edges along the River Nene, heavily carpeted with wil...","Damp, shaded woodland edges along the River Nene, heavily carpeted with wild garlic in early spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.565,-0.255",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE2 9PT
True,,10,Incredible Edible Peterborough (Millfield),Urban Foraging,vegetables,street-planters,52.585,-0.235,Raised beds and planters in the Millfield area featuring culinary herbs and...,Raised beds and planters in the Millfield area featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.585,-0.235",Peterborough,Peterborough,Peterborough,Cambridgeshire,PE1 2BQ
True,,11,Cuckoos Hollow Foraging,Nature Reserve,wild,mixed-forage,52.612,-0.245,"Lakeside and woodland paths offering elderberries, sloes, and blackberries.","Lakeside and woodland paths offering elderberries, sloes, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.612,-0.245",Werrington,Werrington,Werrington,Cambridgeshire,PE4 5BX
