approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Central Park Community Orchard,Community Orchard,fruits,tree-fruits,50.385,-4.148,Large community orchard within Central Park. Features various apple and pea...,Large community orchard within Central Park. Features various apple and pear trees traditional to the South West.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.385,-4.148",Plymouth,Plymouth,Plymouth,Devon,PL2 3DG
True,,2,Incredible Edible Plymouth (Union St),Urban Foraging,vegetables,street-planters,50.372,-4.148,Community planters along Union Street with free-to-pick herbs and seasonal ...,Community planters along Union Street with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.372,-4.148",Plymouth,Plymouth,Plymouth,Devon,PL1 3HQ
True,,3,The Hoe Foraging Edges,Coastal Foraging,wild,coastal,50.365,-4.142,"Upper banks and scrubby edges of the Hoe offering wild mustard, fennel, and...","Upper banks and scrubby edges of the Hoe offering wild mustard, fennel, and sea beet.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.365,-4.142",Plymouth,Plymouth,Plymouth,Devon,PL1 2PA
True,,4,Plymbridge Woods Foraging,Woodland,wild,woodland,50.415,-4.085,"Ancient woodland offering wild garlic (spring), hazelnuts, and sweet chestn...","Ancient woodland offering wild garlic (spring), hazelnuts, and sweet chestnuts in autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.415,-4.085",Plympton,Plympton,Plympton,Devon,PL7 4SR
True,,5,Soapbox Children's Theatre Edible Garden,Community Garden,vegetables,street-planters,50.375,-4.175,A publicly accessible edible garden area with herbs and greens managed for ...,A publicly accessible edible garden area with herbs and greens managed for the community.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.375,-4.175",Devonport,Devonport,Devonport,Devon,PL1 4RD
True,,6,Saltram Estate Boundary Paths,Public Path,wild,mixed-forage,50.378,-4.088,"Public rights of way around the estate offering elderberries, blackberries,...","Public rights of way around the estate offering elderberries, blackberries, and sloes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.378,-4.088",Plympton,Plympton,Plympton,Devon,PL7 1UH
True,,7,Incredible Edible Plymouth (Stonehouse),Urban Foraging,vegetables,street-planters,50.371,-4.158,Raised beds and planters in the Stonehouse area featuring free herbs and gr...,Raised beds and planters in the Stonehouse area featuring free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.371,-4.158",Stonehouse,Stonehouse,Stonehouse,Devon,PL1 3RL
True,,8,Devil's Point Coastal Foraging,Coastal Foraging,wild,coastal,50.362,-4.168,"Rocky shoreline margins offering sea beet, sea kale, and rock samphire.","Rocky shoreline margins offering sea beet, sea kale, and rock samphire.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.362,-4.168",Plymouth,Plymouth,Plymouth,Devon,PL1 3RW
True,,9,Ford Park Cemetery Edges,Nature Reserve,wild,mixed-forage,50.382,-4.138,"Quiet boundary paths with wild fruit trees, elderberries, and blackberries.","Quiet boundary paths with wild fruit trees, elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.382,-4.138",Plymouth,Plymouth,Plymouth,Devon,PL4 6NT
True,,10,Mount Wise Edible Planters,Urban Foraging,vegetables,street-planters,50.368,-4.172,Planters at the waterfront park featuring culinary herbs and edible perenni...,Planters at the waterfront park featuring culinary herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.368,-4.172",Devonport,Devonport,Devonport,Devon,PL1 4HY
True,,11,Ham Woods Nature Reserve,Nature Reserve,wild,woodland,50.402,-4.172,"Semi-ancient woodland offering hazelnuts, wild garlic, and seasonal berries...","Semi-ancient woodland offering hazelnuts, wild garlic, and seasonal berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.402,-4.172",Plymouth,Plymouth,Plymouth,Devon,PL2 2NJ
True,,12,Plym Valley Trail (Public Path),Public Path,wild,mixed-forage,50.428,-4.075,Linear trail with abundant elder and hawthorn berries and brambles.,Linear trail with abundant elder and hawthorn berries and brambles.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.428,-4.075",Plymouth,Plymouth,Plymouth,Devon,PL6 8AL
True,,13,Incredible Edible Plymouth (Stoke),Urban Foraging,vegetables,street-planters,50.385,-4.162,Community growing spots in the Stoke neighborhood providing free vegetables...,Community growing spots in the Stoke neighborhood providing free vegetables and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.385,-4.162",Stoke,Stoke,Stoke,Devon,PL3 4AQ
True,,14,Efford Marsh Foraging,Nature Reserve,wild,river-forage,50.395,-4.105,Marshy area and woodland glades offering wild mint and elderberries.,Marshy area and woodland glades offering wild mint and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.395,-4.105",Efford,Efford,Efford,Devon,PL3 6HA
True,,15,Coastal Foraging (Jennycliff),Coastal Foraging,wild,coastal,50.345,-4.122,"Upper beach and clifftop path offering sea beet, wild cabbage, and blackber...","Upper beach and clifftop path offering sea beet, wild cabbage, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.345,-4.122",Plymouth,Plymouth,Plymouth,Devon,PL9 9SW
