approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Hilsea Lines Community Orchard,Community Orchard,fruits,tree-fruits,50.828,-1.065,Located along the historic Hilsea Lines defenses. Features various apple an...,Located along the historic Hilsea Lines defenses. Features various apple and pear varieties managed for the community.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.828,-1.065",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO3 5JH
True,,2,Incredible Edible Portsmouth (Station),Urban Foraging,vegetables,street-planters,50.798,-1.092,Community planters near Portsmouth and Southsea station with free-to-pick h...,Community planters near Portsmouth and Southsea station with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.798,-1.092",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO1 1EQ
True,,3,Southsea Common Foraging,Public Park,wild,mixed-forage,50.785,-1.088,"Large open space with boundary edges offering elderberries, blackberries, a...","Large open space with boundary edges offering elderberries, blackberries, and wild mustard.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.785,-1.088",Southsea,Southsea,Southsea,Hampshire,PO5 3ST
True,,4,Milton Common Foraging,Nature Reserve,wild,coastal,50.795,-1.045,"Reclaimed land with abundant blackberries, sloes, and coastal greens like s...","Reclaimed land with abundant blackberries, sloes, and coastal greens like sea beet.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.795,-1.045",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO4 8QT
True,,5,Coastal Foraging (Eastney Beach),Coastal Foraging,wild,coastal,50.788,-1.025,"Upper beach and shingle areas offering sea kale, sea beet, and wild radish.","Upper beach and shingle areas offering sea kale, sea beet, and wild radish.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.788,-1.025",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO4 9SR
True,,6,Portsdown Hill Foraging,Nature Reserve,wild,mixed-forage,50.852,-1.065,"Chalk grassland slopes offering wild herbs (thyme, marjoram), blackberries,...","Chalk grassland slopes offering wild herbs (thyme, marjoram), blackberries, and hazelnuts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.852,-1.065",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO6 3LS
True,,7,Incredible Edible Portsmouth (Milton),Urban Foraging,vegetables,street-planters,50.792,-1.055,Community growing spots in the Milton neighborhood area providing free herb...,Community growing spots in the Milton neighborhood area providing free herbs and veg.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.792,-1.055",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO4 8PA
True,,8,Hilsea Lines Woodland Trails,Woodland,wild,woodland,50.825,-1.058,"Wooded paths along the defenses offering sweet chestnuts, hazelnuts, and wi...","Wooded paths along the defenses offering sweet chestnuts, hazelnuts, and wild garlic in spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.825,-1.058",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO2 9RP
True,,9,Baffins Pond Edges,Public Park,wild,mixed-forage,50.808,-1.055,"Parkland boundary with elderberries, blackberries, and seasonal fruit trees...","Parkland boundary with elderberries, blackberries, and seasonal fruit trees.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.808,-1.055",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO3 6PU
True,,10,Incredible Edible Portsmouth (Fratton),Urban Foraging,vegetables,street-planters,50.795,-1.078,Public planters in the Fratton area featuring herbs and edible flowers for ...,Public planters in the Fratton area featuring herbs and edible flowers for local picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.795,-1.078",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO1 5AL
True,,11,St James' Park Orchard,Community Orchard,fruits,tree-fruits,50.795,-1.052,Small orchard space within the park grounds managed for public fruit access...,Small orchard space within the park grounds managed for public fruit access.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.795,-1.052",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO4 8PG
True,,12,Farlington Marshes Edges,Nature Reserve,wild,coastal,50.832,-1.035,"Boundary paths offering blackberries, sloes, and sea beet near the estuary ...","Boundary paths offering blackberries, sloes, and sea beet near the estuary edge.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.832,-1.035",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO6 1UN
True,,13,Incredible Edible Portsmouth (Somerstown),Urban Foraging,vegetables,street-planters,50.792,-1.088,Community growing beds in Somerstown with free vegetables and herbs.,Community growing beds in Somerstown with free vegetables and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.792,-1.088",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO5 4LP
True,,14,Great Salterns Foraging,Public Park,wild,mixed-forage,50.815,-1.042,Coastal parkland with abundant brambles for blackberry picking and elder tr...,Coastal parkland with abundant brambles for blackberry picking and elder trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.815,-1.042",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO3 6PX
True,,15,Tipner Lake Coastal Path,Public Path,wild,coastal,50.822,-1.085,Shoreline path offering sea beet and wild radish on the upper tidal margins...,Shoreline path offering sea beet and wild radish on the upper tidal margins.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.822,-1.085",Portsmouth,Portsmouth,Portsmouth,Hampshire,PO2 8RD
