approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Reading Community Orchard,Community Orchard,fruits,tree-fruits,51.465,-0.962,Located at Waterloo Meadows. A public space featuring apple and pear trees ...,Located at Waterloo Meadows. A public space featuring apple and pear trees managed by local volunteers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.465,-0.962",Reading,Reading,Reading,Berkshire,RG1 7UL
True,,2,Incredible Edible Reading (Katesgrove),Urban Foraging,vegetables,street-planters,51.448,-0.972,Community planters across Katesgrove with free-to-pick herbs and seasonal v...,Community planters across Katesgrove with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.448,-0.972",Reading,Reading,Reading,Berkshire,RG1 2RA
True,,3,Thames Path Foraging (Caversham),River Foraging,wild,river-forage,51.468,-0.968,"River Thames banks offering wild mint, elderberries, and wild garlic in the...","River Thames banks offering wild mint, elderberries, and wild garlic in the spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.468,-0.968",Reading,Reading,Reading,Berkshire,RG4 8BJ
True,,4,Palmer Park Foraging,Public Park,wild,mixed-forage,51.452,-0.942,Large park area with boundary paths providing blackberries and elderberries...,Large park area with boundary paths providing blackberries and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.452,-0.942",Reading,Reading,Reading,Berkshire,RG6 1LF
True,,5,Reading University Edible Campus,Urban Foraging,wild,mixed-forage,51.442,-0.945,Publicly accessible parts of the campus featuring fruit trees and berry bus...,Publicly accessible parts of the campus featuring fruit trees and berry bushes.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.442,-0.945",Reading,Reading,Reading,Berkshire,RG6 6UR
True,,6,Prospect Park Orchard,Community Orchard,fruits,tree-fruits,51.451,-1.002,Managed fruit trees within the historic park grounds.,Managed fruit trees within the historic park grounds.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.451,-1.002",Reading,Reading,Reading,Berkshire,RG30 2ND
True,,7,Incredible Edible Reading (Newtown),Urban Foraging,vegetables,street-planters,51.455,-0.952,Raised beds and planters in the Newtown area with free herbs and greens.,Raised beds and planters in the Newtown area with free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.455,-0.952",Reading,Reading,Reading,Berkshire,RG1 3NY
True,,8,Kennet & Avon Canal Path,Public Footpath,wild,hedgerow,51.452,-0.958,Canal-side brambles offering heavy crops of blackberries in late summer.,Canal-side brambles offering heavy crops of blackberries in late summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.452,-0.958",Reading,Reading,Reading,Berkshire,RG1 3DB
True,,9,Clayfield Copse Foraging,Nature Reserve,wild,woodland,51.485,-0.968,Ancient woodland and meadow offering hazelnuts and seasonal berries.,Ancient woodland and meadow offering hazelnuts and seasonal berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.485,-0.968",Caversham,Caversham,Caversham,Berkshire,RG4 6RD
True,,10,Reading Old Cemetery Edges,Nature Reserve,wild,mixed-forage,51.452,-0.948,Quiet boundary paths with wild fruit trees and elderberries.,Quiet boundary paths with wild fruit trees and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.452,-0.948",Reading,Reading,Reading,Berkshire,RG1 3EY
