approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Clifton Park Orchard,Community Orchard,fruits,tree-fruits,53.432,-1.348,Heritage fruit trees in the town's premier park.,The Walled Garden and surrounding areas contain established apple and pear trees available for public picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",38,0,0,,plots.vocal.shared,Autumn,,http://googleusercontent.com/maps.google.com/roth1,Doncaster Road,Rotherham,Town Centre,South Yorkshire,S65
True,,2,Thrybergh Country Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,53.465,-1.285,Lakeside nut gathering.,Hazel and sweet chestnut trees are found along the 2nd half of the reservoir circular walk.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, chestnuts",42,0,0,,snacks.paths.gather,Autumn,,http://googleusercontent.com/maps.google.com/roth2,Doncaster Road,Thrybergh,Rotherham,South Yorkshire,S65
True,,3,Greasbrough Canal Wild Garlic,Wild Foraging,vegetables,wild-greens,53.448,-1.372,Pungent spring greens by the water.,Shaded sections of the canal path heading toward Wentworth are rich with wild garlic in April.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,51,0,0,,leaves.river.cool,Spring,,http://googleusercontent.com/maps.google.com/roth3,Greasbrough Road,Rotherham,Greasbrough,South Yorkshire,S60
True,,4,Incredible Edible Rotherham - Minster,Incredible Edible,vegetables,street-planters,53.431,-1.356,Urban planters near the Minster.,"Community raised beds featuring kale, chives, and seasonal kitchen herbs.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",23,0,0,,church.herb.grow,Summer,,http://googleusercontent.com/maps.google.com/roth4,Church Street,Rotherham,Town Centre,South Yorkshire,S60
True,,5,Wath-upon-Dearne Blackberries,Wild Foraging,fruits,berries,53.498,-1.345,Bramble thickets on old railway lines.,The Trans-Pennine Trail sections through Wath offer extensive blackberry picking.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,19,0,0,,track.berry.pick,Summer,,http://googleusercontent.com/maps.google.com/roth5,Manvers,Wath-upon-Dearne,Rotherham,South Yorkshire,S63
True,,6,Ulley Country Park Elder,Wild Foraging,fruits,berries,53.385,-1.312,Elderflower and berry foraging.,Large elder bushes are scattered throughout the parkland and around the reservoir.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,14,0,0,,water.elder.blue,Summer/Autumn,,http://googleusercontent.com/maps.google.com/roth6,Pleasley Road,Ulley,Rotherham,South Yorkshire,S66
True,,7,Wentworth Estate Chestnuts,Wild Foraging,nuts,woodland-nuts,53.478,-1.418,Ancient estate nut gathering.,Mature sweet chestnuts found on public footpaths surrounding the Wentworth Woodhouse estate.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,27,0,0,,grand.nut.walk,Autumn,,http://googleusercontent.com/maps.google.com/roth7,Wentworth Park,Wentworth,Rotherham,South Yorkshire,S62
True,,8,Wickersley Woods Bluebells & Sorrel,Wild Foraging,vegetables,wild-greens,53.425,-1.275,Woodland sorrel patches.,Lemon-flavoured wood sorrel can be found in the dappled shade of this ancient woodland.,4;5;6,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sorrel,11,0,0,,wood.green.tart,Spring/Summer,,http://googleusercontent.com/maps.google.com/roth8,First Lane,Wickersley,Rotherham,South Yorkshire,S66
True,,9,Rother Valley Country Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,53.332,-1.335,Wild berries on the lakeshore.,Numerous wild rose bushes providing rosehips line the trails around the main lake.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,15,0,0,,lake.rose.red,Autumn,,http://googleusercontent.com/maps.google.com/roth9,Mansfield Road,Wales,South Rotherham,South Yorkshire,S26
True,,10,Brinsworth Incredible Edible Planters,Incredible Edible,vegetables,street-planters,53.412,-1.388,Community planters at Brinsworth Hub.,Street-side beds with accessible strawberries and culinary herbs for locals.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"strawberries, herbs",18,0,0,,berry.hub.share,Summer,,http://googleusercontent.com/maps.google.com/roth10,Field View,Brinsworth,Rotherham,South Yorkshire,S60
