approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Oakham Community Orchard,Community Orchard,fruits,tree-fruits,52.671,-0.728,Located at Royce Recreation Ground. Features local apple varieties like 'Ba...,Located at Royce Recreation Ground. Features local apple varieties like 'Barnack Beauty' and 'Allington Pippin'.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.671,-0.728",Oakham,Oakham,Oakham,Rutland,LE15 6AL
True,,2,Incredible Edible Oakham,Urban Foraging,vegetables,street-planters,52.672,-0.732,Community planters near the library and high street with free-to-pick herbs...,Community planters near the library and high street with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.672,-0.732",Oakham,Oakham,Oakham,Rutland,LE15 6DT
True,,3,Rutland Water Hedgerow Foraging,Nature Reserve,wild,hedgerow,52.665,-0.635,"Extensive circular paths around the reservoir with abundant blackberries, s...","Extensive circular paths around the reservoir with abundant blackberries, sloes, and elderberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.665,-0.635",Whitwell,Whitwell,Whitwell,Rutland,LE15 8BL
True,,4,Uppingham Community Orchard,Community Orchard,fruits,tree-fruits,52.588,-0.725,Small community-led orchard project providing heritage fruit to local resid...,Small community-led orchard project providing heritage fruit to local residents.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.588,-0.725",Uppingham,Uppingham,Uppingham,Rutland,LE15 9QE
True,,5,Incredible Edible Uppingham,Urban Foraging,vegetables,street-planters,52.591,-0.722,Public planters in the town square and near the market place with free herb...,Public planters in the town square and near the market place with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.591,-0.722",Uppingham,Uppingham,Uppingham,Rutland,LE15 9PY
True,,6,Burley Wood Foraging,Woodland,nuts,woodland,52.685,-0.655,"Ancient woodland known for hazelnuts, sweet chestnuts, and wild garlic in s...","Ancient woodland known for hazelnuts, sweet chestnuts, and wild garlic in spring.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.685,-0.655",Exton,Exton,Exton,Rutland,LE15 8AZ
True,,7,Ketton Community Orchard,Community Orchard,fruits,tree-fruits,52.632,-0.555,Located at the Hall Close. Features traditional fruit trees managed for the...,Located at the Hall Close. Features traditional fruit trees managed for the village.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.632,-0.555",Ketton,Ketton,Ketton,Rutland,PE9 3SZ
True,,8,Welland Valley Riverside Path,Public Footpath,wild,river-forage,52.535,-0.715,"Riverside foraging for wild garlic, elderflowers, and blackberries along th...","Riverside foraging for wild garlic, elderflowers, and blackberries along the county border.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.535,-0.715",Caldecott,Caldecott,Caldecott,Rutland,LE16 8RS
True,,9,Langham Community Orchard,Community Orchard,fruits,tree-fruits,52.702,-0.748,Small village orchard project preserving local fruit heritage varieties.,Small village orchard project preserving local fruit heritage varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.702,-0.748",Langham,Langham,Langham,Rutland,LE15 7JE
True,,10,Exton Park Edges,Public Path,wild,hedgerow,52.692,-0.638,"Boundary paths with heavy crops of elderberries, sloes, and hawthorn berrie...","Boundary paths with heavy crops of elderberries, sloes, and hawthorn berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.692,-0.638",Exton,Exton,Exton,Rutland,LE15 8AN
True,,11,Greetham Community Orchard,Community Orchard,fruits,tree-fruits,52.722,-0.625,Managed by the community for the benefit of local residents and wildlife.,Managed by the community for the benefit of local residents and wildlife.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.722,-0.625",Greetham,Greetham,Greetham,Rutland,LE15 7NG
True,,12,Wardley Wood Foraging,Woodland,wild,woodland,52.595,-0.785,"Forest trails offering wild raspberries, blackberries, and seasonal mushroo...","Forest trails offering wild raspberries, blackberries, and seasonal mushrooms.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.595,-0.785",Wardley,Wardley,Wardley,Rutland,LE15 9DL
True,,13,Whissendine Community Orchard,Community Orchard,fruits,tree-fruits,52.715,-0.765,Recently established orchard for the village community harvesting.,Recently established orchard for the village community harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.715,-0.765",Whissendine,Whissendine,Whissendine,Rutland,LE15 7ES
True,,14,Empingham Nature Reserve Edges,Nature Reserve,wild,mixed-forage,52.662,-0.588,Public boundary trails with wild fruit and elderflowers in season.,Public boundary trails with wild fruit and elderflowers in season.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.662,-0.588",Empingham,Empingham,Empingham,Rutland,LE15 8PR
True,,15,Cottesmore Community Orchard,Community Orchard,fruits,tree-fruits,52.711,-0.665,Located near the village playing fields. Open for public fruit picking.,Located near the village playing fields. Open for public fruit picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.711,-0.665",Cottesmore,Cottesmore,Cottesmore,Rutland,LE15 7DJ
True,,16,South Luffenham Edges,Public Path,wild,hedgerow,52.612,-0.605,Bridleways with abundant brambles for blackberry picking in autumn.,Bridleways with abundant brambles for blackberry picking in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.612,-0.605",South Luffenham,South Luffenham,South Luffenham,Rutland,LE15 8NQ
True,,17,Market Overton Community Orchard,Community Orchard,fruits,tree-fruits,52.735,-0.685,A quiet village orchard project available for local harvesting.,A quiet village orchard project available for local harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.735,-0.685",Market Overton,Market Overton,Market Overton,Rutland,LE15 7PH
True,,18,Wing Village Trail,Public Path,wild,mixed-forage,52.615,-0.685,Country lanes with wild fruit trees and hazelnuts in the boundary hedges.,Country lanes with wild fruit trees and hazelnuts in the boundary hedges.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.615,-0.685",Wing,Wing,Wing,Rutland,LE15 8SA
True,,19,Braunston-in-Rutland Orchard,Community Orchard,fruits,tree-fruits,52.652,-0.775,Village project focused on heritage apple varieties.,Village project focused on heritage apple varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.652,-0.775",Braunston,Braunston,Braunston,Rutland,LE15 8QS
