approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Upton Court Park Orchard,Community Orchard,fruits,tree-fruits,51.502,-0.585,Heritage fruit with a view of Windsor Castle.,"Established apple and pear trees located near the southern boundary, open for public picking.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",38,0,0,,plots.vocal.shared,Autumn,,http://googleusercontent.com/maps.google.com/slough1,Upton Court Road,Slough,Upton,Berkshire,SL3
True,,2,Burnham Beeches Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.558,-0.625,Ancient woodland nut gathering.,Mature sweet chestnut trees are abundant throughout this ancient woodland on the Slough fringe.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,56,0,0,,woods.nut.gather,Autumn,,http://googleusercontent.com/maps.google.com/slough2,Lord Mayors Drive,Burnham,Slough Fringe,Buckinghamshire,SL2
True,,3,Jubilee River Wild Garlic,Wild Foraging,vegetables,wild-greens,51.508,-0.635,"Man-made river, wild greens.",Shaded banks along the Jubilee River relief channel are becoming a hotspot for wild garlic in spring.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,29,0,0,,river.garlic.cool,Spring,,http://googleusercontent.com/maps.google.com/slough3,Slough Road,Datchet/Slough,Eton Side,Berkshire,SL3
True,,4,Incredible Edible Slough - High St,Incredible Edible,vegetables,street-planters,51.509,-0.592,Urban planters in the town centre.,"Community raised beds featuring kale, chives, and seasonal kitchen herbs outside the library.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale",18,0,0,,church.herb.grow,Summer,,http://googleusercontent.com/maps.google.com/slough4,High Street,Slough,Town Centre,Berkshire,SL1
True,,5,Cippenham Moat Blackberries,Wild Foraging,fruits,berries,51.512,-0.632,Historical bramble thickets.,The wild scrub surrounding this ancient scheduled monument is excellent for blackberry picking.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,15,0,0,,track.berry.pick,Summer,,http://googleusercontent.com/maps.google.com/slough5,Cippenham Lane,Slough,Cippenham,Berkshire,SL1
True,,6,Black Park Elder,Wild Foraging,fruits,berries,51.542,-0.548,Elderflower and berry foraging.,Large elder bushes are scattered throughout the parkland and near the lake.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,22,0,0,,water.elder.blue,Summer/Autumn,,http://googleusercontent.com/maps.google.com/slough6,Black Park Road,Wexham,Slough Fringe,Buckinghamshire,SL3
True,,7,Salt Hill Park Walnuts,Urban Foraging,nuts,woodland-nuts,51.515,-0.605,Urban park nut trees.,Mature walnut trees can be found in the quieter corners of this Victorian park.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,14,0,0,,park.nut.view,Autumn,,http://googleusercontent.com/maps.google.com/slough7,Bath Road,Slough,Town Centre,Berkshire,SL1
True,,8,Grand Union Canal Sloes,Wild Foraging,fruits,hedgerow-fruit,51.522,-0.565,Blackthorn on the Slough Arm.,The towpath of the Grand Union Canal Slough Arm is lined with blackthorn bushes.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,11,0,0,,canal.sloe.gin,Autumn,,http://googleusercontent.com/maps.google.com/slough8,Stoke Road,Slough,Slough Arm,Berkshire,SL2
True,,9,Herschel Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.505,-0.592,Wild berries in a nature reserve.,Wild rose bushes providing rosehips line the trails around the lake and nature area.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,9,0,0,,lake.rose.red,Autumn,,http://googleusercontent.com/maps.google.com/slough9,Datchet Road,Slough,Upton,Berkshire,SL3
True,,10,Britwell Incredible Edible Planters,Incredible Edible,vegetables,street-planters,51.535,-0.622,Community planters at Britwell Hub.,Street-side beds with accessible strawberries and culinary herbs for locals.,6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"strawberries, herbs",13,0,0,,berry.hub.share,Summer,,http://googleusercontent.com/maps.google.com/slough10,Wentworth Avenue,Slough,Britwell,Berkshire,SL2
True,,11,Stoke Poges Lane Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.538,-0.598,Hedgerow nut gathering.,Hazel trees are found in the older hedgerows along the lanes heading toward Stoke Poges.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,7,0,0,,hazel.lane.pick,Autumn,,http://googleusercontent.com/maps.google.com/slough11,Stoke Poges Lane,Slough,Manor Park,Berkshire,SL1
True,,12,Slough Trading Estate Apples,Urban Foraging,fruits,tree-fruits,51.518,-0.622,Industrial estate surprise fruit.,Feral apple trees grow in several green buffers and abandoned verges within the estate.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,5,0,0,,fruit.park.local,Autumn,,http://googleusercontent.com/maps.google.com/slough12,Malton Avenue,Slough,Trading Estate,Berkshire,SL1
True,,13,Colne Valley Wild Mint,Wild Foraging,vegetables,wild-greens,51.505,-0.525,Watermint in the Colne Valley.,Damp drainage dykes and riverbanks along the Colne Valley trail are rich with watermint.,6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,mint,12,0,0,,ditch.mint.green,Summer,,http://googleusercontent.com/maps.google.com/slough13,Sutton Lane,Colnbrook,Slough,Berkshire,SL3
True,,14,Haymill Valley Sloes,Wild Foraging,fruits,hedgerow-fruit,51.525,-0.635,Nature reserve foraging.,The blackthorn scrub in this local nature reserve provides a good crop of sloes.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,8,0,0,,new.trees.red,Autumn,,http://googleusercontent.com/maps.google.com/slough14,Littlebrook Avenue,Slough,Burnham,Berkshire,SL1
True,,15,Langley Park Samphire (Marsh Alternative),Wild Foraging,vegetables,wild-greens,51.532,-0.552,Wild celery and greens.,Wild celery and other damp-loving edible greens can be found in the marshy areas near the park's watercourses.,5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild celery,6,0,0,,marsh.green.view,Summer,,http://googleusercontent.com/maps.google.com/slough15,Billet Lane,Iver,Slough Fringe,Buckinghamshire,SL0
