approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Bath Community Orchard,Community Orchard,fruits,tree-fruits,51.392,-2.355,Located at Smallcombe Vale. A beautiful site with heritage apples and pears...,Located at Smallcombe Vale. A beautiful site with heritage apples and pears overlooking the city.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.392,-2.355",Bath,Bath,Bath,Somerset,BA1 3NJ
True,,2,Incredible Edible Bristol (Somerset border),Urban Foraging,vegetables,street-planters,51.448,-2.585,Abundant community planters near Temple Meads and Bedminster with herbs and...,Abundant community planters near Temple Meads and Bedminster with herbs and seasonal leafy greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.448,-2.585",Bristol,Bristol,Bristol,Somerset,BS1 6JX
True,,3,Glastonbury Unity Garden,Community Garden,vegetables,mixed-produce,51.145,-2.718,A community-run space focused on food sovereignty. Permaculture-based edibl...,A community-run space focused on food sovereignty. Permaculture-based edible planting open to all.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.145,-2.718",Glastonbury,Glastonbury,Glastonbury,Somerset,BA6 9ED
True,,4,Bridgwater Community Orchard,Community Orchard,fruits,tree-fruits,51.128,-2.992,Located at Coronation Park. Features local Somerset varieties including cid...,Located at Coronation Park. Features local Somerset varieties including cider apples and eating pears.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.128,-2.992",Bridgwater,Bridgwater,Bridgwater,Somerset,TA6 3LN
True,,5,Frome Incredible Edible,Urban Foraging,vegetables,street-planters,51.231,-2.318,"Town center planters and the 'Loop de Loop' garden providing free herbs, fr...","Town center planters and the 'Loop de Loop' garden providing free herbs, fruit, and vegetables.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.231,-2.318",Frome,Frome,Frome,Somerset,BA11 1BE
True,,6,Weston-super-Mare Seafront,Coastal Foraging,wild,coastal,51.345,-2.985,Coastal edges support sea beet and wild mustard. Check areas away from heav...,Coastal edges support sea beet and wild mustard. Check areas away from heavy foot traffic.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.345,-2.985",Weston-super-Mare,Weston-super-Mare,Weston-super-Mare,Somerset,BS23 1BE
True,,7,Taunton Community Orchard,Community Orchard,fruits,tree-fruits,51.015,-3.102,Located at French Weir Park. Managed for the community with a variety of se...,Located at French Weir Park. Managed for the community with a variety of seasonal fruit trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.015,-3.102",Taunton,Taunton,Taunton,Somerset,TA1 4AY
True,,8,Cheddar Gorge (Public Paths),Nature Reserve,wild,mixed-forage,51.285,-2.765,"Limestone grassland edges with wild marjoram, wild thyme, and blackberries ...","Limestone grassland edges with wild marjoram, wild thyme, and blackberries in late summer.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.285,-2.765",Cheddar,Cheddar,Cheddar,Somerset,BS27 3QF
True,,9,Wells Community Orchard,Community Orchard,fruits,tree-fruits,51.205,-2.655,Beautifully maintained orchard space near the Bishop's Palace boundary.,Beautifully maintained orchard space near the Bishop's Palace boundary.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.205,-2.655",Wells,Wells,Wells,Somerset,BA5 2PU
True,,10,Kilve Beach Coastal Edges,Coastal Foraging,vegetables,coastal,51.192,-3.228,"Famous for fossils, but also home to wild sea kale and sea beet along the s...","Famous for fossils, but also home to wild sea kale and sea beet along the shoreline.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.192,-3.228",Kilve,Kilve,Kilve,Somerset,TA5 1EG
True,,11,Yeovil Incredible Edible,Urban Foraging,vegetables,street-planters,50.941,-2.635,Growing sites at Ninesprings and the town center with edible perennials and...,Growing sites at Ninesprings and the town center with edible perennials and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham050.941,-2.635",Yeovil,Yeovil,Yeovil,Somerset,BA20 1HE
True,,12,Exmoor National Park (Somerset Edges),Woodland,wild,woodland,51.042,-3.555,Abundant whortleberries (bilberries) on the moors and wild garlic in the wo...,Abundant whortleberries (bilberries) on the moors and wild garlic in the wooded valleys.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.042,-3.555",Dulverton,Dulverton,Dulverton,Somerset,TA22 9EX
True,,13,Brean Down Coastal Path,Nature Reserve,wild,coastal,51.325,-3.018,Coastal plants including rock samphire and wild fennel on the sunny slopes.,Coastal plants including rock samphire and wild fennel on the sunny slopes.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.325,-3.018",Brean,Brean,Brean,Somerset,TA8 2RS
True,,14,Minehead Seafront Edges,Coastal Foraging,wild,coastal,51.205,-3.468,The start of the South West Coast Path offers sea beet and coastal berries.,The start of the South West Coast Path offers sea beet and coastal berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.205,-3.468",Minehead,Minehead,Minehead,Somerset,TA24 5QW
True,,15,Shepton Mallet Orchard,Community Orchard,fruits,tree-fruits,51.192,-2.545,Collett Park features a collection of fruit trees for public harvesting.,Collett Park features a collection of fruit trees for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.192,-2.545",Shepton Mallet,Shepton Mallet,Shepton Mallet,Somerset,BA4 5UH
True,,16,Portishead Lake Grounds Edges,Public Park,wild,mixed-forage,51.488,-2.775,Coastal park edges with wild berries and elderflowers in season.,Coastal park edges with wild berries and elderflowers in season.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.488,-2.775",Portishead,Portishead,Portishead,Somerset,BS20 7JD
True,,17,Nailsea Community Orchard,Community Orchard,fruits,tree-fruits,51.432,-2.755,A volunteer-managed orchard site providing fresh fruit to the local communi...,A volunteer-managed orchard site providing fresh fruit to the local community.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.432,-2.755",Nailsea,Nailsea,Nailsea,Somerset,BS48 2RE
True,,18,Kennet & Avon Canal Path (Somerset),Public Footpath,wild,hedgerow,51.395,-2.325,"Rich canal-side hedgerows with blackberries, sloes, and hawthorn berries.","Rich canal-side hedgerows with blackberries, sloes, and hawthorn berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.395,-2.325",Bathampton,Bathampton,Bathampton,Somerset,BA2 6TS
True,,19,Keynsham Memorial Park Orchard,Community Orchard,fruits,tree-fruits,51.412,-2.495,Small public orchard within the park featuring local apple varieties.,Small public orchard within the park featuring local apple varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham051.412,-2.495",Keynsham,Keynsham,Keynsham,Somerset,BS31 2BL
