approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Sheffield Community Orchard,Community Orchard,fruits,tree-fruits,53.362,-1.505,Located at Meersbrook Park. A historic hillside orchard with over 100 fruit...,Located at Meersbrook Park. A historic hillside orchard with over 100 fruit trees including local heritage varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.362,-1.505",,Sheffield,Sheffield,South Yorkshire,S11 7AB
True,,2,Incredible Edible Barnsley,Urban Foraging,vegetables,street-planters,53.552,-1.482,Community planters across the town center and Library @ the Lightbox with f...,Community planters across the town center and Library @ the Lightbox with free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.552,-1.482",,Barnsley,Barnsley,South Yorkshire,S70 2RD
True,,3,Doncaster Community Orchard,Community Orchard,fruits,tree-fruits,53.522,-1.128,Located at Town Field. Features a range of traditional fruit trees open for...,Located at Town Field. Features a range of traditional fruit trees open for public harvesting in autumn.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.522,-1.128",,Doncaster,Doncaster,South Yorkshire,DN1 2TE
True,,4,Rotherham Incredible Edible,Urban Foraging,vegetables,street-planters,53.431,-1.355,Edible planting in public spaces around the Minster and town square featuri...,Edible planting in public spaces around the Minster and town square featuring hardy herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.431,-1.355",,Rotherham,Rotherham,South Yorkshire,S60 1EY
True,,5,Grenoside Woods Foraging,Woodland,wild,woodland,53.448,-1.515,"Large woodland area offering sweet chestnuts, hazelnuts, and blackberries a...","Large woodland area offering sweet chestnuts, hazelnuts, and blackberries along the public bridleways.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.448,-1.515",,Sheffield,Sheffield,South Yorkshire,S35 8RS
True,,6,Wyming Brook Nature Reserve,Nature Reserve,wild,mixed-forage,53.375,-1.595,"A boulder-strewn stream valley with bilberries (autumn), blackberries, and ...","A boulder-strewn stream valley with bilberries (autumn), blackberries, and seasonal mushrooms.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.375,-1.595",,Sheffield,Sheffield,South Yorkshire,S10 4QX
True,,7,Conisbrough Community Orchard,Community Orchard,fruits,tree-fruits,53.485,-1.225,Located near the castle. A quiet orchard space preserved for community frui...,Located near the castle. A quiet orchard space preserved for community fruit gathering.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.485,-1.225",,Conisbrough,Conisbrough,South Yorkshire,DN12 3BU
True,,8,Wath-upon-Dearne Incredible Edible,Urban Foraging,vegetables,street-planters,53.498,-1.342,Town center planters maintained by volunteers with free-to-pick edible crop...,Town center planters maintained by volunteers with free-to-pick edible crops.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.498,-1.342",,Wath-upon-Dearne,Wath-upon-Dearne,South Yorkshire,S63 7PZ
True,,9,Potteric Carr Nature Reserve Edges,Nature Reserve,wild,hedgerow,53.495,-1.105,"Public boundary paths with abundant elderberries, blackberries, and sloes.","Public boundary paths with abundant elderberries, blackberries, and sloes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.495,-1.105",,Doncaster,Doncaster,South Yorkshire,DN4 8DB
True,,10,Beeley Wood Foraging,Woodland,wild,woodland,53.418,-1.512,Ancient woodland on the banks of the River Don with wild garlic (spring) an...,Ancient woodland on the banks of the River Don with wild garlic (spring) and blackberries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.418,-1.512",,Sheffield,Sheffield,South Yorkshire,S6 1ST
True,,11,Bawtry Community Orchard,Community Orchard,fruits,tree-fruits,53.432,-1.018,Small orchard project providing local fruit heritage to the community.,Small orchard project providing local fruit heritage to the community.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.432,-1.018",,Bawtry,Bawtry,South Yorkshire,DN10 6PU
True,,12,Stocksbridge Community Orchard,Community Orchard,fruits,tree-fruits,53.482,-1.592,Managed by local volunteers for community harvest near the leisure center.,Managed by local volunteers for community harvest near the leisure center.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.482,-1.592",,Stocksbridge,Stocksbridge,South Yorkshire,S36 1DY
True,,13,Cusworth Hall Edges (Public Path),Public Path,wild,hedgerow,53.535,-1.175,"Historic estate boundary paths with wild fruit, elderflowers, and nuts.","Historic estate boundary paths with wild fruit, elderflowers, and nuts.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.535,-1.175",,Doncaster,Doncaster,South Yorkshire,DN5 7TU
True,,14,Endcliffe Park Edible Trail,Public Park,wild,mixed-forage,53.368,-1.502,"An urban park trail with wild garlic, elderberries, and several planted fru...","An urban park trail with wild garlic, elderberries, and several planted fruit trees.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.368,-1.502",,Sheffield,Sheffield,South Yorkshire,S11 7AB
True,,15,Hoyland Incredible Edible,Urban Foraging,vegetables,street-planters,53.495,-1.442,Public planters on the high street featuring free herbs and seasonal plants...,Public planters on the high street featuring free herbs and seasonal plants.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.495,-1.442",,Hoyland,Hoyland,South Yorkshire,S74 9AF
True,,16,River Dearne Valley Foraging,Public Footpath,wild,river-forage,53.492,-1.285,"Riverside paths with abundant blackberries, elderberries, and sloes.","Riverside paths with abundant blackberries, elderberries, and sloes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.492,-1.285",,Mexborough,Mexborough,South Yorkshire,S64 9RG
True,,17,Penistone Community Orchard,Community Orchard,fruits,tree-fruits,53.525,-1.625,Small village orchard project preserving local fruit varieties.,Small village orchard project preserving local fruit varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.525,-1.625",,Penistone,Penistone,South Yorkshire,S36 6BS
True,,18,Ecclesall Woods Foraging,Woodland,wild,woodland,53.342,-1.505,"Sheffield's largest ancient woodland offering sweet chestnuts, hazelnuts, a...","Sheffield's largest ancient woodland offering sweet chestnuts, hazelnuts, and wild garlic.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.342,-1.505",,Sheffield,Sheffield,South Yorkshire,S7 2QZ
True,,19,Tickhill Community Orchard,Community Orchard,fruits,tree-fruits,53.432,-1.108,Located behind the village hall. Features various apple trees for public us...,Located behind the village hall. Features various apple trees for public use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.432,-1.108",,Tickhill,Tickhill,South Yorkshire,DN11 9HT
True,,20,Trans Pennine Trail (Doncaster Section),Public Footpath,wild,hedgerow,53.528,-1.195,Disused railway trail with abundant brambles and elderberries for miles.,Disused railway trail with abundant brambles and elderberries for miles.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.528,-1.195",,Doncaster,Doncaster,South Yorkshire,DN5 8AF
True,,21,Hillsborough Park Orchard,Community Orchard,fruits,tree-fruits,53.402,-1.502,A walled garden orchard with heritage fruit varieties open during park hour...,A walled garden orchard with heritage fruit varieties open during park hours.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.402,-1.502",,Sheffield,Sheffield,South Yorkshire,S6 2AB
