approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Southampton Common (The Avenue Edge),Woodland Foraging,wild,woodland,50.925,-1.405,Ancient common land. Massive sweet chestnut trees near the Cowherds pub and...,Ancient common land. Massive sweet chestnut trees near the Cowherds pub and the boating lake.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.925,-1.405",Southampton,Southampton,Southampton,Hampshire,SO15 7NN
True,,2,Incredible Edible St Denys,Urban Foraging,vegetables,street-planters,50.922,-1.385,Highly active community area with planters at the station and surrounding s...,Highly active community area with planters at the station and surrounding streets featuring herbs and veg.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.922,-1.385",Southampton,Southampton,Southampton,Hampshire,SO17 2LD
True,,3,Weston Shore Coastal Edge,Coastal Foraging,wild,coastal,50.885,-1.365,"Solent shoreline offering sea beet, sea kale, and rock samphire along the s...","Solent shoreline offering sea beet, sea kale, and rock samphire along the shingle path.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.885,-1.365",Southampton,Southampton,Southampton,Hampshire,SO19 9EF
True,,4,Peartree Green Foraging,Nature Reserve,wild,mixed-forage,50.905,-1.378,"Abundant elderberries, blackberries, and wild cherries overlooking the Itch...","Abundant elderberries, blackberries, and wild cherries overlooking the Itchen bridge.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.905,-1.378",Southampton,Southampton,Southampton,Hampshire,SO19 7GZ
True,,5,Incredible Edible Shirley,Urban Foraging,vegetables,street-planters,50.915,-1.432,Community planters at Shirley Precinct and surrounding streets with herbs a...,Community planters at Shirley Precinct and surrounding streets with herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.915,-1.432",Southampton,Southampton,Southampton,Hampshire,SO15 5LL
True,,6,Riverside Park Foraging,Public Park,wild,river-forage,50.928,-1.375,"Itchen riverbanks with wild garlic (spring), elderflowers, and blackberries...","Itchen riverbanks with wild garlic (spring), elderflowers, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.928,-1.375",Southampton,Southampton,Southampton,Hampshire,SO18 2JR
True,,7,Southampton City Farm Orchard,Community Orchard,fruits,tree-fruits,50.928,-1.455,Accessible orchard area within the farm grounds featuring traditional apple...,Accessible orchard area within the farm grounds featuring traditional apple varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.928,-1.455",Southampton,Southampton,Southampton,Hampshire,SO16 9FQ
True,,8,Royal Victoria Country Park Edges,Public Park,wild,woodland,50.875,-1.342,"Boundary woodland offering sweet chestnuts, hazelnuts, and autumn berries n...","Boundary woodland offering sweet chestnuts, hazelnuts, and autumn berries near the chapel.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.875,-1.342",Netley,Netley,Netley,Hampshire,SO31 5GA
True,,9,Itchen Valley Country Park Foraging,Nature Reserve,wild,mixed-forage,50.942,-1.335,"Extensive woodland and meadow trails with sloes, rosehips, and hazelnuts.","Extensive woodland and meadow trails with sloes, rosehips, and hazelnuts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.942,-1.335",West End,West End,West End,Hampshire,SO30 3HQ
True,,10,Mayflower Park Edible Hedges,Public Park,wild,hedgerow,50.895,-1.412,Boundary edges and planters featuring coastal-hardy herbs and seasonal berr...,Boundary edges and planters featuring coastal-hardy herbs and seasonal berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.895,-1.412",Southampton,Southampton,Southampton,Hampshire,SO14 2AQ
True,,11,Incredible Edible Bitterne Park,Urban Foraging,vegetables,street-planters,50.925,-1.382,"Planters near the Triangle shops featuring herbs, chard, and edible flowers...","Planters near the Triangle shops featuring herbs, chard, and edible flowers.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.925,-1.382",Southampton,Southampton,Southampton,Hampshire,SO18 1NP
True,,12,Millbrook Foraging Corridor,Public Path,wild,hedgerow,50.918,-1.445,Green paths and cycleways with elderberry bushes and brambles.,Green paths and cycleways with elderberry bushes and brambles.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.918,-1.445",Southampton,Southampton,Southampton,Hampshire,SO15 0LF
True,,13,Lordswood Foraging (Boundary),Woodland Foraging,wild,woodland,50.945,-1.428,Outer fringe woodland offering wild raspberries and blackberries in the cle...,Outer fringe woodland offering wild raspberries and blackberries in the clearings.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.945,-1.428",Southampton,Southampton,Southampton,Hampshire,SO16 5XG
True,,14,Holly Brook Foraging,Public Path,wild,river-forage,50.925,-1.425,Stream-side path with wild garlic and elderberries.,Stream-side path with wild garlic and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.925,-1.425",Southampton,Southampton,Southampton,Hampshire,SO16 6RL
True,,15,Old Town Herb Gardens (Public),Urban Foraging,vegetables,street-planters,50.898,-1.405,Public planters near the Tudor House and walls with hardy herbs like rosema...,Public planters near the Tudor House and walls with hardy herbs like rosemary and bay.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.898,-1.405",Southampton,Southampton,Southampton,Hampshire,SO14 2NY
