approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Heartwood Forest Community Orchard,Community Orchard,fruits,tree-fruits,51.770,-0.298,Woodland Trust community orchard.,"A community orchard within Heartwood Forest, England's largest newly planted native woodland. Apple, pear and plum trees are open to the public for picking in season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",62,0,0,,orchard.forest.trail,Autumn,,https://www.openstreetmap.org/?mlat=51.770&mlon=-0.298#map=17/51.770/-0.298,B651 Sandridge Road,Sandridge,St Albans District,Hertfordshire,AL4
True,,2,Birklands Meadow Community Orchard,Community Orchard,fruits,tree-fruits,51.743,-0.345,Restored heritage orchard on meadow.,"An old meadow orchard rediscovered and restored by the Community Forest Association. Heritage apple and pear varieties, including local Hertfordshire selections, replanted in 1999.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",34,0,0,,meadow.fruit.old,Autumn,,https://www.openstreetmap.org/?mlat=51.743&mlon=-0.345#map=17/51.743/-0.345,London Road,St Albans,Birklands,Hertfordshire,AL1
True,,3,Highfield Park Heritage Orchard,Community Orchard,fruits,tree-fruits,51.763,-0.302,Spray-free heritage apple and pear orchard.,"Two restored orchards managed without sprays by the Highfield Park Trust. Visitors are welcome to pick fruit in season, with an annual Apple Day event hosted each autumn.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",47,0,0,,heritage.park.apple,Autumn,,https://www.openstreetmap.org/?mlat=51.763&mlon=-0.302#map=17/51.763/-0.302,Hill End Lane,Sandridge,St Albans District,Hertfordshire,AL4
True,,4,Verulamium Park Wild Garlic,Wild Foraging,vegetables,wild-greens,51.748,-0.362,Spring garlic along the River Ver.,"Carpets of wild garlic spread through the damp woodland edges of Verulamium Park each spring, particularly along the River Ver and around the ornamental lake margins.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, garlic mustard",28,0,0,,garlic.river.roman,Spring,,https://www.openstreetmap.org/?mlat=51.748&mlon=-0.362#map=17/51.748/-0.362,St Michael's Street,St Albans,Verulamium,Hertfordshire,AL3
True,,5,Nomansland Common Blackberries,Wild Foraging,fruits,berries,51.763,-0.315,Abundant brambles on open common.,"Nomansland Common's scrubby edges are rich with blackberry brambles, particularly around the Heartwood Forest boundary and the common's woodland fringe paths.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,19,0,0,,bramble.common.edge,Summer,,https://www.openstreetmap.org/?mlat=51.763&mlon=-0.315#map=17/51.763/-0.315,Ferrers Lane,Wheathampstead,Nomansland,Hertfordshire,AL4
True,,6,River Ver Watercress,Wild Foraging,vegetables,wild-greens,51.740,-0.355,Chalk stream watercress beds.,"The crystal-clear River Ver, a chalk stream, supports natural watercress beds along its course through St Albans. Pick small quantities from clear flowing water away from agricultural land.",3;4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,watercress,22,0,0,,cress.chalk.stream,Spring/Summer,,https://www.openstreetmap.org/?mlat=51.740&mlon=-0.355#map=17/51.740/-0.355,Riverside Road,St Albans,River Ver,Hertfordshire,AL1
True,,7,Clarence Park Elder,Wild Foraging,fruits,berries,51.748,-0.340,Urban park elderflower and berries.,"Elder bushes thrive in the wilder borders of Clarence Park, offering fragrant flowers in early summer and dark berries in early autumn along the park perimeter paths.",6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,15,0,0,,elder.park.border,Summer/Autumn,,https://www.openstreetmap.org/?mlat=51.748&mlon=-0.340#map=17/51.748/-0.340,Victoria Street,St Albans,Clarence,Hertfordshire,AL1
True,,8,Bernards Heath Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.758,-0.340,Hedgerow hazel nut gathering.,"The hedgerows and scrubby woodland edges of Bernards Heath are dotted with hazel trees, offering good pickings of cobnuts and hazelnuts from late summer into autumn.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,11,0,0,,hazel.heath.golden,Autumn,,https://www.openstreetmap.org/?mlat=51.758&mlon=-0.340#map=17/51.758/-0.340,Sandpit Lane,St Albans,Bernards Heath,Hertfordshire,AL1
True,,9,Sopwell Wild Plums & Damsons,Wild Foraging,fruits,tree-fruits,51.738,-0.332,Riverside wild plum and damson trees.,"Scattered wild plum, damson and cherry trees grow along the old mill stream paths and hedgerows near Sopwell Nunnery ruins and the River Ver floodplain.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, damsons",13,0,0,,plum.mill.ruin,Autumn,,https://www.openstreetmap.org/?mlat=51.738&mlon=-0.332#map=17/51.738/-0.332,Cottonmill Lane,St Albans,Sopwell,Hertfordshire,AL1
True,,10,Incredible Edible St Albans - City Centre,Incredible Edible,vegetables,street-planters,51.752,-0.337,Urban herb and veg planters.,"Community-maintained planters in the city centre growing culinary herbs, salad leaves and seasonal vegetables, inspired by the Incredible Edible movement, free for all to harvest.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, salad, kale",18,0,0,,grow.share.city,Summer,,https://www.openstreetmap.org/?mlat=51.752&mlon=-0.337#map=17/51.752/-0.337,St Peter's Street,St Albans,City Centre,Hertfordshire,AL1
True,,11,Batford Springs Wild Greens,Wild Foraging,vegetables,wild-greens,51.795,-0.358,Nature reserve sorrel and mint.,"The damp grassland and streamside margins of Batford Springs Local Nature Reserve support wild sorrel, watermint and ground elder, best gathered in late spring and early summer.",4;5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",9,0,0,,green.spring.water,Spring/Summer,,https://www.openstreetmap.org/?mlat=51.795&mlon=-0.358#map=17/51.795/-0.358,Ambrose Lane,Harpenden,Batford,Hertfordshire,AL5
True,,12,Sandridge Lane Rosehips & Haws,Wild Foraging,fruits,hedgerow-fruit,51.770,-0.308,Country lane hedgerow harvest.,"The old hedgerows flanking the lanes around Sandridge village are loaded with rosehips and hawthorn haws in early autumn — a classic Hertfordshire country lane picking spot.",9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",8,0,0,,rose.lane.hedge,Autumn,,https://www.openstreetmap.org/?mlat=51.770&mlon=-0.308#map=17/51.770/-0.308,Church End,Sandridge,St Albans District,Hertfordshire,AL4
True,,13,Marshalswick Community Planters,Incredible Edible,vegetables,street-planters,51.762,-0.327,Suburban estate herb project.,"Community edible planters near the local shops and green spaces of Marshalswick, growing herbs, kale and salad leaves for local residents to help themselves to freely.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale, salad",7,0,0,,grow.local.suburb,Summer,,https://www.openstreetmap.org/?mlat=51.762&mlon=-0.327#map=17/51.762/-0.327,Sherwood Avenue,St Albans,Marshalswick,Hertfordshire,AL4
True,,14,London Colney Riverside Blackberries,Wild Foraging,fruits,berries,51.724,-0.295,Colne riverside bramble picking.,"Blackberry brambles grow thickly along the footpaths beside the River Colne at London Colney, with sloe-bearing blackthorn also present in the hedgerows further south.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, sloes",10,0,0,,berry.colne.path,Summer/Autumn,,https://www.openstreetmap.org/?mlat=51.724&mlon=-0.295#map=17/51.724/-0.295,High Street,London Colney,St Albans District,Hertfordshire,AL2
True,,15,Redbourn Common Sloes,Wild Foraging,fruits,hedgerow-fruit,51.793,-0.381,Common blackthorn for sloe picking.,"Redbourn Common's ancient hedgerows are rich in blackthorn, making it one of the best sloe-picking spots in the district. Best harvested after the first frosts of autumn.",10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,16,0,0,,sloe.frost.common,Autumn,,https://www.openstreetmap.org/?mlat=51.793&mlon=-0.381#map=17/51.793/-0.381,Common Road,Redbourn,St Albans District,Hertfordshire,AL3
True,,16,Highfield Park Community Orchard,Community Orchard,fruits,tree-fruits,51.742,-0.305,Massive heritage orchard.,Two large orchards (Hixberry and Cell Barnes) featuring hundreds of apple and pear trees open for community picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",65,0,0,,grapes.paths.fruit,Autumn,,https://www.openstreetmap.org/?mlat=51.742&mlon=-0.305#map=17/51.742/-0.305,Highfield Lane,St Albans,Highfield,Hertfordshire,AL4
True,,17,Incredible Edible St Albans - Civic Centre,Incredible Edible,vegetables,street-planters,51.752,-0.335,Urban veg in the city heart.,"Public planters outside the council offices and library featuring chard, kale, and aromatic herbs.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"chard, kale, rosemary",42,0,0,,city.herb.grow,Summer,,https://www.openstreetmap.org/?mlat=51.752&mlon=-0.335#map=17/51.752/-0.335,St Peters Street,St Albans,City Centre,Hertfordshire,AL1
True,,18,Heartwood Forest Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.785,-0.285,"New forest, wild bounty.",The newer plantings and existing ancient pockets contain a vast amount of hazel and dogwood.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,38,0,0,,forest.nut.find,Autumn,,https://www.openstreetmap.org/?mlat=51.785&mlon=-0.285#map=17/51.785/-0.285,Sandridge,St Albans,Sandridge,Hertfordshire,AL4
True,,19,Verulamium Park Wild Garlic,Wild Foraging,vegetables,wild-greens,51.752,-0.348,Spring ramsons by the River Ver.,"The wooded banks of the River Ver, particularly near the Causeway, are thick with wild garlic in spring.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,57,0,0,,river.garlic.shade,Spring,,https://www.openstreetmap.org/?mlat=51.752&mlon=-0.348#map=17/51.752/-0.348,St Michaels Street,St Albans,Verulamium,Hertfordshire,AL3
True,,20,The Alban Way Blackberries,Wild Foraging,fruits,berries,51.745,-0.322,Brambles on the old railway.,This disused railway path is a continuous corridor of blackberries and elder bushes from St Albans to Hatfield.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, elderberries",29,0,0,,track.berry.walk,Summer,,https://www.openstreetmap.org/?mlat=51.745&mlon=-0.322#map=17/51.745/-0.322,Cottonmill Lane,St Albans,Cottonmill,Hertfordshire,AL1
True,,21,Bernards Heath Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.762,-0.332,Urban heath nut gathering.,Mature sweet chestnut trees line the edges of the woods overlooking the historic heath.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,22,0,0,,heath.nut.fall,Autumn,,https://www.openstreetmap.org/?mlat=51.762&mlon=-0.332#map=17/51.762/-0.332,Sandridge Road,St Albans,Bernards Heath,Hertfordshire,AL1
True,,22,Gorhambury Estate Sloes,Wild Foraging,fruits,hedgerow-fruit,51.758,-0.375,Estate hedgerow bounty.,The public footpaths through the estate are lined with blackthorn bushes (sloes) and hawthorn.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, haws",18,0,0,,path.sloe.view,Autumn,,https://www.openstreetmap.org/?mlat=51.758&mlon=-0.375#map=17/51.758/-0.375,Gorhambury,St Albans,West St Albans,Hertfordshire,AL3
True,,23,Batchwood Walnuts,Wild Foraging,nuts,woodland-nuts,51.768,-0.355,Woodland edge walnuts.,Mature walnut trees can be found in the wooded borders of the golf course and public paths.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,14,0,0,,wood.nut.track,Autumn,,https://www.openstreetmap.org/?mlat=51.768&mlon=-0.355#map=17/51.768/-0.355,Batchwood Drive,St Albans,Batchwood,Hertfordshire,AL3
True,,24,Clarence Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.751,-0.322,Victorian park rosehips.,The perimeter shrubbery of the park contains many wild rose species for autumn hip gathering.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,11,0,0,,rose.park.path,Autumn,,https://www.openstreetmap.org/?mlat=51.751&mlon=-0.322#map=17/51.751/-0.322,Hatfield Road,St Albans,City Centre,Hertfordshire,AL1
True,,25,Sopwell Nunnery Wild Herbs,Wild Foraging,flowers,edible-flowers,51.745,-0.332,"Historic ruins, wild herbs.",Feral herbs and wild mint often grow in the damp ground near the ruins and the river.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"mint, herbs",16,0,0,,ruin.herb.green,Summer,,https://www.openstreetmap.org/?mlat=51.745&mlon=-0.332#map=17/51.745/-0.332,Cottonmill Lane,St Albans,Sopwell,Hertfordshire,AL1
True,,26,Sandridge Village Orchard,Community Orchard,fruits,tree-fruits,51.778,-0.302,Village fruit project.,A small stand of mixed fruit trees planted by the local community for shared use.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",9,0,0,,village.fruit.ripe,Autumn,,https://www.openstreetmap.org/?mlat=51.778&mlon=-0.302#map=17/51.778/-0.302,High Street,Sandridge,St Albans Fringe,Hertfordshire,AL4
True,,27,Jersey Farm Woodland Elder,Wild Foraging,fruits,berries,51.768,-0.295,Elderflower hotspot.,Abundant elder bushes for flowers and berries grow along the green lanes and woodland edges.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,13,0,0,,green.elder.bloom,Summer/Autumn,,https://www.openstreetmap.org/?mlat=51.768&mlon=-0.295#map=17/51.768/-0.295,St Albans Road,St Albans,Jersey Farm,Hertfordshire,AL4
True,,28,Ver Valley Meadow Sorrel,Wild Foraging,vegetables,wild-greens,51.738,-0.345,Riverside meadow greens.,Find wild sorrel and watermint in the damp meadows heading south toward Park Street.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",12,0,0,,mead.green.mint,Summer,,https://www.openstreetmap.org/?mlat=51.738&mlon=-0.345#map=17/51.738/-0.345,Watford Road,St Albans,Sopwell,Hertfordshire,AL2
True,,29,Fleetville Incredible Edible Planters,Incredible Edible,vegetables,street-planters,51.755,-0.315,Estate herb project.,"Planters featuring strawberries, chives, and mint near the community centre.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"strawberries, herbs",15,0,0,,grow.local.fleet,Summer,,https://www.openstreetmap.org/?mlat=51.755&mlon=-0.315#map=17/51.755/-0.315,Royal Road,St Albans,Fleetville,Hertfordshire,AL1
