approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Stafford Community Orchard,Community Orchard,fruits,tree-fruits,52.805,-2.115,Located at Victoria Park. Features local apple varieties and pears in a wel...,Located at Victoria Park. Features local apple varieties and pears in a well-maintained riverside park setting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.805,-2.115",Stafford,Stafford,Stafford,Staffordshire,ST16 3AQ
True,,2,Incredible Edible Stoke-on-Trent,Urban Foraging,vegetables,street-planters,53.002,-2.185,Community planters at Spode Works and near the station with free-to-pick he...,Community planters at Spode Works and near the station with free-to-pick herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.002,-2.185",Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Staffordshire,ST4 1AJ
True,,3,Cannock Chase Foraging,Woodland,wild,woodland,52.725,-2.015,"Large Area of Outstanding Natural Beauty. Offers wild bilberries (autumn), ...","Large Area of Outstanding Natural Beauty. Offers wild bilberries (autumn), blackberries, and elderberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.725,-2.015",Cannock,Cannock,Cannock,Staffordshire,WS12 4PW
True,,4,Tamworth Community Orchard,Community Orchard,fruits,tree-fruits,52.632,-1.692,Located at Castle Pleasure Grounds. Traditional fruit trees open for public...,Located at Castle Pleasure Grounds. Traditional fruit trees open for public harvesting in late summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.632,-1.692",Tamworth,Tamworth,Tamworth,Staffordshire,B79 7DL
True,,5,Incredible Edible Lichfield,Urban Foraging,vegetables,street-planters,52.685,-1.828,Community planters near the cathedral and city center featuring herbs and e...,Community planters near the cathedral and city center featuring herbs and edible perennials.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.685,-1.828",Lichfield,Lichfield,Lichfield,Staffordshire,WS13 6QG
True,,6,Kinver Edge Foraging,Nature Reserve,wild,mixed-forage,52.455,-2.235,Sandstone ridge with abundant blackberries and wild strawberries on the low...,Sandstone ridge with abundant blackberries and wild strawberries on the lower slopes.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.455,-2.235",Kinver,Kinver,Kinver,Staffordshire,DY7 6DL
True,,7,Burton-upon-Trent Community Orchard,Community Orchard,fruits,tree-fruits,52.802,-1.632,Located at Stapenhill Gardens. Features heritage fruit trees open for publi...,Located at Stapenhill Gardens. Features heritage fruit trees open for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.802,-1.632",Burton-upon-Trent,Burton-upon-Trent,Burton-upon-Trent,Staffordshire,DE14 1BQ
True,,8,Incredible Edible Newcastle-under-Lyme,Urban Foraging,vegetables,street-planters,53.012,-2.228,Public planters in the town center and Queen's Gardens with free herbs and ...,Public planters in the town center and Queen's Gardens with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.012,-2.228",Newcastle-under-Lyme,Newcastle-under-Lyme,Newcastle-under-Lyme,Staffordshire,ST5 1QS
True,,9,Leek Incredible Edible,Urban Foraging,vegetables,street-planters,53.105,-2.022,Community growing spots in the marketplace and local parks providing free f...,Community growing spots in the marketplace and local parks providing free food.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.105,-2.022",Leek,Leek,Leek,Staffordshire,ST13 5HH
True,,10,Rugeley Incredible Edible,Urban Foraging,vegetables,street-planters,52.758,-1.938,Public planters near the library and high street with free herbs and veg.,Public planters near the library and high street with free herbs and veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.758,-1.938",Rugeley,Rugeley,Rugeley,Staffordshire,WS15 2AS
True,,11,Stone Community Orchard,Community Orchard,fruits,tree-fruits,52.898,-2.148,Located at Westbridge Park. Managed for community access to various fruit t...,Located at Westbridge Park. Managed for community access to various fruit trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.898,-2.148",Stone,Stone,Stone,Staffordshire,ST15 8QW
True,,12,Caldon Canal Path Foraging,Public Footpath,wild,hedgerow,53.072,-2.105,"Rich canal-side hedgerows with blackberries, elderberries, and sloes.","Rich canal-side hedgerows with blackberries, elderberries, and sloes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.072,-2.105",Endon,Endon,Endon,Staffordshire,ST9 9AB
True,,13,Uttoxeter Community Orchard,Community Orchard,fruits,tree-fruits,52.895,-1.862,Located at Bramshall Road Park. Features traditional fruit trees for public...,Located at Bramshall Road Park. Features traditional fruit trees for public use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.895,-1.862",Uttoxeter,Uttoxeter,Uttoxeter,Staffordshire,ST14 7AG
True,,14,Incredible Edible Biddulph,Urban Foraging,vegetables,street-planters,53.115,-2.175,Public planters in the town center featuring herbs and edible flowers.,Public planters in the town center featuring herbs and edible flowers.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.115,-2.175",Biddulph,Biddulph,Biddulph,Staffordshire,ST8 6BA
True,,15,Trentham Gardens Edges (Public Path),Public Path,wild,mixed-forage,52.965,-2.195,"Boundary paths with wild fruit, elderflowers, and autumn berries.","Boundary paths with wild fruit, elderflowers, and autumn berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.965,-2.195",Trentham,Trentham,Trentham,Staffordshire,ST4 8AX
True,,16,Hanley Park Orchard,Community Orchard,fruits,tree-fruits,53.015,-2.175,Public orchard within the historic park featuring local and heritage fruit ...,Public orchard within the historic park featuring local and heritage fruit varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham053.015,-2.175",Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Staffordshire,ST1 4DX
