approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Highfield Park Community Orchard,Community Orchard,fruits,tree-fruits,51.742,-0.305,Massive heritage orchard.,Two large orchards (Hixberry and Cell Barnes) featuring hundreds of apple and pear trees open for community picking.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",65,0,0,,grapes.paths.fruit,Autumn,,http://googleusercontent.com/maps.google.com/sta1,Highfield Lane,St Albans,Highfield,Hertfordshire,AL4
True,,2,Incredible Edible St Albans - Civic Centre,Incredible Edible,vegetables,street-planters,51.752,-0.335,Urban veg in the city heart.,"Public planters outside the council offices and library featuring chard, kale, and aromatic herbs.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"chard, kale, rosemary",42,0,0,,city.herb.grow,Summer,,http://googleusercontent.com/maps.google.com/sta2,St Peters Street,St Albans,City Centre,Hertfordshire,AL1
True,,3,Heartwood Forest Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.785,-0.285,"New forest, wild bounty.",The newer plantings and existing ancient pockets contain a vast amount of hazel and dogwood.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,38,0,0,,forest.nut.find,Autumn,,http://googleusercontent.com/maps.google.com/sta3,Sandridge,St Albans,Sandridge,Hertfordshire,AL4
True,,4,Verulamium Park Wild Garlic,Wild Foraging,vegetables,wild-greens,51.752,-0.348,Spring ramsons by the River Ver.,"The wooded banks of the River Ver, particularly near the Causeway, are thick with wild garlic in spring.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,57,0,0,,river.garlic.shade,Spring,,http://googleusercontent.com/maps.google.com/sta4,St Michaels Street,St Albans,Verulamium,Hertfordshire,AL3
True,,5,The Alban Way Blackberries,Wild Foraging,fruits,berries,51.745,-0.322,Brambles on the old railway.,This disused railway path is a continuous corridor of blackberries and elder bushes from St Albans to Hatfield.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, elderberries",29,0,0,,track.berry.walk,Summer,,http://googleusercontent.com/maps.google.com/sta5,Cottonmill Lane,St Albans,Cottonmill,Hertfordshire,AL1
True,,6,Bernards Heath Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.762,-0.332,Urban heath nut gathering.,Mature sweet chestnut trees line the edges of the woods overlooking the historic heath.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,22,0,0,,heath.nut.fall,Autumn,,http://googleusercontent.com/maps.google.com/sta6,Sandridge Road,St Albans,Bernards Heath,Hertfordshire,AL1
True,,7,Gorhambury Estate Sloes,Wild Foraging,fruits,hedgerow-fruit,51.758,-0.375,Estate hedgerow bounty.,The public footpaths through the estate are lined with blackthorn bushes (sloes) and hawthorn.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, haws",18,0,0,,path.sloe.view,Autumn,,http://googleusercontent.com/maps.google.com/sta7,Gorhambury,St Albans,West St Albans,Hertfordshire,AL3
True,,8,Batchwood Walnuts,Wild Foraging,nuts,woodland-nuts,51.768,-0.355,Woodland edge walnuts.,Mature walnut trees can be found in the wooded borders of the golf course and public paths.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,14,0,0,,wood.nut.track,Autumn,,http://googleusercontent.com/maps.google.com/sta8,Batchwood Drive,St Albans,Batchwood,Hertfordshire,AL3
True,,9,Clarence Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.751,-0.322,Victorian park rosehips.,The perimeter shrubbery of the park contains many wild rose species for autumn hip gathering.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,11,0,0,,rose.park.path,Autumn,,http://googleusercontent.com/maps.google.com/sta9,Hatfield Road,St Albans,City Centre,Hertfordshire,AL1
True,,10,Sopwell Nunnery Wild Herbs,Wild Foraging,flowers,edible-flowers,51.745,-0.332,"Historic ruins, wild herbs.",Feral herbs and wild mint often grow in the damp ground near the ruins and the river.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"mint, herbs",16,0,0,,ruin.herb.green,Summer,,http://googleusercontent.com/maps.google.com/sta10,Cottonmill Lane,St Albans,Sopwell,Hertfordshire,AL1
True,,11,Sandridge Village Orchard,Community Orchard,fruits,tree-fruits,51.778,-0.302,Village fruit project.,A small stand of mixed fruit trees planted by the local community for shared use.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",9,0,0,,village.fruit.ripe,Autumn,,http://googleusercontent.com/maps.google.com/sta11,High Street,Sandridge,St Albans Fringe,Hertfordshire,AL4
True,,12,Jersey Farm Woodland Elder,Wild Foraging,fruits,berries,51.768,-0.295,Elderflower hotspot.,Abundant elder bushes for flowers and berries grow along the green lanes and woodland edges.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,13,0,0,,green.elder.bloom,Summer/Autumn,,http://googleusercontent.com/maps.google.com/sta12,St Albans Road,St Albans,Jersey Farm,Hertfordshire,AL4
True,,13,Ver Valley Meadow Sorrel,Wild Foraging,vegetables,wild-greens,51.738,-0.345,Riverside meadow greens.,Find wild sorrel and watermint in the damp meadows heading south toward Park Street.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",12,0,0,,mead.green.mint,Summer,,http://googleusercontent.com/maps.google.com/sta13,Watford Road,St Albans,Sopwell,Hertfordshire,AL2
True,,14,Fleetville Incredible Edible Planters,Incredible Edible,vegetables,street-planters,51.755,-0.315,Estate herb project.,"Planters featuring strawberries, chives, and mint near the community centre.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"strawberries, herbs",15,0,0,,grow.local.fleet,Summer,,http://googleusercontent.com/maps.google.com/sta14,Royal Road,St Albans,Fleetville,Hertfordshire,AL1
True,,15,Redbourn Road Wild Plums,Wild Foraging,fruits,tree-fruits,51.765,-0.368,Feral plum trees.,Several wild plum and bullace trees can be found on the wide verges of the old road toward Redbourn.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,plums,7,0,0,,lane.plum.sweet,Autumn,,http://googleusercontent.com/maps.google.com/sta15,Redbourn Road,St Albans,Redbourn Fringe,Hertfordshire,AL3
