approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Fairlands Valley Park Orchard,Community Orchard,fruits,tree-fruits,51.905,-0.185,A well-maintained community orchard within the vast Fairlands Valley Park f...,A well-maintained community orchard within the vast Fairlands Valley Park featuring various apple and pear varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.905,-0.185",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 1NW
True,,2,Incredible Edible Stevenage (Town Centre),Urban Foraging,vegetables,street-planters,51.902,-0.202,"Public planters in the town centre featuring free-to-pick herbs, chard, and...","Public planters in the town centre featuring free-to-pick herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.902,-0.202",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 1BP
True,,3,Monks Wood Foraging,Woodland,wild,woodland,51.885,-0.188,Quiet woodland area on the edge of the town offering hazelnuts and late sum...,Quiet woodland area on the edge of the town offering hazelnuts and late summer blackberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.885,-0.188",Stevenage,Stevenage,Stevenage,Hertfordshire,SG2 8RT
True,,4,Hampson Park Edible Hedge,Public Park,wild,hedgerow,51.918,-0.182,Boundary paths with fruit bushes and elder trees integrated into the landsc...,Boundary paths with fruit bushes and elder trees integrated into the landscaping.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.918,-0.182",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 5AL
True,,5,Incredible Edible Stevenage (Bedwell),Urban Foraging,vegetables,street-planters,51.898,-0.192,Community growing spots in the Bedwell area providing free herbs and season...,Community growing spots in the Bedwell area providing free herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.898,-0.192",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 1LG
True,,6,Box Wood Nut Gathering,Woodland,wild,woodland,51.875,-0.165,Ancient woodland area near Stevenage known for its hazelnuts and sweet ches...,Ancient woodland area near Stevenage known for its hazelnuts and sweet chestnuts during the autumn months.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.875,-0.165",Stevenage,Stevenage,Stevenage,Hertfordshire,SG2 7AF
True,,7,Whomerley Wood Wild Garlic,Woodland,wild,mixed-forage,51.905,-0.178,A historic pocket of woodland known locally for wild garlic in spring and e...,A historic pocket of woodland known locally for wild garlic in spring and elderberries in summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.905,-0.178",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 1PJ
True,,8,Forster Country Boundary Trails,Public Path,wild,hedgerow,51.928,-0.215,Public rights of way through the fields of Forster Country with abundant bl...,Public rights of way through the fields of Forster Country with abundant blackberries and sloes.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.928,-0.215",Stevenage,Stevenage,Stevenage,Hertfordshire,SG1 4DE
True,,9,Incredible Edible Stevenage (Shephall),Urban Foraging,vegetables,street-planters,51.888,-0.175,Raised beds and planters in the Shephall community area featuring culinary ...,Raised beds and planters in the Shephall community area featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.888,-0.175",Stevenage,Stevenage,Stevenage,Hertfordshire,SG2 9RL
True,,10,Shephalbury Park Fruit Edges,Public Park,wild,mixed-forage,51.882,-0.198,Linear paths with wild fruit bushes and elder trees integrated into the par...,Linear paths with wild fruit bushes and elder trees integrated into the park edges.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.882,-0.198",Stevenage,Stevenage,Stevenage,Hertfordshire,SG2 8NP
