approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Bruntwood Park Orchard,Community Orchard,fruits,tree-fruits,53.385,-2.215,Heritage fruit trees in a Victorian park.,A well-established community orchard featuring various apple and pear varieties near the Vinery.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",31,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock1,Bruntwood Lane,Stockport,Cheadle,Greater Manchester,SK8
True,,2,Etherow Country Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,53.415,-2.045,Lakeside woodland nut gathering.,Extensive hazel and sweet chestnut trees can be found along the valley sides and riverside trails.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, chestnuts",42,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock2,George Street,Stockport,Compstall,Greater Manchester,SK6
True,,3,Abney Hall Wild Garlic,Wild Foraging,vegetables,wild-greens,53.398,-2.228,Pungent spring greens in ancient woods.,"The damp, shaded areas near the ponds and waterfalls are carpeted with wild garlic in spring.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,55,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/stock3,Manchester Road,Stockport,Cheadle,Greater Manchester,SK8
True,,4,Reddish Vale Elderberries,Wild Foraging,fruits,berries,53.435,-2.148,Abundant elder in the river valley.,Massive yields of elderflowers and berries along the Tame Valley Way and near the viaduct.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,24,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/stock4,Reddish Vale Road,Stockport,Reddish,Greater Manchester,SK5
True,,5,Incredible Edible Heaton Chapel,Incredible Edible,vegetables,street-planters,53.428,-2.185,Station-side urban growing.,"Community planters at Heaton Chapel station featuring herbs, fruit bushes, and seasonal veg.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, fruit",39,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/stock5,Heaton Moor Road,Stockport,Heaton Chapel,Greater Manchester,SK4
True,,6,Bramhall Park Walnuts,Wild Foraging,nuts,woodland-nuts,53.355,-2.165,Estate nut gathering.,Mature walnut and sweet chestnut trees located within the woodland boundaries of the historic hall.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,"walnuts, chestnuts",19,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock6,Hall Road,Stockport,Bramhall,Greater Manchester,SK7
True,,7,Merseyway Mall Herbs,Incredible Edible,vegetables,street-planters,53.411,-2.158,Town centre shopping centre edibles.,Small planters in the pedestrianised centre featuring rosemary and chives.,4;5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/stock7,Merseyway,Stockport,Town Centre,Greater Manchester,SK1
True,,8,Vernon Park Blackberries,Wild Foraging,fruits,berries,53.415,-2.132,River valley brambles.,The steep slopes leading down to the Goyt are packed with blackberries in late summer.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/stock8,Turncroft Lane,Stockport,Offerton,Greater Manchester,SK1
True,,9,Lyme Park Sloes (Fringe),Wild Foraging,fruits,hedgerow-fruit,53.345,-2.065,High-altitude blackthorn.,The outer boundary walls and paths near Disley are excellent for sloe picking.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,22,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock9,Buxton Road,Disley,Stockport Fringe,Cheshire,SK12
True,,10,Goyt Valley Wild Garlic,Wild Foraging,vegetables,wild-greens,53.408,-2.102,Riverside garlic stretches.,The riverbanks between Marple and Stockport are prolific for wild garlic in April.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,28,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/stock10,Dan Bank,Stockport,Marple,Greater Manchester,SK6
True,,11,Woodbank Park Fruit Trees,Community Orchard,fruits,tree-fruits,53.412,-2.138,Ancient parkland apples.,Occasional apple trees remain from old estate plantings in the wilder parts of the park.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,11,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock11,Park Road,Stockport,Offerton,Greater Manchester,SK1
True,,12,Marple Canal Rosehips,Wild Foraging,fruits,hedgerow-fruit,53.395,-2.062,Towing path berries.,The Peak Forest Canal path is lined with wild rose and hawthorn bushes.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",9,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/stock12,Marple Locks,Stockport,Marple,Greater Manchester,SK6
True,,13,Incredible Edible Edgeley,Incredible Edible,vegetables,street-planters,53.402,-2.172,Railway fringe street growing.,"Planters near the station entrance featuring kale, chives, and strawberries.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, herbs",16,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/stock13,Castle Street,Stockport,Edgeley,Greater Manchester,SK3
True,,14,Heaton Norris Park Samphire (Inland Alternative),Riparian Foraging,vegetables,wild-greens,53.421,-2.165,Urban wild celery.,Damp spots in the lower parklands often host wild celery and other riparian greens.,5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild celery,5,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/stock14,Love Lane,Stockport,Heaton Norris,Greater Manchester,SK4
