approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Dorking Community Fridge (Christian Centre),Community Fridge,surplus,food-sharing,51.231,-0.33,Dorking Community Fridge (Christian Centre) in Dorking.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Dorking,Dorking,Dorking,Surrey,RH4 1DW
True,,2,Goodwyns Community Fridge (Harvest Church),Community Fridge,surplus,food-sharing,51.218,-0.325,Goodwyns Community Fridge (Harvest Church) in Dorking.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Dorking,Dorking,Dorking,Surrey,RH4 2QD
True,,3,Leatherhead Community Fridge,Community Fridge,surplus,food-sharing,51.301,-0.328,Leatherhead Community Fridge in Leatherhead.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Leatherhead,Leatherhead,Leatherhead,Surrey,KT22 7PX
True,,4,Box Hill Mobile Community Fridge,Community Fridge,surplus,food-sharing,51.251,-0.311,Box Hill Mobile Community Fridge in Tadworth.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Tadworth,Tadworth,Tadworth,Surrey,KT20 7LZ
True,,5,Newdigate Community Fridge,Community Fridge,surplus,food-sharing,51.168,-0.315,Newdigate Community Fridge in Newdigate.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Newdigate,Newdigate,Newdigate,Surrey,RH5 5DB
True,,6,Westcott Community Fridge (St Johns),Community Fridge,surplus,food-sharing,51.222,-0.37,Westcott Community Fridge (St Johns) in Westcott.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Westcott,Westcott,Westcott,Surrey,RH4 3PP
True,,7,Ockley Community Fridge (Cricket Pavilion),Community Fridge,surplus,food-sharing,51.155,-0.36,Ockley Community Fridge (Cricket Pavilion) in Ockley.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Ockley,Ockley,Ockley,Surrey,RH5 5TS
True,,8,North Holmwood Community Fridge,Community Fridge,surplus,food-sharing,51.21,-0.33,North Holmwood Community Fridge in Dorking.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Dorking,Dorking,Dorking,Surrey,RH5 4TZ
True,,9,Beare Green Mobile Fridge (Car Park),Community Fridge,surplus,food-sharing,51.178,-0.32,Beare Green Mobile Fridge (Car Park) in Beare Green.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Beare Green,Beare Green,Beare Green,Surrey,RH5 4RS
True,,10,Rickwood Park Community Fridge,Community Fridge,surplus,food-sharing,51.17,-0.32,Rickwood Park Community Fridge in Beare Green.,"A location in Surrey providing access to free food, either via community sharing or wild foraging.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"surplus, food-sharing, surrey",0,0,0,,,Summer/Autumn,,,Beare Green,Beare Green,Beare Green,Surrey,RH5 4PP
