approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Singleton Park Orchard,Community Orchard,fruits,tree-fruits,51.608,-3.978,Heritage fruit in Swansea's largest park.,The Botanical Gardens and surrounding parkland contain variety of apple and pear trees open to the public.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",34,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swan1,Mumbles Road,Swansea,Sketty,West Glamorgan,SA2
True,,2,Mumbles Coast Seaweed,Coastal Foraging,vegetables,coastal-greens,51.568,-3.985,Dulse and Laver seaweed.,The rocky shore at low tide near Mumbles Head is excellent for gathering traditional Welsh Laver seaweed.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"seaweed, laver",41,0,0,,,All Year,,http://googleusercontent.com/maps.google.com/swan2,Mumbles Road,Mumbles,Swansea Bay,West Glamorgan,SA3
True,,3,Incredible Edible Swansea - Environment Centre,Incredible Edible,vegetables,street-planters,51.615,-3.938,Urban herb and veg planters.,"Public planters outside the Environment Centre featuring herbs, salad leaves, and seasonal vegetables.",4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",27,0,0,,,Spring/Summer,,http://googleusercontent.com/maps.google.com/swan3,Pier Street,Swansea,Maritime Quarter,West Glamorgan,SA1
True,,4,Bishopston Valley Wild Garlic,Wild Foraging,vegetables,wild-greens,51.578,-4.055,Woodland ramsons by the stream.,The limestone valley floor is covered in wild garlic during the spring months.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,56,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/swan4,Bishopston Valley,Swansea,Gower,West Glamorgan,SA3
True,,5,Kilvey Hill Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.632,-3.918,Wild nuts with a city view.,The wooded slopes of Kilvey Hill offer plenty of hazel trees for nut gathering in the autumn.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,18,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swan5,St Thomas Access,Swansea,Eastside,West Glamorgan,SA1
True,,6,Oxwich Bay Sea Kale,Coastal Foraging,vegetables,coastal-greens,51.555,-4.165,Rare coastal vegetables.,Wild Sea Kale can be found growing in the shingle and sand dunes at the back of the beach.,4;5;6,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea kale,22,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/swan6,Oxwich Bay,Oxwich,Gower,West Glamorgan,SA3
True,,7,Cwmdonkin Park Blackberries,Wild Foraging,fruits,berries,51.618,-3.965,Urban brambles in Dylan Thomas' park.,Wild blackberries grow along the perimeter fences and upper wooded edges of the park.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,15,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/swan7,Cwmdonkin Drive,Swansea,Uplands,West Glamorgan,SA2
True,,8,Penllergare Valley Woods Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,51.672,-3.955,Historic estate nut gathering.,Mature sweet chestnut trees are found in the mixed woodland areas of this restored estate.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,29,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swan8,Penllergare,Swansea,Gorseinon Fringe,West Glamorgan,SA4
True,,9,Victoria Park Herb Bed,Incredible Edible,vegetables,street-planters,51.612,-3.958,Publicly accessible herbs.,Small community-managed herb garden near the park entrance featuring kitchen staples.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/swan9,Francis Street,Swansea,Sandfields,West Glamorgan,SA1
True,,10,Swansea Canal Elder,Wild Foraging,fruits,berries,51.678,-3.882,Elderflower along the towpath.,Numerous elder trees grow along the canal path between Clydach and Pontardawe.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,14,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/swan10,Canal Road,Clydach,Swansea Valley,West Glamorgan,SA6
