approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Lydiard Park Orchard,Community Orchard,fruits,tree-fruits,51.562,-1.848,Historic fruit trees in a country park.,"The Walled Garden at Lydiard Park contains heritage varieties of apples, pears, and plums.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",32,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin1,Lydiard Tregoze,Swindon,West Swindon,Wiltshire,SN5
True,,2,Coate Water Hazelnuts,Wild Foraging,nuts,woodland-nuts,51.538,-1.751,Lakeside nut gathering.,Hazel trees are abundant along the wooded nature trails surrounding the reservoir.,9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,24,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin2,Marlborough Road,Swindon,South Swindon,Wiltshire,SN3
True,,3,Town Garden Herbs,Incredible Edible,vegetables,street-planters,51.551,-1.778,Community herb garden.,Sensory and edible herb beds located within the Victorian park in Old Town.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,19,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/swin3,Quarry Road,Swindon,Old Town,Wiltshire,SN1
True,,4,Wilts & Berks Canal Wild Garlic,Wild Foraging,vegetables,wild-greens,51.542,-1.792,Canalside Ramsons.,"Damp, shaded sections of the canal path are perfect for wild garlic in the spring.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,garlic,28,0,0,,,Spring,,http://googleusercontent.com/maps.google.com/swin4,Wichelstowe,Swindon,Wichelstowe,Wiltshire,SN1
True,,5,Mouldon Hill Blackberries,Wild Foraging,fruits,berries,51.595,-1.825,Extensive urban-rural fringe berries.,Huge blackberry brambles line the paths near the steam railway line.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,15,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/swin5,Mouldon Hill Country Park,Swindon,North West Swindon,Wiltshire,SN25
True,,6,The Prickly Pear Trail (Sloes),Wild Foraging,fruits,hedgerow-fruit,51.582,-1.765,Abundant blackthorn hedgerows.,Sloe berries found in the dense hedgerows surrounding Stanton Country Park.,10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,11,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin6,The Avenue,Swindon,Stanton Fitzwarren,Wiltshire,SN6
True,,7,Seven Fields Elder,Wild Foraging,fruits,berries,51.598,-1.792,Elderflower and berry picking.,Nature reserve with heavy cropping elder bushes in the hedgerows.,6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,13,0,0,,,Summer/Autumn,,http://googleusercontent.com/maps.google.com/swin7,Penhill,Swindon,North Swindon,Wiltshire,SN2
True,,8,Queen's Park Fruit Trees,Community Orchard,fruits,tree-fruits,51.558,-1.775,Urban park apples.,Public-access fruit trees scattered within the park near the lake.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,10,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin8,Drove Road,Swindon,Central,Wiltshire,SN1
True,,9,Ridgeway Walnuts,Wild Foraging,nuts,woodland-nuts,51.515,-1.785,Historic trail nut gathering.,Occasional walnut trees found along the ancient Ridgeway path on the downs.,9;10,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,walnuts,7,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin9,The Ridgeway,Swindon Fringe,Chiseldon,Wiltshire,SN4
True,,10,Shaw Forest Park Rosehips,Wild Foraging,fruits,hedgerow-fruit,51.585,-1.838,Community forest foraging.,Wild rosehips and haws are plentiful in this community-planted forest park.,9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,rosehips,9,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin10,Shaw,Swindon,West Swindon,Wiltshire,SN5
True,,11,Swindon Railway Village Planters,Incredible Edible,vegetables,street-planters,51.562,-1.788,Heritage herb planters.,Community planters in the historic GWR railway village containing culinary herbs.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,12,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/swin11,Emlyn Square,Swindon,Railway Village,Wiltshire,SN1
True,,12,Nightingale Wood Chestnuts,Wild Foraging,nuts,woodland-nuts,51.582,-1.692,Community woodland nuts.,Sweet chestnut trees found in the mixed woodland planted by the Forestry Commission.,10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,8,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin12,South Marston,Swindon Fringe,South Marston,Wiltshire,SN3
True,,13,Barnfield Edible Hedgerow,Incredible Edible,fruits,hedgerow-fruit,51.578,-1.815,Specifically planted for foraging.,A community-maintained stretch of hedgerow with edible fruit and nuts.,8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,mixed-fruit,14,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin13,Barnfield Road,Swindon,Rodbourne,Wiltshire,SN2
True,,14,Tadpole Garden Village Orchard,Community Orchard,fruits,tree-fruits,51.608,-1.812,New community fruit space.,Young community orchard integrated into the new housing development parkland.,8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,apples,5,0,0,,,Autumn,,http://googleusercontent.com/maps.google.com/swin14,Tadpole Lane,Swindon,North Swindon,Wiltshire,SN25
True,,15,The Great Western Hospital Herbs,Incredible Edible,vegetables,street-planters,51.532,-1.745,Public health herb garden.,Raised planters near the hospital grounds featuring kitchen herbs for public use.,5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,6,0,0,,,Summer,,http://googleusercontent.com/maps.google.com/swin15,Marlborough Road,Swindon,South Swindon,Wiltshire,SN3
