approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Ironbridge Gorge Wild Garlic,Wild Foraging,vegetables,wild-greens,52.627,-2.487,Spectacular spring garlic in the gorge woodland.,"The steep wooded slopes of the Ironbridge Gorge are carpeted with wild garlic each spring, with the best picking along the riverside footpaths between Ironbridge and Coalbrookdale.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,gorge.garlic.steep,Spring,,https://www.openstreetmap.org/?mlat=52.627&mlon=-2.487#map=17/52.627/-2.487,Coalbrookdale Road,Ironbridge,Telford,Shropshire,TF8 7DT
True,,2,The Wrekin Bilberries,Wild Foraging,fruits,berries,52.679,-2.552,Moorland bilberries on the hillside.,"The open heathland of The Wrekin produces a reliable crop of bilberries (whortleberries) each summer, particularly on the upper south-facing slopes above Little Hill.",7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,bilberries,0,0,0,,hill.berry.heath,Summer,,https://www.openstreetmap.org/?mlat=52.679&mlon=-2.552#map=17/52.679/-2.552,Forest Glen Road,Little Wenlock,Telford,Shropshire,TF6 5BH
True,,3,Coalbrookdale Community Orchard,Community Orchard,fruits,tree-fruits,52.638,-2.491,Heritage fruit in the cradle of industry.,"A community orchard in the heart of Coalbrookdale featuring traditional Shropshire apple and pear varieties, maintained by local volunteers and open for public picking.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",0,0,0,,dale.orchard.coal,Autumn,,https://www.openstreetmap.org/?mlat=52.638&mlon=-2.491#map=17/52.638/-2.491,Paradise,Coalbrookdale,Telford,Shropshire,TF8 7NR
True,,4,Telford Town Park Blackberries,Wild Foraging,fruits,berries,52.676,-2.445,Brambles along the park's wild margins.,"The wilder hedgerow and scrub margins of Telford Town Park are lined with productive blackberry bushes, particularly along the paths towards Hollinswood and the ski slope.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,park.bramble.path,Summer,,https://www.openstreetmap.org/?mlat=52.676&mlon=-2.445#map=17/52.676/-2.445,Rampart Way,Hollinswood,Telford,Shropshire,TF3 4NF
True,,5,Wellington Community Orchard,Community Orchard,fruits,tree-fruits,52.703,-2.516,Town orchard with Shropshire varieties.,"A volunteer-managed community orchard on the edge of Wellington featuring local heritage apple, plum, and damson trees, open to the public throughout the autumn season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums, damsons",0,0,0,,well.orch.town,Autumn,,https://www.openstreetmap.org/?mlat=52.703&mlon=-2.516#map=17/52.703/-2.516,Mill Bank,Wellington,Telford,Shropshire,TF1 1LZ
True,,6,Incredible Edible Telford Town Centre Planters,Incredible Edible,vegetables,street-planters,52.677,-2.447,Urban food growing in the shopping heart.,"Community growing planters around the town centre precinct and Southwater area featuring herbs, salad leaves, and seasonal vegetables for all to help themselves.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, salad, kale",0,0,0,,grow.share.southwater,Summer,,https://www.openstreetmap.org/?mlat=52.677&mlon=-2.447#map=17/52.677/-2.447,Southwater Square,Telford Town Centre,Telford,Shropshire,TF3 4JZ
True,,7,Granville Country Park Sloes,Wild Foraging,fruits,hedgerow-fruit,52.697,-2.421,Blackthorn hedges on former pit land.,"The reclaimed colliery land of Granville Country Park is criss-crossed with blackthorn hedges, providing excellent sloe picking each October alongside hawthorn haws.",10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, haws",0,0,0,,sloe.pit.hedge,Autumn,,https://www.openstreetmap.org/?mlat=52.697&mlon=-2.421#map=17/52.697/-2.421,Station Road,Trench,Telford,Shropshire,TF2 7DX
True,,8,Buildwas Abbey Meadow Wild Greens,Wild Foraging,vegetables,wild-greens,52.641,-2.512,River meadow sorrel and watercress.,"The damp water meadows and stream margins around Buildwas Abbey support patches of wood sorrel and watermint, with riverside watercress accessible along the Severn bank.",4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, watermint",0,0,0,,abbey.meadow.green,Spring/Summer,,https://www.openstreetmap.org/?mlat=52.641&mlon=-2.512#map=17/52.641/-2.512,Abbey Road,Buildwas,Telford,Shropshire,TF8 7BW
True,,9,Madeley Wood Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.641,-2.433,Ancient hazel coppice above the gorge.,"Hazel trees in the semi-ancient woodland above Madeley and along the gorge escarpment produce reliable crops of nuts, best gathered before the squirrels beat you to them.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,0,0,0,,hazel.wood.madeley,Autumn,,https://www.openstreetmap.org/?mlat=52.641&mlon=-2.433#map=17/52.641/-2.433,Woodlands Road,Madeley,Telford,Shropshire,TF7 5HE
True,,10,Lightmoor Village Community Planters,Incredible Edible,vegetables,street-planters,52.658,-2.469,New community growing in an eco-village.,"Raised planters throughout the Lightmoor eco-village grow seasonal vegetables and edible herbs, tended by residents and open to the wider community.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",0,0,0,,eco.planter.light,Summer,,https://www.openstreetmap.org/?mlat=52.658&mlon=-2.469#map=17/52.658/-2.469,Lightmoor Village,Lightmoor,Telford,Shropshire,TF4 3QX
