approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Newcastle Community Orchard,Community Orchard,fruits,tree-fruits,54.982,-1.642,Located at Nuns Moor Park. A large community-managed orchard with heritage ...,Located at Nuns Moor Park. A large community-managed orchard with heritage apple and pear trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.982,-1.642",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE4 9RT
True,,2,Incredible Edible Newcastle,Urban Foraging,vegetables,street-planters,54.975,-1.605,"Community planters at the Ouseburn and Shieldfield with free herbs, vegetab...","Community planters at the Ouseburn and Shieldfield with free herbs, vegetables, and fruit bushes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.975,-1.605",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE1 2JW
True,,3,Tynemouth Coastal Path Foraging,Coastal Foraging,wild,coastal,55.018,-1.415,"Coastal cliffs offering sea beet, rock samphire, and wild radish along the ...","Coastal cliffs offering sea beet, rock samphire, and wild radish along the clifftops.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham055.018,-1.415",Tynemouth,Tynemouth,Tynemouth,Tyne and Wear,NE30 4BY
True,,4,Sunderland Community Orchard,Community Orchard,fruits,tree-fruits,54.895,-1.372,Located at Mowbray Park. Features traditional fruit trees for public harves...,Located at Mowbray Park. Features traditional fruit trees for public harvesting in late summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.895,-1.372",Sunderland,Sunderland,Sunderland,Tyne and Wear,SR2 7EE
True,,5,Incredible Edible Sunderland,Urban Foraging,vegetables,street-planters,54.905,-1.382,Public planters in the town center and Sunniside featuring free herbs and s...,Public planters in the town center and Sunniside featuring free herbs and seasonal greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.905,-1.382",Sunderland,Sunderland,Sunderland,Tyne and Wear,SR1 1PP
True,,6,Jesmond Dene Foraging,Woodland,nuts,woodland,54.992,-1.595,"Wooded valley known for hazelnuts, sweet chestnuts, and wild garlic in spri...","Wooded valley known for hazelnuts, sweet chestnuts, and wild garlic in spring.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.992,-1.595",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE7 7DA
True,,7,Gateshead Community Orchard,Community Orchard,fruits,tree-fruits,54.952,-1.602,Located at Saltwell Park. Historic orchard space with heritage northern app...,Located at Saltwell Park. Historic orchard space with heritage northern apple varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.952,-1.602",Gateshead,Gateshead,Gateshead,Tyne and Wear,NE8 4XW
True,,8,Incredible Edible Gateshead,Urban Foraging,vegetables,street-planters,54.962,-1.605,Community planters at the civic center and Trinity Square with free herbs a...,Community planters at the civic center and Trinity Square with free herbs and veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.962,-1.605",Gateshead,Gateshead,Gateshead,Tyne and Wear,NE8 1AF
True,,9,South Shields Coastal Path,Coastal Foraging,wild,coastal,54.988,-1.415,"Leas and coastal cliffs offering sea buckthorn (autumn), sea beet, and wild...","Leas and coastal cliffs offering sea buckthorn (autumn), sea beet, and wild mustard.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.988,-1.415",South Shields,South Shields,South Shields,Tyne and Wear,NE33 2LA
True,,10,Gosforth Central Park Orchard,Community Orchard,fruits,tree-fruits,55.002,-1.625,Small urban orchard space managed for local fruit harvesting.,Small urban orchard space managed for local fruit harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham055.002,-1.625",Newcastle,Newcastle,Newcastle,Tyne and Wear,NE3 1AA
True,,11,Hebburn Community Orchard,Community Orchard,fruits,tree-fruits,54.965,-1.512,Located at Hebburn Riverside Park. Features various fruit trees for public ...,Located at Hebburn Riverside Park. Features various fruit trees for public use.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham054.965,-1.512",Hebburn,Hebburn,Hebburn,Tyne and Wear,NE31 2SW
