approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Hay Head Wood Wild Garlic,Wild Foraging,vegetables,wild-greens,52.598,-1.941,Limestone woodland carpeted in spring garlic.,"The ancient semi-natural woodland at Hay Head Nature Reserve produces a magnificent display of wild garlic each spring, with the densest picking along the damp hollows near the old limestone workings.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,hay.wood.garlic,Spring,,https://www.openstreetmap.org/?mlat=52.598&mlon=-1.941#map=17/52.598/-1.941,Hay Head Lane,Rushall,Walsall,West Midlands,WS4 1LD
True,,2,Chasewater Country Park Bilberries,Wild Foraging,fruits,berries,52.665,-1.963,Heathland bilberries on the reservoir edge.,"The open heathland surrounding Chasewater reservoir supports a healthy population of bilberry plants, with the best picking on the southern and western heath margins in midsummer.",7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,bilberries,0,0,0,,chase.heath.berry,Summer,,https://www.openstreetmap.org/?mlat=52.665&mlon=-1.963#map=17/52.665/-1.963,Pool Road,Brownhills,Walsall,West Midlands,WS8 7NL
True,,3,Walsall Arboretum Blackberries,Wild Foraging,fruits,berries,52.585,-1.977,Victorian park bramble picking.,"The wilder hedgerow margins and shrubbery edges of Walsall Arboretum yield good quantities of blackberries each late summer, particularly along the northern boundary near the boating lake.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,arb.bramble.path,Summer,,https://www.openstreetmap.org/?mlat=52.585&mlon=-1.977#map=17/52.585/-1.977,Lichfield Street,Walsall,Town Centre,West Midlands,WS4 2DQ
True,,4,Barr Beacon Sloes and Rosehips,Wild Foraging,fruits,hedgerow-fruit,52.576,-1.932,Hilltop hedgerow harvest with panoramic views.,"The exposed hedgerows and scrubby field margins around Barr Beacon are laden with blackthorn sloes and dog rose hips each autumn, some of the best in the borough.",9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, rosehips",0,0,0,,beacon.sloe.hill,Autumn,,https://www.openstreetmap.org/?mlat=52.576&mlon=-1.932#map=17/52.576/-1.932,Beacon Road,Aldridge,Walsall,West Midlands,WS9 0LU
True,,5,Aldridge Community Orchard,Community Orchard,fruits,tree-fruits,52.607,-1.921,Local heritage varieties in the heart of Aldridge.,"A community-planted orchard near Aldridge town centre featuring traditional Midlands apple, pear, and plum varieties, maintained by volunteers and open for public picking throughout autumn.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, plums",0,0,0,,orch.aldridge.share,Autumn,,https://www.openstreetmap.org/?mlat=52.607&mlon=-1.921#map=17/52.607/-1.921,Rookery Lane,Aldridge,Walsall,West Midlands,WS9 8NN
True,,6,Incredible Edible Walsall Town Centre Planters,Incredible Edible,vegetables,street-planters,52.586,-1.983,Edible street planters in the town centre.,"Community growing planters located around the town centre and St Matthew's Quarter featuring culinary herbs, kale, and salad leaves for passers-by to pick freely.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale, salad",0,0,0,,grow.share.walsall,Summer,,https://www.openstreetmap.org/?mlat=52.586&mlon=-1.983#map=17/52.586/-1.983,Park Street,Walsall,Town Centre,West Midlands,WS1 1NP
True,,7,Pelsall Common Blackberries and Elder,Wild Foraging,fruits,berries,52.626,-1.968,Open common with productive scrub margins.,"The bracken and scrub edges of Pelsall Common provide good late summer blackberrying and elderberry picking, with well-worn footpaths making the common easy to explore.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, elder",0,0,0,,common.pelsall.scrub,Summer/Autumn,,https://www.openstreetmap.org/?mlat=52.626&mlon=-1.968#map=17/52.626/-1.968,Common Road,Pelsall,Walsall,West Midlands,WS3 4AJ
True,,8,Shire Oak Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.644,-1.936,Ancient hedgerow nuts near the old park.,"Hazel bushes in the mature hedgerows and woodland remnants around Shire Oak Park produce a reliable nut crop each autumn, best gathered on dry September mornings.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,0,0,0,,hazel.oak.shire,Autumn,,https://www.openstreetmap.org/?mlat=52.644&mlon=-1.936#map=17/52.644/-1.936,Shire Oak Road,Brownhills,Walsall,West Midlands,WS8 7GE
True,,9,Rushall Canal Corridor Elderflower and Berries,Wild Foraging,fruits,berries,52.601,-1.958,Canal-side elder along the towpath.,"Elder bushes are abundant along the Rushall Canal towpath, offering elderflower for cordial in early summer and heavy elderberry clusters by September.",6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,0,0,0,,canal.elder.rushall,Summer/Autumn,,https://www.openstreetmap.org/?mlat=52.601&mlon=-1.958#map=17/52.601/-1.958,Daw End Lane,Rushall,Walsall,West Midlands,WS4 1HY
True,,10,Bloxwich Park Wild Plums and Damsons,Wild Foraging,fruits,tree-fruits,52.614,-2.005,Hedgerow tree fruits in north Walsall.,"Wild plum and damson trees grow in the hedgerows and rough ground bordering Bloxwich Park and the surrounding estate lanes — a traditional Black Country hedgerow find.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, damsons",0,0,0,,plum.hedge.bloxwich,Autumn,,https://www.openstreetmap.org/?mlat=52.614&mlon=-2.005#map=17/52.614/-2.005,Bloxwich Lane,Bloxwich,Walsall,West Midlands,WS3 3JL
True,,11,Clayhanger Wetlands Wild Greens,Wild Foraging,vegetables,wild-greens,52.656,-1.948,Wetland margins rich in edible greens.,"The reed-fringed wetland margins of Clayhanger SSSI support watermint, wild sorrel, and patches of water pepper along the boardwalk edges throughout the growing season.",5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"watermint, sorrel",0,0,0,,wetland.mint.clay,Spring/Summer,,https://www.openstreetmap.org/?mlat=52.656&mlon=-1.948#map=17/52.656/-1.948,Clayhanger Lane,Clayhanger,Walsall,West Midlands,WS8 7BN
True,,12,Brownhills Common Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,52.649,-1.936,Mature chestnuts on the common edge.,"A row of mature sweet chestnut trees on the wooded boundary of Brownhills Common produces a generous crop of nuts each October, easily gathered from the ground after the first frosts.",10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,0,0,0,,chest.common.browns,Autumn,,https://www.openstreetmap.org/?mlat=52.649&mlon=-1.936#map=17/52.649/-1.936,Brownhills Common,Brownhills,Walsall,West Midlands,WS8 7BB
True,,13,Darlaston Community Growing Planters,Incredible Edible,vegetables,street-planters,52.570,-2.020,Neighbourhood edible planters in Darlaston.,"Raised community planters near the town centre and local shops grow seasonal herbs and vegetables, maintained by local residents and free for the community to harvest.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",0,0,0,,plant.grow.darlaston,Summer,,https://www.openstreetmap.org/?mlat=52.570&mlon=-2.020#map=17/52.570/-2.020,King Street,Darlaston,Walsall,West Midlands,WS10 8DE
True,,14,Streetly Wood Wild Garlic,Wild Foraging,vegetables,wild-greens,52.572,-1.893,Ancient woodland garlic on the Sutton border.,"The semi-ancient broadleaf woodland of Streetly Wood on the Walsall and Sutton Coldfield boundary is carpeted with wild garlic in spring, with some of the most accessible picking off the main woodland trails.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,wood.garlic.streetly,Spring,,https://www.openstreetmap.org/?mlat=52.572&mlon=-1.893#map=17/52.572/-1.893,Foley Road East,Streetly,Walsall,West Midlands,WS9 0LJ
True,,15,Willenhall Memorial Park Rosehips and Haws,Wild Foraging,fruits,hedgerow-fruit,52.579,-2.061,Classic park hedgerow harvest.,"The boundary hedgerows of Willenhall Memorial Park are rich with dog rose and hawthorn, giving a reliable autumn crop of rosehips and haws ideal for making syrups, jellies, and hedgerow gin.",9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",0,0,0,,rose.park.will,Autumn,,https://www.openstreetmap.org/?mlat=52.579&mlon=-2.061#map=17/52.579/-2.061,Gomer Street,Willenhall,Walsall,West Midlands,WV13 1HS
