approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Warwick Community Orchard,Community Orchard,fruits,tree-fruits,52.285,-1.585,Located at St Nicholas Park. Features local Warwickshire apple varieties li...,Located at St Nicholas Park. Features local Warwickshire apple varieties like 'Wyken Pippin' and 'Shakespeare'.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.285,-1.585",Warwick,Warwick,Warwick,Warwickshire,CV34 4TT
True,,2,Incredible Edible Leamington,Urban Foraging,vegetables,street-planters,52.288,-1.535,Public planters near the library and town center with free-to-pick herbs an...,Public planters near the library and town center with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.288,-1.535",Leamington Spa,Leamington Spa,Leamington Spa,Warwickshire,CV31 3NF
True,,3,Ryton Pools Foraging,Public Park,wild,mixed-forage,52.365,-1.445,"Lakeside and woodland paths with abundant blackberries, elderberries, and s...","Lakeside and woodland paths with abundant blackberries, elderberries, and sloes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.365,-1.445",Bubbenhall,Bubbenhall,Bubbenhall,Warwickshire,CV8 3BH
True,,4,Stratford-upon-Avon Community Orchard,Community Orchard,fruits,tree-fruits,52.192,-1.708,Located at Rowley Fields. Managed for the community with various heritage f...,Located at Rowley Fields. Managed for the community with various heritage fruit trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.192,-1.708",Stratford-upon-Avon,Stratford-upon-Avon,Stratford-upon-Avon,Warwickshire,CV37 6BB
True,,5,Nuneaton Incredible Edible,Urban Foraging,vegetables,street-planters,52.522,-1.468,Community planters at Riversley Park and town center with free herbs and gr...,Community planters at Riversley Park and town center with free herbs and greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.522,-1.468",Nuneaton,Nuneaton,Nuneaton,Warwickshire,CV11 5TZ
True,,6,Crackley Woods Foraging,Woodland,nuts,woodland,52.362,-1.565,"Ancient woodland known for sweet chestnuts, hazelnuts, and wild garlic in s...","Ancient woodland known for sweet chestnuts, hazelnuts, and wild garlic in spring.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.362,-1.565",Kenilworth,Kenilworth,Kenilworth,Warwickshire,CV8 2JS
True,,7,Rugby Community Orchard,Community Orchard,fruits,tree-fruits,52.372,-1.262,Located at Caldecott Park. Features traditional fruit trees open for public...,Located at Caldecott Park. Features traditional fruit trees open for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.372,-1.262",Rugby,Rugby,Rugby,Warwickshire,CV21 3AW
True,,8,Foundry Wood,Community Garden,wild,mixed-forage,52.285,-1.542,Community-led urban woodland with edible berry bushes and fruit trees.,Community-led urban woodland with edible berry bushes and fruit trees.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.285,-1.542",Leamington Spa,Leamington Spa,Leamington Spa,Warwickshire,CV31 2AF
True,,9,Kenilworth Common Edges,Nature Reserve,wild,mixed-forage,52.352,-1.575,"Boundary paths with wild fruit, elderflowers, and autumn berries.","Boundary paths with wild fruit, elderflowers, and autumn berries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.352,-1.575",Kenilworth,Kenilworth,Kenilworth,Warwickshire,CV8 1NP
True,,10,River Avon Banks (Warwick),Public Footpath,wild,river-forage,52.282,-1.578,"Riverside paths with wild mint, elderberries, and blackberries.","Riverside paths with wild mint, elderberries, and blackberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.282,-1.578",Warwick,Warwick,Warwick,Warwickshire,CV34 4QY
True,,11,Alcester Community Orchard,Community Orchard,fruits,tree-fruits,52.215,-1.868,Small orchard space near the recreation ground with local fruit varieties.,Small orchard space near the recreation ground with local fruit varieties.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.215,-1.868",Alcester,Alcester,Alcester,Warwickshire,B49 5AE
True,,12,Burton Dassett Hills,Public Park,wild,mixed-forage,52.175,-1.428,High slopes with wild raspberries and blackberries on scrub edges.,High slopes with wild raspberries and blackberries on scrub edges.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.175,-1.428",Southam,Southam,Southam,Warwickshire,CV47 2AB
