approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Cassiobury Park Community Orchard,Community Orchard,fruits,tree-fruits,51.66,-0.418,A well-maintained community orchard within Cassiobury Park featuring tradit...,A well-maintained community orchard within Cassiobury Park featuring traditional apple and pear varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.66,-0.418",Watford,Watford,Watford,Hertfordshire,WD18 7HY
True,,2,Whippendell Wood Foraging,Woodland,wild,woodland,51.668,-0.448,"Ancient woodland offering sweet chestnuts, hazelnuts, and wild berries alon...","Ancient woodland offering sweet chestnuts, hazelnuts, and wild berries along the peripheral paths.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.668,-0.448",Watford,Watford,Watford,Hertfordshire,WD17 3TX
True,,3,Incredible Edible Watford (High St),Urban Foraging,vegetables,street-planters,51.656,-0.395,Community planters located along the High Street featuring free-to-pick cul...,Community planters located along the High Street featuring free-to-pick culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.656,-0.395",Watford,Watford,Watford,Hertfordshire,WD17 2EN
True,,4,Oxhey Park Riverside Foraging,Public Path,wild,river-forage,51.645,-0.395,"Riverside paths along the River Colne offering wild mint, wild garlic in sp...","Riverside paths along the River Colne offering wild mint, wild garlic in spring, and plenty of brambles.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.645,-0.395",Watford,Watford,Watford,Hertfordshire,WD19 4LS
True,,5,Grand Union Canal (Watford Arm),Public Path,wild,hedgerow,51.655,-0.422,"Towpath edges offering abundant blackberries, sloes, and rosehips during th...","Towpath edges offering abundant blackberries, sloes, and rosehips during the autumn months.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.655,-0.422",Watford,Watford,Watford,Hertfordshire,WD18 8SW
True,,6,Woodside Park Edible Edges,Public Park,wild,mixed-forage,51.701,-0.398,Boundary paths with fruit bushes and elder trees integrated into the landsc...,Boundary paths with fruit bushes and elder trees integrated into the landscaping.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.701,-0.398",Watford,Watford,Watford,Hertfordshire,WD25 7JZ
True,,7,Garston Park Wild Garlic,Public Park,wild,mixed-forage,51.695,-0.375,Wooded sections of the park known for wild garlic in spring and elderberrie...,Wooded sections of the park known for wild garlic in spring and elderberries in summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.695,-0.375",Watford,Watford,Watford,Hertfordshire,WD25 9QL
True,,8,Incredible Edible Watford (St Albans Rd),Urban Foraging,vegetables,street-planters,51.665,-0.395,Raised beds and planters near local shops featuring culinary herbs like ros...,Raised beds and planters near local shops featuring culinary herbs like rosemary and thyme.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.665,-0.395",Watford,Watford,Watford,Hertfordshire,WD24 5BB
True,,9,Ebury Way Linear Foraging,Public Path,wild,mixed-forage,51.648,-0.412,Former railway line turned trail with extensive hedgerows for blackberry an...,Former railway line turned trail with extensive hedgerows for blackberry and sloe picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.648,-0.412",Watford,Watford,Watford,Hertfordshire,WD18 0BW
True,,10,Merry Hill (Woodland Trust),Woodland,wild,mixed-forage,51.635,-0.355,"Community woodland and open fields with hazelnuts, blackberries, and wild c...","Community woodland and open fields with hazelnuts, blackberries, and wild cherries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.635,-0.355",Bushey,Bushey,Bushey,Hertfordshire,WD23 1ST
