approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Birmingham Community Orchard,Community Orchard,fruits,tree-fruits,52.435,-1.885,"Located at Highbury Park. An extensive orchard with apple, pear, and plum v...","Located at Highbury Park. An extensive orchard with apple, pear, and plum varieties managed by the Friends of Highbury Park.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.435,-1.885",Birmingham,Birmingham,Birmingham,West Midlands,B13 8QS
True,,2,Incredible Edible Birmingham,Urban Foraging,vegetables,street-planters,52.482,-1.895,Public planters in the Jewellery Quarter and city center with free-to-pick ...,Public planters in the Jewellery Quarter and city center with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.482,-1.895",Birmingham,Birmingham,Birmingham,West Midlands,B1 1BB
True,,3,Sutton Park Foraging,Nature Reserve,wild,mixed-forage,52.565,-1.845,"One of Europe's largest urban parks. Offers wild bilberries (autumn), black...","One of Europe's largest urban parks. Offers wild bilberries (autumn), blackberries, and elderberries.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.565,-1.845",Sutton Coldfield,Sutton Coldfield,Sutton Coldfield,West Midlands,B74 2YT
True,,4,Wolverhampton Community Orchard,Community Orchard,fruits,tree-fruits,52.585,-2.125,Located at West Park. Features heritage fruit trees open for public harvest...,Located at West Park. Features heritage fruit trees open for public harvesting in late summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.585,-2.125",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 4QU
True,,5,Incredible Edible Coventry,Urban Foraging,vegetables,street-planters,52.408,-1.512,Community planters at the Herbert Art Gallery and city center featuring her...,Community planters at the Herbert Art Gallery and city center featuring herbs and edible perennials.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.408,-1.512",Coventry,Coventry,Coventry,West Midlands,CV1 1DL
True,,6,Sandwell Valley Foraging,Public Park,wild,hedgerow,52.525,-1.975,"Lakeside and woodland paths with abundant blackberries, elderberries, and h...","Lakeside and woodland paths with abundant blackberries, elderberries, and hazelnuts.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.525,-1.975",West Bromwich,West Bromwich,West Bromwich,West Midlands,B71 4BG
True,,7,Solihull Community Orchard,Community Orchard,fruits,tree-fruits,52.412,-1.775,Located at Malvern Park. Managed for the community with various fruit trees...,Located at Malvern Park. Managed for the community with various fruit trees and berries.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.412,-1.775",Solihull,Solihull,Solihull,West Midlands,B91 3LU
True,,8,Incredible Edible Walsall,Urban Foraging,vegetables,street-planters,52.582,-1.978,Public planters near the Art Gallery and town center with free-to-pick herb...,Public planters near the Art Gallery and town center with free-to-pick herbs and greens.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.582,-1.978",Walsall,Walsall,Walsall,West Midlands,WS1 1TQ
True,,9,Dudley Community Orchard,Community Orchard,fruits,tree-fruits,52.515,-2.085,Located at Priory Park. Traditional fruit trees managed for the public to h...,Located at Priory Park. Traditional fruit trees managed for the public to harvest.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.515,-2.085",Dudley,Dudley,Dudley,West Midlands,DY1 4AL
True,,10,Baddesley Clinton Edges,Public Path,wild,woodland,52.342,-1.715,Boundary paths offering sweet chestnuts and wild garlic in spring.,Boundary paths offering sweet chestnuts and wild garlic in spring.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.342,-1.715",Knowle,Knowle,Knowle,West Midlands,B93 0DQ
