approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Bury St Edmunds Community Orchard,Community Orchard,fruits,tree-fruits,52.242,0.725,Bury St Edmunds Community Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Bury St Edmunds,Bury St Edmunds,Bury St Edmunds,West Suffolk,IP33 3ST
TRUE,,2,Abbey Gardens Edible Borders,Community Garden,herbs,urban-growing,52.245,0.718,Abbey Gardens Edible Borders in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Bury St Edmunds,Bury St Edmunds,Bury St Edmunds,West Suffolk,IP33 1XL
TRUE,,3,Incredible Edible Haverhill (Planters),Incredible Edible,vegetables,urban-growing,52.082,0.442,Incredible Edible Haverhill (Planters) in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west suffolk, foraging, community",0,0,0,,,Summer,,,Haverhill,Haverhill,Haverhill,West Suffolk,CB9 8BB
TRUE,,4,Newmarket Community Orchard,Community Orchard,fruits,tree-fruits,52.245,0.402,Newmarket Community Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Newmarket,Newmarket,Newmarket,West Suffolk,CB8 8JR
TRUE,,5,Sudbury Pocket Orchard,Community Orchard,fruits,tree-fruits,52.038,0.732,Sudbury Pocket Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Sudbury,Sudbury,Sudbury,West Suffolk,CO10 1BD
TRUE,,6,Brandon Country Park Orchard,Community Orchard,fruits,tree-fruits,52.435,0.625,Brandon Country Park Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Brandon,Brandon,Brandon,West Suffolk,IP27 0JJ
TRUE,,7,Mildenhall Edible Walkway,Incredible Edible,fruits,urban-growing,52.342,0.512,Mildenhall Edible Walkway in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west suffolk, foraging, community",0,0,0,,,Summer,,,Mildenhall,Mildenhall,Mildenhall,West Suffolk,IP28 7EF
TRUE,,8,Lakenheath Community Garden,Community Garden,vegetables,urban-growing,52.418,0.522,Lakenheath Community Garden in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Lakenheath,Lakenheath,Lakenheath,West Suffolk,IP27 9DS
TRUE,,9,Clare Castle Country Park Orchard,Community Orchard,fruits,tree-fruits,52.078,0.582,Clare Castle Country Park Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Clare,Clare,Clare,West Suffolk,CO10 8NW
TRUE,,10,Glemsford Community Orchard,Community Orchard,fruits,tree-fruits,52.105,0.675,Glemsford Community Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Glemsford,Glemsford,Glemsford,West Suffolk,CO10 7RF
TRUE,,11,Ixworth Edible Planters,Incredible Edible,herbs,urban-growing,52.298,0.825,Ixworth Edible Planters in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west suffolk, foraging, community",0,0,0,,,Summer,,,Ixworth,Ixworth,Ixworth,West Suffolk,IP31 2HJ
TRUE,,12,Red Lodge Edible Boundary,Foraging,fruits,hedgerow,52.305,0.485,Red Lodge Edible Boundary in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Red Lodge,Red Lodge,Red Lodge,West Suffolk,IP28 8GL
TRUE,,13,Great Barton Orchard,Community Orchard,fruits,tree-fruits,52.268,0.785,Great Barton Orchard in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Great Barton,Great Barton,Great Barton,West Suffolk,IP31 2QR
TRUE,,14,Wickhambrook Community Garden,Community Garden,fruits,mixed-produce,52.175,0.555,Wickhambrook Community Garden in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Wickhambrook,Wickhambrook,Wickhambrook,West Suffolk,CB8 8XR
TRUE,,15,Kedington Edible Hedge,Foraging,fruits,hedgerow,52.095,0.485,Kedington Edible Hedge in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Kedington,Kedington,Kedington,West Suffolk,CB9 7NG
TRUE,,16,Stowmarket Orchard (West Edge),Community Orchard,fruits,tree-fruits,52.188,0.998,Stowmarket Orchard (West Edge) in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Stowmarket,Stowmarket,Stowmarket,West Suffolk,IP14 1NL
TRUE,,17,Woolpit Community Garden,Community Garden,vegetables,urban-growing,52.222,0.885,Woolpit Community Garden in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Woolpit,Woolpit,Woolpit,West Suffolk,IP30 9QH
TRUE,,18,Honington Community Trees,Community Orchard,fruits,tree-fruits,52.335,0.785,Honington Community Trees in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Honington,Honington,Honington,West Suffolk,IP31 1NP
TRUE,,19,River Lark Path (Sloes),Foraging,fruits,riverbank,52.322,0.525,River Lark Path (Sloes) in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Mildenhall,Mildenhall,Mildenhall,West Suffolk,IP28 7DT
TRUE,,20,Lakenheath Fen Greens,Foraging,vegetables,wetland,52.445,0.535,Lakenheath Fen Greens in West Suffolk.,"A location in West Suffolk for community growing or wild foraging, from Brecks heathland to ancient woodland.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west suffolk, foraging, community",0,0,0,,,Summer/Autumn,,,Lakenheath,Lakenheath,Lakenheath,West Suffolk,IP27 9AD
