approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Oaklands Park Community Orchard,Community Orchard,fruits,tree-fruits,50.8378,-0.7798,First modern community orchard in Chichester.,"Historic community orchard behind Chichester Festival Theatre, planted in 2011. Features rare Sussex apple varieties, heritage pears and plums. First modern community orchard in Chichester.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"foraging, community, orchard, heritage, theatre",0,0,0,,,7;8;9,,https://oaklandsorchard.org.uk,R6QC+86 Chichester,Behind Chichester Festival Theatre,Chichester,West Sussex,PO19 6AP
True,,2,Ladybrook Orchard,Community Orchard,fruits,hedgerow,50.7842,-0.6735,Hidden community orchard with rare Sussex varieties.,"Community orchard featuring Sussex apple varieties, pears, quinces, medlars and blackberries. Maintained by Really Wild Bognor group. Hidden gem for foragers.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"foraging, community, orchard, rare, quinces",0,0,0,,,7;8;9,,https://reallywildbognor.org.uk,Q8MM+8H Bognor Regis,Ladybrook Lane,Bognor Regis,West Sussex,PO21 2PU
True,,3,Lancing Beach,Coastal Foraging,vegetables,leafy-greens,50.8278,-0.3189,Sea vegetables and coastal foraging.,"Excellent coastal foraging location for sea kale, sea beets, rock samphire and wild rocket. Check tide times before visiting.",,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=512&q=80,"foraging, coastal, wild, sea-vegetables",0,0,0,,,3;4;5;6;7;8,,https://www.adur-worthing.gov.uk/beaches/lancing/,R8HJ+X2 Lancing,Lancing Beach,Lancing,West Sussex,BN15 8AN
True,,4,South Downs National Park,Hedgerow Foraging,fruits,hedgerow,50.92,-0.7,Extensive hedgerow network across the National Park.,"Multiple hedgerow foraging locations throughout South Downs National Park. Find blackberries, sloes, elderberries, rose hips, hawthorn berries and hazelnuts. Follow the foraging code of conduct.",,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=512&q=80,"foraging, hedgerow, national-park, sustainable",0,0,0,,,7;8;9,,https://www.southdowns.gov.uk,W8C2+00 West Sussex,Various locations,Multiple,West Sussex & East Sussex,
True,,5,Roundstone Farm,Pick-Your-Own,fruits,berries,50.8234,-0.4856,Large PYO farm with tractor-train service.,"Extensive pick-your-own farm with strawberries, raspberries, blackberries, gooseberries, plums, vegetables and pumpkins. Tractor-train rides available. Open 9am-5pm.",,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=512&q=80,"pyo, farm, family, pumpkins, tractor",0,0,0,,,4;5;6;7;8;9,,https://www.roundstonefarm.co.uk,R9F7+JM Angmering,Littlehampton Road,Angmering,West Sussex,BN16 4BE
True,,6,Spring Gardens Nursery,Pick-Your-Own,fruits,berries,50.9123,-0.4567,All-year venue with cafe and farm shop.,"Pick-your-own strawberries, raspberries, apples and vegetables. Year-round venue with cafe and comprehensive farm shop.",,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=512&q=80,"pyo, farm, cafe, all-year, farm-shop",0,0,0,,,5;6;7;8;9,,https://www.springgardensnursery.co.uk,W866+HF Pulborough,Washington,Pulborough,West Sussex,RH20 3BS
True,,7,Grange Farm,Pick-Your-Own,fruits,tree-fruits,50.8456,-0.8234,Farm shop open Monday-Saturday.,"Pick-your-own apples, pears, plums, strawberries, rhubarb, currants and gooseberries. Farm shop open Monday-Saturday 9am-5pm.",,https://images.unsplash.com/photo-1570913149827-d2ac84ab3f9a?w=512&q=80,"pyo, farm, farm-shop, rhubarb",0,0,0,,,4;5;6;7;8;9,,https://www.grangefarmfuntington.co.uk,R5WG+JP Chichester,Funtington,Chichester,West Sussex,PO18 9LN
True,,8,Ditchling Common,Woodland Foraging,fruits,berries,50.9345,-0.1234,Common land with bilberries.,"Common land offering bilberries, wild mushrooms, chestnuts and blackberries. Traditional foraging rights on common land.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, common-land, bilberries, mushrooms, chestnuts",0,0,0,,,6;7;8;9,,https://www.sussexwildlifetrust.org.uk,W5MG+V8 Burgess Hill,Folders Lane,Burgess Hill,West Sussex,BN6 8TP
True,,9,Cissbury Ring,Hedgerow Foraging,fruits,hedgerow,50.8578,-0.4089,Iron Age hill fort with surrounding hedgerows.,"Impressive Iron Age hill fort surrounded by hedgerows rich in blackberries, sloes, elderberries, hawthorn berries and crab apples.",,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=512&q=80,"foraging, hedgerow, iron-age, historic, hill-fort",0,0,0,,,7;8;9,,https://www.nationaltrust.org.uk/cissbury-ring,V95R+H2 Worthing,Findon,Worthing,West Sussex,BN14 0SQ
True,,10,Woods Mill Nature Reserve,Woodland Foraging,herbs,culinary-herbs,50.9234,-0.2567,Sussex Wildlife Trust site.,"Sussex Wildlife Trust nature reserve with wild garlic, nettles, elderflower, blackberries and hazelnuts. Sustainable foraging only in designated areas.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, woodland, nature-reserve, wild-garlic, sustainable",0,0,0,,,2;3;4;5;6;7;8;9,,https://www.sussexwildlifetrust.org.uk/woodsmill,W7FV+M2 Henfield,Henfield,West Sussex,BN5 9SD,
