approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Incredible Edible Todmorden (Health Centre),Incredible Edible,vegetables,urban-growing,53.715,-2.095,Incredible Edible Todmorden (Health Centre) in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west yorkshire, foraging, sustainable",0,0,0,,,Summer,,,Todmorden,Todmorden,Todmorden,West Yorkshire,OL14 5RN
TRUE,,2,Incredible Edible Todmorden (Station Planters),Incredible Edible,fruits,urban-growing,53.712,-2.092,Incredible Edible Todmorden (Station Planters) in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west yorkshire, foraging, sustainable",0,0,0,,,Summer,,,Todmorden,Todmorden,Todmorden,West Yorkshire,OL14 7AF
TRUE,,3,Kirkstall Valley Farm Edible Beds,Community Garden,vegetables,urban-growing,53.812,-1.595,Kirkstall Valley Farm Edible Beds in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Leeds,Leeds,Leeds,West Yorkshire,LS4 2DQ
TRUE,,4,Heeley Road Community Orchard,Community Orchard,fruits,tree-fruits,53.718,-1.352,Heeley Road Community Orchard in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Castleford,Castleford,Castleford,West Yorkshire,WF10 5SF
TRUE,,5,Bedford Field Community Orchard,Community Orchard,fruits,tree-fruits,53.818,-1.562,Bedford Field Community Orchard in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Leeds,Leeds,Leeds,West Yorkshire,LS6 2BX
TRUE,,6,Fruitful Leeds Community Orchard,Community Orchard,fruits,tree-fruits,53.825,-1.525,Fruitful Leeds Community Orchard in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Leeds,Leeds,Leeds,West Yorkshire,LS8 2JL
TRUE,,7,Spen Valley Greenway Edible Hedge,Foraging,fruits,hedgerow,53.725,-1.725,Spen Valley Greenway Edible Hedge in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Cleckheaton,Cleckheaton,Cleckheaton,West Yorkshire,BD19 3AF
TRUE,,8,Incredible Edible Brighouse Planters,Incredible Edible,herbs,urban-growing,53.702,-1.782,Incredible Edible Brighouse Planters in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west yorkshire, foraging, sustainable",0,0,0,,,Summer,,,Brighouse,Brighouse,Brighouse,West Yorkshire,HD6 1RW
TRUE,,9,Huddersfield Station Edible Pots,Incredible Edible,herbs,urban-growing,53.648,-1.785,Huddersfield Station Edible Pots in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west yorkshire, foraging, sustainable",0,0,0,,,Summer,,,Huddersfield,Huddersfield,Huddersfield,West Yorkshire,HD1 1JB
TRUE,,10,Meanwood Valley Farm Orchard,Community Orchard,fruits,tree-fruits,53.822,-1.552,Meanwood Valley Farm Orchard in West Yorkshire.,"A location in West Yorkshire for community growing or wild foraging, from the birthplace of Incredible Edible to the Pennine moors.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west yorkshire, foraging, sustainable",0,0,0,,,Summer/Autumn,,,Leeds,Leeds,Leeds,West Yorkshire,LS7 2LG
