approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Salisbury Community Orchard,Community Orchard,fruits,tree-fruits,51.072,-1.805,Salisbury Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Salisbury,Salisbury,Salisbury,Wiltshire,SP2 7BD
TRUE,,2,Trowbridge Town Edible Planters,Incredible Edible,vegetables,urban-growing,51.321,-2.208,Trowbridge Town Edible Planters in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, wiltshire, foraging, community",0,0,0,,,Summer,,,Trowbridge,Trowbridge,Trowbridge,Wiltshire,BA14 8EH
TRUE,,3,Chippenham Community Orchard,Community Orchard,fruits,tree-fruits,51.458,-2.115,Chippenham Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Chippenham,Chippenham,Chippenham,Wiltshire,SN15 3RR
TRUE,,4,Incredible Edible Swindon (Twigs),Incredible Edible,herbs,urban-growing,51.565,-1.815,Incredible Edible Swindon (Twigs) in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, wiltshire, foraging, community",0,0,0,,,Summer,,,Swindon,Swindon,Swindon,Wiltshire,SN2 2QJ
TRUE,,5,Devizes Community Orchard,Community Orchard,fruits,tree-fruits,51.352,-1.995,Devizes Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Devizes,Devizes,Devizes,Wiltshire,SN10 1BJ
TRUE,,6,Bradford on Avon Community Orchard,Community Orchard,fruits,tree-fruits,51.345,-2.251,Bradford on Avon Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Bradford on Avon,Bradford on Avon,Bradford on Avon,Wiltshire,BA15 1LF
TRUE,,7,Marlborough Edible Trail,Incredible Edible,fruits,urban-growing,51.418,-1.732,Marlborough Edible Trail in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, wiltshire, foraging, community",0,0,0,,,Summer,,,Marlborough,Marlborough,Marlborough,Wiltshire,SN8 1AA
TRUE,,8,Warminster Community Garden,Community Garden,vegetables,urban-growing,51.205,-2.182,Warminster Community Garden in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Warminster,Warminster,Warminster,Wiltshire,BA12 9BT
TRUE,,9,Melksham Community Orchard,Community Orchard,fruits,tree-fruits,51.372,-2.135,Melksham Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Melksham,Melksham,Melksham,Wiltshire,SN12 7ED
TRUE,,10,Cricklade Community Orchard,Community Orchard,fruits,tree-fruits,51.642,-1.855,Cricklade Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Cricklade,Cricklade,Cricklade,Wiltshire,SN6 6EE
TRUE,,11,Amesbury Community Allotment Plot,Community Garden,vegetables,urban-growing,51.175,-1.782,Amesbury Community Allotment Plot in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Amesbury,Amesbury,Amesbury,Wiltshire,SP4 7HL
TRUE,,12,Corsham Edible Planters,Incredible Edible,herbs,urban-growing,51.432,-2.185,Corsham Edible Planters in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, wiltshire, foraging, community",0,0,0,,,Summer,,,Corsham,Corsham,Corsham,Wiltshire,SN13 0EZ
TRUE,,13,Westbury Community Orchard,Community Orchard,fruits,tree-fruits,51.261,-2.188,Westbury Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Westbury,Westbury,Westbury,Wiltshire,BA13 3HU
TRUE,,14,Royal Wootton Bassett Orchard,Community Orchard,fruits,tree-fruits,51.542,-1.902,Royal Wootton Bassett Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Royal Wootton Bassett,Royal Wootton Bassett,Royal Wootton Bassett,Wiltshire,SN4 7AU
TRUE,,15,Tisbury Community Garden,Community Garden,fruits,mixed-produce,51.062,-2.085,Tisbury Community Garden in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Tisbury,Tisbury,Tisbury,Wiltshire,SP3 6LD
TRUE,,16,Malmesbury Fruit Trees,Community Orchard,fruits,tree-fruits,51.585,-2.101,Malmesbury Fruit Trees in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Malmesbury,Malmesbury,Malmesbury,Wiltshire,SN16 9BZ
TRUE,,17,Calne Community Orchard,Community Orchard,fruits,tree-fruits,51.435,-2.002,Calne Community Orchard in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Calne,Calne,Calne,Wiltshire,SN11 0JJ
TRUE,,18,Ludgershall Community Garden,Community Garden,vegetables,urban-growing,51.258,-1.625,Ludgershall Community Garden in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Ludgershall,Ludgershall,Ludgershall,Wiltshire,SP11 9PG
TRUE,,19,Kennet & Avon Canal (Sloes),Foraging,fruits,hedgerow,51.352,-2.015,Kennet & Avon Canal (Sloes) in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Devizes,Devizes,Devizes,Wiltshire,SN10 1QR
TRUE,,20,River Avon Path Wild Garlic,Foraging,herbs,riverbank,51.341,-2.255,River Avon Path Wild Garlic in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Spring,,,Bradford on Avon,Bradford on Avon,Bradford on Avon,Wiltshire,BA15 1BS
TRUE,,21,Salisbury Water Meadows Greens,Foraging,vegetables,meadow,51.065,-1.802,Salisbury Water Meadows Greens in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Salisbury,Salisbury,Salisbury,Wiltshire,SP2 8PJ
TRUE,,22,River Wylye Path Berries,Foraging,fruits,riverbank,51.125,-1.985,River Wylye Path Berries in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Wylye,Wylye,Wylye,Wiltshire,BA12 0PQ
TRUE,,23,North Meadow Cricklade Greens,Foraging,vegetables,meadow,51.648,-1.855,North Meadow Cricklade Greens in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Cricklade,Cricklade,Cricklade,Wiltshire,SN6 6DQ
TRUE,,24,River Nadder Elderflower,Foraging,flowers,riverbank,51.072,-1.835,River Nadder Elderflower in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Salisbury,Salisbury,Salisbury,Wiltshire,SP2 7XW
TRUE,,25,Wilts & Berks Canal Berries,Foraging,fruits,hedgerow,51.525,-1.925,Wilts & Berks Canal Berries in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Wootton Bassett,Wootton Bassett,Wootton Bassett,Wiltshire,SN4 8QR
TRUE,,26,Langford Lakes Foraging,Foraging,fruits,wetland,51.135,-1.945,Langford Lakes Foraging in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Steeple Langford,Steeple Langford,Steeple Langford,Wiltshire,SP3 4NH
TRUE,,27,Coate Water Elderberries,Foraging,fruits,wetland,51.542,-1.745,Coate Water Elderberries in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Swindon,Swindon,Swindon,Wiltshire,SN3 6AA
TRUE,,28,River Bourne Path Sloes,Foraging,fruits,riverbank,51.085,-1.775,River Bourne Path Sloes in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Salisbury,Salisbury,Salisbury,Wiltshire,SP1 3RR
TRUE,,29,Pewsey Wharf Canal Foraging,Foraging,fruits,hedgerow,51.345,-1.765,Pewsey Wharf Canal Foraging in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Pewsey,Pewsey,Pewsey,Wiltshire,SN9 5NU
TRUE,,30,Shearwater Lake Chestnuts,Foraging,nuts,woodland,51.182,-2.205,Shearwater Lake Chestnuts in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Warminster,Warminster,Warminster,Wiltshire,BA12 8AE
TRUE,,31,River Kennet Marlborough Path,Foraging,herbs,riverbank,51.418,-1.725,River Kennet Marlborough Path in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Marlborough,Marlborough,Marlborough,Wiltshire,SN8 1AL
TRUE,,32,Iford Manor Boundary Berries,Foraging,fruits,riverbank,51.335,-2.275,Iford Manor Boundary Berries in Wiltshire.,"A location in Wiltshire for free community-grown food or wild foraging, from the Kennet & Avon Canal to Savernake Forest.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, wiltshire, foraging, community",0,0,0,,,Summer/Autumn,,,Bradford on Avon,Bradford on Avon,Bradford on Avon,Wiltshire,BA15 2BA
