approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Edington Road Community Orchard,Community Orchard,fruits,tree-fruits,51.072,-1.328,A well-established community orchard in Abbott's Barton featuring various a...,A well-established community orchard in Abbott's Barton featuring various apple and pear varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.072,-1.328",Winchester,Winchester,Winchester,Hampshire,SO22 6EP
True,,2,Winchester City Mill Garden,Urban Foraging,vegetables,street-planters,51.062,-1.308,National Trust site with a small herb garden where visitors can sometimes f...,National Trust site with a small herb garden where visitors can sometimes find surplus herbs and edible flowers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.062,-1.308",Winchester,Winchester,Winchester,Hampshire,SO23 9BH
True,,3,St Catherine's Hill Foraging,Nature Reserve,wild,mixed-forage,51.048,-1.305,"Chalk downland slopes offering wild herbs like thyme and marjoram, plus bla...","Chalk downland slopes offering wild herbs like thyme and marjoram, plus blackberries in late summer.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.048,-1.305",Winchester,Winchester,Winchester,Hampshire,SO23 9PA
True,,4,Incredible Edible Winchester (High St),Urban Foraging,vegetables,street-planters,51.062,-1.312,Community planters at the bottom of the high street featuring seasonal herb...,Community planters at the bottom of the high street featuring seasonal herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.062,-1.312",Winchester,Winchester,Winchester,Hampshire,SO23 9BL
True,,5,Winnall Moors Foraging,Nature Reserve,wild,river-forage,51.068,-1.302,"Water meadows offering wild mint and, in spring, wild garlic along the shad...","Water meadows offering wild mint and, in spring, wild garlic along the shaded paths.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.068,-1.302",Winchester,Winchester,Winchester,Hampshire,SO23 8DX
True,,6,Compton Lock Riverside,River Foraging,wild,river-forage,51.032,-1.325,River Itchen banks with wild watercress (caution required) and elderberries...,River Itchen banks with wild watercress (caution required) and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.032,-1.325",Winchester,Winchester,Winchester,Hampshire,SO21 1AY
True,,7,Winchester College Meadows (Public Path),Public Path,wild,mixed-forage,51.055,-1.315,Footpaths through the meadows with elder and hawthorn berries in the hedger...,Footpaths through the meadows with elder and hawthorn berries in the hedgerows.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.055,-1.315",Winchester,Winchester,Winchester,Hampshire,SO23 9NG
True,,8,Oram's Arbour Foraging,Public Park,wild,mixed-forage,51.065,-1.322,Boundary paths of this historic hill fort with blackberries and seasonal fr...,Boundary paths of this historic hill fort with blackberries and seasonal fruit trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.065,-1.322",Winchester,Winchester,Winchester,Hampshire,SO22 5BU
True,,9,Incredible Edible Winchester (Station),Urban Foraging,vegetables,street-planters,51.068,-1.322,Planters near the station entrance with free-to-pick herbs and edible peren...,Planters near the station entrance with free-to-pick herbs and edible perennials.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.068,-1.322",Winchester,Winchester,Winchester,Hampshire,SO23 8TJ
True,,10,Highcliffe Community Orchard,Community Orchard,fruits,tree-fruits,51.058,-1.302,A community-led fruit growing space in the Highcliffe area.,A community-led fruit growing space in the Highcliffe area.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=51.058,-1.302",Winchester,Winchester,Winchester,Hampshire,SO23 0JD
