approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Woking Park Community Orchard,Community Orchard,fruits,tree-fruits,51.311,-0.551,Excellent spot for finding apples in Mayford Meadows.,"Located in the Mayford Meadows area of Woking, this site is a known location for apples. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, fruits, woking-foraging",27,0,0,,green.park.view,Autumn,86R5+85 Woking,https://www.openstreetmap.org/?mlat=51.311&mlon=-0.551#map=17/51.311/-0.551,"Mayford Meadows, Woking",Woking,Mayford Meadows,Surrey,GU22 0NN
True,,2,Basingstoke Canal Wild Garlic Trail,Wild Foraging,vegetables,wild-garlic,51.321,-0.562,Excellent spot for finding wild garlic in Horsell Common.,"Located in the Horsell Common area of Woking, this site is a known location for wild garlic. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",3;4;5,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"wild garlic, vegetables, woking-foraging",7,0,0,,apple.park.gate,Spring,86R5+82 Woking,https://www.openstreetmap.org/?mlat=51.321&mlon=-0.562#map=17/51.321/-0.562,"Horsell Common, Woking",Woking,Horsell Common,Surrey,GU21 4RT
True,,3,Horsell Common Blackberry Glade,Wild Foraging,fruits,hedgerow-fruit,51.335,-0.558,Excellent spot for finding blackberries in Old Woking (River Wey).,"Located in the Old Woking (River Wey) area of Woking, this site is a known location for blackberries. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",8;9,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"blackberries, fruits, woking-foraging",37,0,0,,green.trail.gate,Late Summer,86R5+27 Woking,https://www.openstreetmap.org/?mlat=51.335&mlon=-0.558#map=17/51.335/-0.558,"Old Woking (River Wey), Woking",Woking,Old Woking (River Wey),Surrey,GU22 9JE
True,,4,Byfleet & Pyrford Edges Wild Garlic Patch,Wild Foraging,vegetables,wild-garlic,51.33857,-0.48126,Excellent spot for finding wild garlic in Byfleet & Pyrford Edges.,"Located in the Byfleet & Pyrford Edges area of Woking, this site is a known location for wild garlic. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, vegetables, woking-foraging",39,0,0,,leaf.wood.view,Spring,86R5+45 Woking,https://www.openstreetmap.org/?mlat=51.33857&mlon=-0.48126#map=17/51.33857/-0.48126,"Byfleet & Pyrford Edges, Woking",Woking,Byfleet & Pyrford Edges,Surrey,KT14 7RL
True,,5,Knaphill Common Rosehips Patch,Wild Foraging,fruits,hedgerow-fruit,51.32665,-0.62561,Excellent spot for finding rosehips in Knaphill Common.,"Located in the Knaphill Common area of Woking, this site is a known location for rosehips. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db7816c?w=512&q=80,"rosehips, fruits, woking-foraging",38,0,0,,leaf.wood.path,Late Summer/Autumn,86R5+34 Woking,https://www.openstreetmap.org/?mlat=51.32665&mlon=-0.62561#map=17/51.32665/-0.62561,"Knaphill Common, Woking",Woking,Knaphill Common,Surrey,GU21 2QT
True,,6,Mayford Meadows Sweet Chestnuts Patch,Wild Foraging,nuts,wild-nuts,51.28926,-0.57917,Excellent spot for finding sweet chestnuts in Mayford Meadows.,"Located in the Mayford Meadows area of Woking, this site is a known location for sweet chestnuts. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",9;10,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sweet chestnuts, nuts, woking-foraging",37,0,0,,leaf.trail.path,Autumn,86R5+61 Woking,https://www.openstreetmap.org/?mlat=51.28926&mlon=-0.57917#map=17/51.28926/-0.57917,"Mayford Meadows, Woking",Woking,Mayford Meadows,Surrey,GU22 0NN
True,,7,Sheets Heath Wild Garlic Patch,Wild Foraging,vegetables,wild-garlic,51.30607,-0.6351,Excellent spot for finding wild garlic in Sheets Heath.,"Located in the Sheets Heath area of Woking, this site is a known location for wild garlic. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",3;4;5,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"wild garlic, vegetables, woking-foraging",5,0,0,,green.wood.path,Spring,86R5+74 Woking,https://www.openstreetmap.org/?mlat=51.30607&mlon=-0.6351#map=17/51.30607/-0.6351,"Sheets Heath, Woking",Woking,Sheets Heath,Surrey,GU24 0UU
True,,8,Smart's Heath Rosehips Patch,Wild Foraging,fruits,hedgerow-fruit,51.29514,-0.59765,Excellent spot for finding rosehips in Smart's Heath.,"Located in the Smart's Heath area of Woking, this site is a known location for rosehips. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",8;9;10,https://images.unsplash.com/photo-1550989460-0adf9ea622e2?w=512&q=80,"rosehips, fruits, woking-foraging",11,0,0,,green.trail.path,Late Summer/Autumn,86R5+19 Woking,https://www.openstreetmap.org/?mlat=51.29514&mlon=-0.59765#map=17/51.29514/-0.59765,"Smart's Heath, Woking",Woking,Smart's Heath,Surrey,GU22 0RG
True,,9,Knaphill Common Field Mushroom Patch,Wild Foraging,vegetables,mushrooms,51.33092,-0.62381,Excellent spot for finding field mushroom in Knaphill Common.,"Located in the Knaphill Common area of Woking, this site is a known location for field mushroom. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",9;10;11,https://images.unsplash.com/photo-1596434300655-e48d3ff3dd5e?w=512&q=80,"field mushroom, vegetables, woking-foraging",2,0,0,,green.wood.view,Autumn,86R5+30 Woking,https://www.openstreetmap.org/?mlat=51.33092&mlon=-0.62381#map=17/51.33092/-0.62381,"Knaphill Common, Woking",Woking,Knaphill Common,Surrey,GU21 2QT
True,,10,Hoe Valley Path Giant Puffball Patch,Wild Foraging,vegetables,mushrooms,51.30672,-0.57006,Excellent spot for finding giant puffball in Hoe Valley Path.,"Located in the Hoe Valley Path area of Woking, this site is a known location for giant puffball. It is frequently visited by local foragers. Please respect the local environment and only take what is needed for personal use.",9;10;11,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"giant puffball, vegetables, woking-foraging",45,0,0,,leaf.trail.view,Autumn,86R5+25 Woking,https://www.openstreetmap.org/?mlat=51.30672&mlon=-0.57006#map=17/51.30672/-0.57006,"Hoe Valley Path, Woking",Woking,Hoe Valley Path,Surrey,GU22 9AA
