approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Boundary Way Community Orchard,Community Orchard,fruits,tree-fruits,52.565,-2.158,"Community-managed orchard and allotment site featuring various apple, pear,...","Community-managed orchard and allotment site featuring various apple, pear, and plum varieties.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.565,-2.158",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV4 4NT
True,,2,Incredible Edible Wolverhampton (City Centre),Urban Foraging,vegetables,street-planters,52.585,-2.128,Public planters near the city centre with free-to-pick herbs and seasonal v...,Public planters near the city centre with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.585,-2.128",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 1RL
True,,3,Bantock Park Foraging Edges,Public Park,wild,mixed-forage,52.582,-2.155,"Historic park with boundary paths offering elderberries, blackberries, and ...","Historic park with boundary paths offering elderberries, blackberries, and wild garlic (spring).",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.582,-2.155",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV3 9LQ
True,,4,West Park Fruit Trees,Public Park,fruits,tree-fruits,52.591,-2.138,Victorian park with various fruit trees and brambles along the peripheral p...,Victorian park with various fruit trees and brambles along the peripheral paths.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.591,-2.138",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 4PH
True,,5,Smestow Valley Local Nature Reserve,Nature Reserve,wild,mixed-forage,52.572,-2.172,"Linear park and nature reserve. Offers abundant elderberries, blackberries,...","Linear park and nature reserve. Offers abundant elderberries, blackberries, and sloes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.572,-2.172",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV6 8HL
True,,6,Incredible Edible Wolverhampton (Whitmore Reans),Urban Foraging,vegetables,street-planters,52.592,-2.148,Community growing spots in Whitmore Reans featuring free herbs and greens.,Community growing spots in Whitmore Reans featuring free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.592,-2.148",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 4SJ
True,,7,Pendeford Mill Nature Reserve,Nature Reserve,wild,woodland,52.625,-2.175,"Woodland area offering hazelnuts, sweet chestnuts, and autumn berries.","Woodland area offering hazelnuts, sweet chestnuts, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.625,-2.175",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV9 5ET
True,,8,Staffordshire & Worcestershire Canal Path,Public Path,wild,hedgerow,52.578,-2.145,Canal-side hedgerows offering wild garlic in spring and blackberries in aut...,Canal-side hedgerows offering wild garlic in spring and blackberries in autumn.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.578,-2.145",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV3 9RR
True,,9,Incredible Edible Wolverhampton (Tettenhall),Urban Foraging,vegetables,street-planters,52.602,-2.165,Public planters in Tettenhall village featuring culinary herbs and seasonal...,Public planters in Tettenhall village featuring culinary herbs and seasonal edible plants.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.602,-2.165",Tettenhall,Tettenhall,Tettenhall,West Midlands,WV6 8QH
True,,10,Northycote Farm Orchard,Community Orchard,fruits,tree-fruits,52.628,-2.105,Traditional orchard at the community farm with apple and pear trees open fo...,Traditional orchard at the community farm with apple and pear trees open for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.628,-2.105",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV10 7JJ
True,,11,Valley Park (Edges),Public Park,wild,mixed-forage,52.585,-2.142,Green corridor with fruit-bearing bushes and elder trees.,Green corridor with fruit-bearing bushes and elder trees.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.585,-2.142",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 4HY
True,,12,Seven Cornfields Foraging,Public Path,wild,mixed-forage,52.545,-2.142,Public rights of way across fields with abundant blackberries and elderberr...,Public rights of way across fields with abundant blackberries and elderberries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.545,-2.142",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV4 5AF
True,,13,Incredible Edible Wolverhampton (Wednesfield),Urban Foraging,vegetables,street-planters,52.598,-2.085,Community growing spots in Wednesfield featuring free edible perennials and...,Community growing spots in Wednesfield featuring free edible perennials and herbs.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.598,-2.085",Wednesfield,Wednesfield,Wednesfield,West Midlands,WV11 1ST
True,,14,Penn Common Foraging,Nature Reserve,wild,mixed-forage,52.542,-2.162,"Heathland and scrub trails with sloes, blackberries, and autumn berries.","Heathland and scrub trails with sloes, blackberries, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.542,-2.162",Penn,Penn,Penn,West Midlands,WV4 5JN
True,,15,Giffard Arms Edible Planters,Urban Foraging,vegetables,street-planters,52.583,-2.126,Unique urban planters featuring culinary herbs in the city centre area.,Unique urban planters featuring culinary herbs in the city centre area.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.583,-2.126",Wolverhampton,Wolverhampton,Wolverhampton,West Midlands,WV1 1JD
