approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Worcester Woods Country Park Orchard,Community Orchard,fruits,tree-fruits,52.172,2.222,Heritage Worcestershire fruit varieties.,"Hornhill Orchard within Worcester Woods Country Park features heritage apple, pear and damson trees planted on ancient meadow. A Meadow Trail self-guided walk passes through the orchard; fruit is open to public foraging in small quantities under the council's foraging policy.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, damsons",62,0,0,,orchard.meadow.trail,Autumn,,https://www.worcestershire.gov.uk/council-services/environment/countryside-and-leisure/country-parks-picnic-places-and-nature-reserves/worcester-woods-country-park,Wildwood Drive,Worcester,St Peter's,Worcestershire,WR5 2LG
True,,2,Trotshill Community Orchard,Community Orchard,fruits,tree-fruits,52.203,2.175,Community-restored orchard in Warndon Villages.,"A volunteer-restored orchard within Trotshill Copse, planted around 20 years ago as part of the Warndon Villages housing development. Trees are now in full production. Practical working sessions on the 3rd Saturday of each month; public foraging of windfalls encouraged.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums",38,0,0,,trotshill.copse.orchard,Autumn,,https://www.worcester.gov.uk/leisure-parks-allotments/parks-green-spaces/conservation-wildlife-sites/trotshill-community-orchard-project,Trotshill Lane East,Warndon,Warndon Villages,Worcestershire,WR4 0SN
True,,3,Cherry Orchard Local Nature Reserve,Wild Foraging,fruits,tree-fruits,52.195,2.228,Historic cherry and fruit trees on south Worcester slopes.,"A Local Nature Reserve on the southern slopes of Worcester with old cherry, plum and apple trees among species-rich grassland. Worcester City Council permits small-quantity foraging of fruit in accordance with its Fruit Picking and Foraging Policy.",5;6;7;8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"cherries, plums, apples",44,0,0,,cherry.orchard.slopes,Summer/Autumn,,https://www.worcester.gov.uk/leisure-parks-allotments/parks-green-spaces/conservation-wildlife-sites/cherry-orchard-local-nature-reserve,Newtown Road,Worcester,St John's,Worcestershire,WR5 1JT
True,,4,Gorse Hill and Elbury Mount LNR,Wild Foraging,fruits,hedgerow-fruit,52.210,2.192,Scrub and bramble on Worcester's highest point.,"The highest point in Worcester City, with footpaths winding through mature oaks, scrub and bramble. Hawthorn haws, blackberries and rosehips are abundant along the wooded edges and open scrub in late summer and autumn.",8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"blackberries, rosehips, haws",27,0,0,,gorse.hill.views,Autumn,,https://www.worcester.gov.uk/gorse-hill-and-elbury-mount-local-nature-reserve,Elbury Park Road,Worcester,Dines Green,Worcestershire,WR4 0SL
True,,5,Laugherne Brook LNR Watercress & Wild Greens,Wild Foraging,vegetables,wild-greens,52.188,2.148,Brook-side wild watercress and meadow herbs.,"The damp bankside of Laugherne Brook supports watercress beds, wild watermint and wood sorrel. Access via footpaths alongside the brook. Forage lightly in accordance with Worcester City Council's policy.",4;5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"watercress, watermint, sorrel",19,0,0,,laugherne.brook.path,Spring/Summer,,https://www.worcester.gov.uk/laugherne-brook-local-nature-reserve,Laugherne Brook Path,Worcester,St John's,Worcestershire,WR2 4HX
True,,6,Perry Wood Wild Garlic and Hazelnuts,Wild Foraging,vegetables,wild-greens,52.183,2.243,Ancient woodland spring garlic and autumn nuts.,"Perry Wood Local Nature Reserve is a remnant of ancient semi-natural woodland. Carpets of wild garlic appear in spring, while hazel coppice produces hazelnuts in autumn. A popular and accessible foraging wood close to the city centre.",3;4;5;9;10,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, hazelnuts",51,0,0,,perry.wood.ancient,Spring/Autumn,,https://www.worcester.gov.uk/perry-wood-local-nature-reserve,Perry Lane,Worcester,St Peter's,Worcestershire,WR5 1LS
True,,7,Offerton Lane LNR Sloes and Elder,Wild Foraging,fruits,hedgerow-fruit,52.196,2.159,Hedgerow harvest along the Offerton Lane reserve.,"A small Local Nature Reserve with dense hedgerow featuring blackthorn (sloes), elder, and crab apple. The elder provides flowers in early summer and berries in autumn; sloes are best gathered after the first frost.",6;9;10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"sloes, elderberries, crab apples",16,0,0,,offerton.lane.hedgerow,Summer/Autumn,,https://www.worcester.gov.uk/offerton-lane-local-nature-reserve,Offerton Lane,Worcester,Dines Green,Worcestershire,WR2 5RW
True,,8,Westbury Street Community Garden,Incredible Edible,vegetables,street-planters,52.197,2.224,Urban community growing beds in St John's.,"A small community garden in the St John's neighbourhood managed by local volunteers, growing seasonal vegetables, culinary herbs and soft fruit available for community harvest. Beds include kale, chard, courgettes and climbing beans through summer.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, herbs, soft fruit",23,0,0,,westbury.garden.share,Summer,,https://www.worcester.gov.uk/leisure-parks-allotments/parks-green-spaces/park-sites/westbury-street-community-gardens,Westbury Street,Worcester,St John's,Worcestershire,WR2 5EH
True,,9,Ronkswood Hill Meadows Rosehips and Haws,Wild Foraging,fruits,hedgerow-fruit,52.180,2.248,Hedgerow fruit along the Ronkswood hill perimeter.,"Hedgerow species around the Ronkswood Hill Meadows nature reserve provide good rosehip and hawthorn haw crops from late summer. The wilder boundary scrub also has scattered elder and occasional sloe.",8;9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws, elderberries",12,0,0,,ronkswood.hill.haws,Autumn,,https://www.worcester.gov.uk/ronkswood-hill-meadows-local-nature-reserve,Newtown Road,Worcester,Ronkswood,Worcestershire,WR5 1JN
True,,10,Warndon Wood Wild Garlic and Blackberries,Wild Foraging,vegetables,wild-greens,52.209,2.183,Damp woodland garlic and summer berry picking.,"Warndon Wood Local Nature Reserve is a secluded patch of semi-natural woodland with wild garlic in spring and substantial blackberry growth along sunny woodland edges in late summer. Quiet and lightly visited.",3;4;5;8;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, blackberries",14,0,0,,warndon.wood.garlic,Spring/Summer,,https://www.worcester.gov.uk/warndon-wood-local-nature-reserve,Warndon Lane,Warndon,Warndon Villages,Worcestershire,WR4 9PF
