approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Worthing Community Orchard,Community Orchard,fruits,tree-fruits,50.825,-0.375,Located at Homefield Park. Features traditional Sussex apple varieties and ...,Located at Homefield Park. Features traditional Sussex apple varieties and pears open for public picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.825,-0.375",Worthing,Worthing,Worthing,West Sussex,BN14 7SU
True,,2,Incredible Edible Worthing (Victoria Park),Urban Foraging,vegetables,street-planters,50.815,-0.378,"Community planters near the park entrance featuring free-to-pick herbs, cha...","Community planters near the park entrance featuring free-to-pick herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.815,-0.378",Worthing,Worthing,Worthing,West Sussex,BN11 1BA
True,,3,Goring Gap Coastal Foraging,Coastal Foraging,wild,coastal,50.805,-0.425,"Shingle beach area offering sea kale, sea beet, and maritime wild radish al...","Shingle beach area offering sea kale, sea beet, and maritime wild radish along the upper shoreline.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.805,-0.425",Goring-by-Sea,Goring-by-Sea,Goring-by-Sea,West Sussex,BN12 4NX
True,,4,Cissbury Ring Foraging,Nature Reserve,wild,mixed-forage,50.858,-0.372,"National Trust site. Abundant blackberries, sloes, and elderberries along t...","National Trust site. Abundant blackberries, sloes, and elderberries along the ancient ramparts.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.858,-0.372",Worthing,Worthing,Worthing,West Sussex,BN14 0HT
True,,5,Titnore Woods Nut Gathering,Woodland,wild,woodland,50.835,-0.445,"Ancient woodland providing hazelnuts, sweet chestnuts, and blackberries alo...","Ancient woodland providing hazelnuts, sweet chestnuts, and blackberries along the public bridleways.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.835,-0.445",Worthing,Worthing,Worthing,West Sussex,BN12 6NZ
True,,6,Incredible Edible Worthing (Town Centre),Urban Foraging,vegetables,street-planters,50.812,-0.371,Public planters in central pedestrian areas featuring culinary herbs like r...,"Public planters in central pedestrian areas featuring culinary herbs like rosemary, thyme, and sage.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.812,-0.371",Worthing,Worthing,Worthing,West Sussex,BN11 3PN
True,,7,Heene Community Orchard,Community Orchard,fruits,tree-fruits,50.815,-0.388,Community-managed fruit trees in the Heene area focusing on heritage variet...,Community-managed fruit trees in the Heene area focusing on heritage varieties.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.815,-0.388",Worthing,Worthing,Worthing,West Sussex,BN11 4PY
True,,8,Brooklands Park Edible Edge,Public Park,wild,mixed-forage,50.822,-0.342,"Boundary paths with elderflowers, berries, and wild herbs integrated into t...","Boundary paths with elderflowers, berries, and wild herbs integrated into the park design.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.822,-0.342",Worthing,Worthing,Worthing,West Sussex,BN15 8RR
True,,9,Tarring High Street Planters,Urban Foraging,vegetables,street-planters,50.825,-0.392,Raised beds in historic Tarring village featuring herbs and seasonal vegeta...,Raised beds in historic Tarring village featuring herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.825,-0.392",Worthing,Worthing,Worthing,West Sussex,BN14 7NN
True,,10,Broadwater Green Foraging,Public Park,wild,mixed-forage,50.832,-0.378,Peripheral trees and hedges offering elderberries and hawthorn berries.,Peripheral trees and hedges offering elderberries and hawthorn berries.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.832,-0.378",Worthing,Worthing,Worthing,West Sussex,BN14 9QR
True,,11,Ferring Rife Foraging,Public Path,wild,river-forage,50.808,-0.452,Riverbank path offering wild garlic (spring) and blackberries (autumn).,Riverbank path offering wild garlic (spring) and blackberries (autumn).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=50.808,-0.452",Ferring,Ferring,Ferring,West Sussex,BN12 5QX
