approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,St Nicholas Fields Local Nature Reserve,Wild Foraging,fruits,tree-fruits,53.957,1.063,Apple and pear trees on York's former landfill.,"A 24-acre Local Nature Reserve in Tang Hall, managed by St Nicks. The northern area contains many self-seeded apple and pear trees grown from discarded household fruit cores — the fruit has been tested and confirmed safe to eat. Hawthorn, elder, hazel and blackthorn also produce abundant hedgerow harvests. Respectful foraging is explicitly welcomed by the site.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, blackberries, sloes, elderberries",74,0,0,,fruit.trees.landfill,Autumn,,https://www.stnicks.org.uk/visit-us/,Rawdon Avenue,York,Tang Hall,North Yorkshire,YO10 3FW
True,,2,Fulford Community Orchard,Community Orchard,fruits,tree-fruits,53.928,1.075,90-year-old orchard saved from development in Fulford.,"Over fifty heritage trees — plums, damsons, pears and apples — survive from the original orchard belonging to the former Naburn Hospital. Saved from development and now a community orchard for Fulford residents. Volunteer sessions on the second Sunday of each month; windfalls and ripe fruit freely available.",7;8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, damsons, pears, apples",58,0,0,,boat.healers.bring,Autumn,,https://wildyork.uk/habitat_type/orchards/,Germany Lane,Fulford,Fulford,North Yorkshire,YO10 4LT
True,,3,Leeman Road Orchard (Edible York / Abundance),Community Orchard,fruits,tree-fruits,53.961,1.097,Abundance York's urban harvest orchard near the railway.,Part of Edible York's Patchwork Orchard project planting 200 fruit trees across the city from 2012–13. The Leeman Road site is managed by Abundance York volunteers who harvest and distribute fruit to the community. Apple HQ equipment store is nearby on Salisbury Road.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",47,0,0,,leeman.road.fruit,Autumn,,http://www.edibleyork.org.uk/edibleinitiatives/abundance/,Leeman Road,York,Leeman Road,North Yorkshire,YO26 4YJ
True,,4,Holgate Community Garden,Incredible Edible,fruits,tree-fruits,53.955,1.113,Organic edible garden with espaliered apples and fruit trees.,"A volunteer-run community garden established in 2014 at Holgate Allotments. Features six raised vegetable beds, a herb and currant bed, espaliered apple trees on a south-west-facing wall, raspberry canes, and eight young fruit trees including plum, gage and heritage apple varieties. Organically managed and open to the community.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, plums, raspberries, herbs, vegetables",39,0,0,,holgate.apple.garden,Summer/Autumn,,https://wildyork.uk/habitat_type/orchards/,Holgate Allotments,York,Holgate,North Yorkshire,YO24 4JB
True,,5,Rowntree Park Orchard Area,Wild Foraging,fruits,tree-fruits,53.943,1.083,Memorial park with developing orchard and wildlife area.,A 25-acre park on the River Ouse gifted to York by the Rowntree family in 1921. The Friends of Rowntree Park have developed a wildlife area at the rear of Butcher Terrace Field which includes an orchard being enhanced as part of a 4-year biodiversity project. Windfalls available from fruit trees in season.,8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, wild fruit",28,0,0,,ouse.park.orchard,Autumn,,https://wildyork.uk/map-marker/rowntree-park/,Terry Avenue,York,Bishopthorpe Road,North Yorkshire,YO23 1JQ
True,,6,Nether Poppleton Millennium Green Orchard,Community Orchard,fruits,tree-fruits,53.983,1.135,Thriving millennium orchard beside a wildlife pond.,"One of two green spaces created in York to mark the Millennium. The site is managed by local people who have planted a thriving orchard. In addition to fruit trees the pond attracts cuckoos, reed buntings and corn buntings. Deer, foxes and bats can also be seen here.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums",32,0,0,,poppleton.green.orchard,Autumn,,https://wildyork.uk/habitat_type/orchards/,The Green,Nether Poppleton,Rural West York,North Yorkshire,YO26 6HS
True,,7,Rawcliffe Bar Country Park Hedgerows,Wild Foraging,fruits,berries,54.005,1.120,Blackberries and hedgerow fruit in north York's country park.,"A large country park on reclaimed landfill north of York, managed by City of York Council. The woodland edges and hedgerows within the park carry good crops of blackberries, rosehips and hawthorn haws through late summer and autumn.",8;9;10,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"blackberries, rosehips, haws",21,0,0,,rawcliffe.park.hedge,Autumn,,https://www.york.gov.uk/directory-record/637/rawcliffe-country-park-play-area,Rawcliffe Bar,York,Rawcliffe,North Yorkshire,YO30 5XJ
True,,8,York City Walls Elderflower and Elder,Wild Foraging,fruits,berries,53.962,1.079,Elder bushes flowering and fruiting along the medieval walls.,"Elder bushes grow along the base and outer banks of York's medieval city walls. The flowers can be gathered in June for cordial and fritters; the berries ripen to a deep purple by September and are popular for elderberry syrup and wine. Access along the free-to-walk wall walk.",6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"elderflower, elderberries",36,0,0,,walls.elder.bloom,Summer/Autumn,,https://www.english-heritage.org.uk/visit/places/york-city-walls/,City Walls Walk,York,City Centre,North Yorkshire,YO1 7HH
True,,9,West Bank Park Wild Garlic and Hawthorn,Wild Foraging,vegetables,wild-greens,53.955,1.120,Former Backhouse Nursery arboretum with spring wild garlic.,"A 16-acre park in Holgate occupying the former site of the 19th-century Backhouse Nurseries, with a mature woodland and arboretum. Wild garlic carpets the shaded woodland floor in spring, and hawthorn and elder in the hedgerows provide hedgerow harvests in summer and autumn.",3;4;5;6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, elderflower, haws",25,0,0,,westbank.garlic.wood,Spring/Autumn,,https://www.york.gov.uk/parks,Holgate Road,York,Holgate,North Yorkshire,YO24 4AB
True,,10,Museum Gardens Mulberry and Edible Trees,Wild Foraging,fruits,tree-fruits,53.962,1.086,Ancient mulberry and fruit trees in the botanic gardens.,"The Yorkshire Museum Gardens contain historic specimen trees including an ancient mulberry and various fruit trees within the botanic planting established in the 1830s. The gardens also feature an Edible Wood developed by York Art Gallery. Admission is free; foraging of windfalls is discreet and informal.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"mulberry, apples",18,0,0,,museum.gardens.mulberry,Autumn,,https://www.yorkshiremuseum.org.uk/york-museum-gardens/,Museum Gardens,York,City Centre,North Yorkshire,YO1 7FR
True,,11,Leeman Road Millennium Green Wild Greens,Wild Foraging,vegetables,wild-greens,53.961,1.100,Riverside green with planted trees and wild herbs.,One of York's largest public green spaces between the River Ouse and the railway line. Trees and wildflowers planted by the Leeman Road Millennium Green Trust. Garlic mustard (Jack-by-the-Hedge) and horseradish grow along sunny edges; the river bank supports watermint.,4;5;6;7,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"garlic mustard, horseradish, watermint",14,0,0,,leeman.green.herbs,Spring/Summer,,https://wildyork.uk/habitat_type/nature-reserve/,Leeman Road,York,Leeman Road,North Yorkshire,YO26 4YL
True,,12,Strensall Common Bilberries and Blackberries,Wild Foraging,fruits,berries,54.042,1.033,Heathland bilberries and woodland berry picking north of York.,"A beautiful large heathland northeast of York with public footpaths. The open heathy areas carry bilberry plants fruiting in July and August; brambles at the woodland edges provide good blackberry picking from August into September.",7;8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"bilberries, blackberries",29,0,0,,strensall.heath.berry,Summer,,https://wildyork.uk/habitat_type/nature-reserve/,Strensall Common,Strensall,Rural York,North Yorkshire,YO32 5XE
True,,13,Haxby Road Greenfields Community Garden,Incredible Edible,vegetables,street-planters,53.975,1.071,School and community orchard with fruit and vegetables.,"A combined Haxby Road Primary School and community garden orchard started in 2011, designed by local residents and scouts. The community growing area features an orchard, fruit and vegetable beds, wildflower meadow and nature-friendly planting open for community harvest.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"apples, vegetables, herbs",17,0,0,,haxby.road.edible,Summer,,https://wildyork.uk/habitat_type/orchards/,Haxby Road,York,New Earswick,North Yorkshire,YO31 8JD
True,,14,River Ouse Banks Wild Garlic and Rosehips,Wild Foraging,vegetables,wild-greens,53.943,1.074,Ouse riverside wild garlic in spring and rosehips in autumn.,"The wooded and scrubby river banks of the Ouse south of the city, accessible via the riverside footpath from Rowntree Park towards Bishopthorpe, support wild garlic in spring and hedgerow rosehips and sloes in autumn.",3;4;5;9;10,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"wild garlic, rosehips, sloes",22,0,0,,ouse.bank.garlic,Spring/Autumn,,https://www.york.gov.uk/parks,Riverside Walk,York,Bishopthorpe Road,North Yorkshire,YO23 2JB
True,,15,Tang Hall Beck Sweet Chestnuts and Hazelnuts,Wild Foraging,nuts,woodland-nuts,53.958,1.053,Woodland nut gathering beside Tang Hall Beck.,"The tree canopy and scrubby woodland margins along Tang Hall Beck, close to St Nicks nature reserve, include hazel coppice producing hazelnuts in September and October. Sweet chestnut trees in the nearby Knavesmire parkland also provide autumn pickings.",9;10;11,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,"hazelnuts, sweet chestnuts",16,0,0,,tang.beck.nuts,Autumn,,https://www.stnicks.org.uk/,Tang Hall Beck Path,York,Tang Hall,North Yorkshire,YO10 3HF
